a,sizeTermIndex,logsumIndex,sizeTermCoeff,logsumCoeff
1,7,0,1,0.05
2,7,2,1,0.05
3,7,3,1,1
4,7,4,1,1
5,7,5,1,1
6,7,6,1,1
7,7,7,1,1
8,7,8,1,1
9,7,9,1,1
10,1,7,1,1
11,1,8,1,1
12,1,9,1,1
13,2,7,1,1
14,2,8,1,1
15,2,9,1,1
16,3,7,1,1
17,3,8,1,1
18,3,9,1,1
19,4,7,1,1
20,4,8,1,1
21,4,9,1,1
22,5,7,1,1
23,5,8,1,1
24,5,9,1,1
25,0,10,1,1
26,0,11,1,1
27,0,12,1,1
28,1,4,1,1
29,1,5,1,1
30,1,6,1,1
31,2,4,1,1
32,2,5,1,1
33,2,6,1,1
34,3,4,1,1
35,3,5,1,1
36,3,6,1,1
37,4,4,1,1
38,4,5,1,1
39,4,6,1,1
40,5,4,1,1
41,5,5,1,1
42,5,6,1,1
43,6,4,1,1
44,6,6,1,1
45,8,13,1,1
46,6,3,1,1
47,12,2,1,1
