a,dest,poe,mgra_entry,mgra_return,poe_taz
1,1,0,7090,7090,1
2,2,0,7090,7090,1
3,3,0,7090,7090,1
4,4,0,7090,7090,1
5,5,0,7090,7090,1
6,6,0,7090,7090,1
7,7,0,7090,7090,1
8,8,0,7090,7090,1
9,9,0,7090,7090,1
10,10,0,7090,7090,1
11,11,0,7090,7090,1
12,12,0,7090,7090,1
13,14,0,7090,7090,1
14,17,0,7090,7090,1
15,19,0,7090,7090,1
16,24,0,7090,7090,1
17,26,0,7090,7090,1
18,27,0,7090,7090,1
19,30,0,7090,7090,1
20,31,0,7090,7090,1
21,32,0,7090,7090,1
22,33,0,7090,7090,1
23,34,0,7090,7090,1
24,35,0,7090,7090,1
25,36,0,7090,7090,1
26,37,0,7090,7090,1
27,34,0,7090,7090,1
28,32,0,7090,7090,1
29,38,0,7090,7090,1
30,39,0,7090,7090,1
31,41,0,7090,7090,1
32,40,0,7090,7090,1
33,42,0,7090,7090,1
34,43,0,7090,7090,1
35,44,0,7090,7090,1
36,47,0,7090,7090,1
37,46,0,7090,7090,1
38,49,0,7090,7090,1
39,50,0,7090,7090,1
40,51,0,7090,7090,1
41,52,0,7090,7090,1
42,53,0,7090,7090,1
43,54,0,7090,7090,1
44,48,0,7090,7090,1
45,55,0,7090,7090,1
46,56,0,7090,7090,1
47,57,0,7090,7090,1
48,58,0,7090,7090,1
49,59,0,7090,7090,1
50,60,0,7090,7090,1
51,61,0,7090,7090,1
52,62,0,7090,7090,1
53,63,0,7090,7090,1
54,64,0,7090,7090,1
55,65,0,7090,7090,1
56,66,0,7090,7090,1
57,67,0,7090,7090,1
58,68,0,7090,7090,1
59,71,0,7090,7090,1
60,69,0,7090,7090,1
61,70,0,7090,7090,1
62,72,0,7090,7090,1
63,73,0,7090,7090,1
64,74,0,7090,7090,1
65,75,0,7090,7090,1
66,76,0,7090,7090,1
67,77,0,7090,7090,1
68,78,0,7090,7090,1
69,79,0,7090,7090,1
70,80,0,7090,7090,1
71,81,0,7090,7090,1
72,82,0,7090,7090,1
73,83,0,7090,7090,1
74,84,0,7090,7090,1
75,85,0,7090,7090,1
76,86,0,7090,7090,1
77,87,0,7090,7090,1
78,88,0,7090,7090,1
79,89,0,7090,7090,1
80,90,0,7090,7090,1
81,91,0,7090,7090,1
82,92,0,7090,7090,1
83,94,0,7090,7090,1
84,95,0,7090,7090,1
85,96,0,7090,7090,1
86,97,0,7090,7090,1
87,98,0,7090,7090,1
88,99,0,7090,7090,1
89,100,0,7090,7090,1
90,101,0,7090,7090,1
91,102,0,7090,7090,1
92,111,0,7090,7090,1
93,104,0,7090,7090,1
94,105,0,7090,7090,1
95,106,0,7090,7090,1
96,107,0,7090,7090,1
97,108,0,7090,7090,1
98,93,0,7090,7090,1
99,109,0,7090,7090,1
100,113,0,7090,7090,1
101,114,0,7090,7090,1
102,118,0,7090,7090,1
103,115,0,7090,7090,1
104,116,0,7090,7090,1
105,117,0,7090,7090,1
106,119,0,7090,7090,1
107,120,0,7090,7090,1
108,121,0,7090,7090,1
109,122,0,7090,7090,1
110,123,0,7090,7090,1
111,124,0,7090,7090,1
112,125,0,7090,7090,1
113,126,0,7090,7090,1
114,127,0,7090,7090,1
115,130,0,7090,7090,1
116,131,0,7090,7090,1
117,132,0,7090,7090,1
118,134,0,7090,7090,1
119,135,0,7090,7090,1
120,136,0,7090,7090,1
121,137,0,7090,7090,1
122,138,0,7090,7090,1
123,139,0,7090,7090,1
124,133,0,7090,7090,1
125,140,0,7090,7090,1
126,143,0,7090,7090,1
127,144,0,7090,7090,1
128,145,0,7090,7090,1
129,155,0,7090,7090,1
130,147,0,7090,7090,1
131,148,0,7090,7090,1
132,150,0,7090,7090,1
133,151,0,7090,7090,1
134,153,0,7090,7090,1
135,154,0,7090,7090,1
136,157,0,7090,7090,1
137,158,0,7090,7090,1
138,156,0,7090,7090,1
139,159,0,7090,7090,1
140,161,0,7090,7090,1
141,162,0,7090,7090,1
142,165,0,7090,7090,1
143,164,0,7090,7090,1
144,166,0,7090,7090,1
145,175,0,7090,7090,1
146,168,0,7090,7090,1
147,169,0,7090,7090,1
148,170,0,7090,7090,1
149,171,0,7090,7090,1
150,172,0,7090,7090,1
151,173,0,7090,7090,1
152,174,0,7090,7090,1
153,176,0,7090,7090,1
154,177,0,7090,7090,1
155,181,0,7090,7090,1
156,178,0,7090,7090,1
157,179,0,7090,7090,1
158,182,0,7090,7090,1
159,180,0,7090,7090,1
160,183,0,7090,7090,1
161,184,0,7090,7090,1
162,185,0,7090,7090,1
163,186,0,7090,7090,1
164,199,0,7090,7090,1
165,188,0,7090,7090,1
166,189,0,7090,7090,1
167,190,0,7090,7090,1
168,192,0,7090,7090,1
169,193,0,7090,7090,1
170,195,0,7090,7090,1
171,196,0,7090,7090,1
172,197,0,7090,7090,1
173,201,0,7090,7090,1
174,200,0,7090,7090,1
175,204,0,7090,7090,1
176,202,0,7090,7090,1
177,203,0,7090,7090,1
178,205,0,7090,7090,1
179,206,0,7090,7090,1
180,208,0,7090,7090,1
181,209,0,7090,7090,1
182,211,0,7090,7090,1
183,210,0,7090,7090,1
184,213,0,7090,7090,1
185,214,0,7090,7090,1
186,215,0,7090,7090,1
187,232,0,7090,7090,1
188,216,0,7090,7090,1
189,217,0,7090,7090,1
190,218,0,7090,7090,1
191,219,0,7090,7090,1
192,220,0,7090,7090,1
193,234,0,7090,7090,1
194,224,0,7090,7090,1
195,226,0,7090,7090,1
196,227,0,7090,7090,1
197,241,0,7090,7090,1
198,229,0,7090,7090,1
199,230,0,7090,7090,1
200,231,0,7090,7090,1
201,239,0,7090,7090,1
202,236,0,7090,7090,1
203,237,0,7090,7090,1
204,238,0,7090,7090,1
205,240,0,7090,7090,1
206,242,0,7090,7090,1
207,244,0,7090,7090,1
208,262,0,7090,7090,1
209,283,0,7090,7090,1
210,281,0,7090,7090,1
211,246,0,7090,7090,1
212,247,0,7090,7090,1
213,248,0,7090,7090,1
214,249,0,7090,7090,1
215,250,0,7090,7090,1
216,251,0,7090,7090,1
217,233,0,7090,7090,1
218,252,0,7090,7090,1
219,253,0,7090,7090,1
220,254,0,7090,7090,1
221,282,0,7090,7090,1
222,256,0,7090,7090,1
223,285,0,7090,7090,1
224,257,0,7090,7090,1
225,258,0,7090,7090,1
226,239,0,7090,7090,1
227,259,0,7090,7090,1
228,260,0,7090,7090,1
229,260,0,7090,7090,1
230,261,0,7090,7090,1
231,252,0,7090,7090,1
232,263,0,7090,7090,1
233,265,0,7090,7090,1
234,266,0,7090,7090,1
235,266,0,7090,7090,1
236,267,0,7090,7090,1
237,270,0,7090,7090,1
238,272,0,7090,7090,1
239,268,0,7090,7090,1
240,274,0,7090,7090,1
241,279,0,7090,7090,1
242,275,0,7090,7090,1
243,277,0,7090,7090,1
244,278,0,7090,7090,1
245,280,0,7090,7090,1
246,284,0,7090,7090,1
247,284,0,7090,7090,1
248,286,0,7090,7090,1
249,294,0,7090,7090,1
250,287,0,7090,7090,1
251,264,0,7090,7090,1
252,280,0,7090,7090,1
253,269,0,7090,7090,1
254,269,0,7090,7090,1
255,288,0,7090,7090,1
256,289,0,7090,7090,1
257,290,0,7090,7090,1
258,291,0,7090,7090,1
259,294,0,7090,7090,1
260,293,0,7090,7090,1
261,299,0,7090,7090,1
262,295,0,7090,7090,1
263,296,0,7090,7090,1
264,296,0,7090,7090,1
265,297,0,7090,7090,1
266,298,0,7090,7090,1
267,194,0,7090,7090,1
268,300,0,7090,7090,1
269,305,0,7090,7090,1
270,302,0,7090,7090,1
271,303,0,7090,7090,1
272,307,0,7090,7090,1
273,304,0,7090,7090,1
274,306,0,7090,7090,1
275,308,0,7090,7090,1
276,309,0,7090,7090,1
277,310,0,7090,7090,1
278,312,0,7090,7090,1
279,312,0,7090,7090,1
280,311,0,7090,7090,1
281,313,0,7090,7090,1
282,314,0,7090,7090,1
283,315,0,7090,7090,1
284,316,0,7090,7090,1
285,317,0,7090,7090,1
286,322,0,7090,7090,1
287,336,0,7090,7090,1
288,330,0,7090,7090,1
289,320,0,7090,7090,1
290,319,0,7090,7090,1
291,321,0,7090,7090,1
292,323,0,7090,7090,1
293,324,0,7090,7090,1
294,325,0,7090,7090,1
295,326,0,7090,7090,1
296,394,0,7090,7090,1
297,329,0,7090,7090,1
298,331,0,7090,7090,1
299,328,0,7090,7090,1
300,333,0,7090,7090,1
301,334,0,7090,7090,1
302,335,0,7090,7090,1
303,337,0,7090,7090,1
304,338,0,7090,7090,1
305,339,0,7090,7090,1
306,333,0,7090,7090,1
307,343,0,7090,7090,1
308,346,0,7090,7090,1
309,340,0,7090,7090,1
310,352,0,7090,7090,1
311,344,0,7090,7090,1
312,348,0,7090,7090,1
313,349,0,7090,7090,1
314,350,0,7090,7090,1
315,336,0,7090,7090,1
316,351,0,7090,7090,1
317,336,0,7090,7090,1
318,328,0,7090,7090,1
319,354,0,7090,7090,1
320,355,0,7090,7090,1
321,353,0,7090,7090,1
322,356,0,7090,7090,1
323,357,0,7090,7090,1
324,358,0,7090,7090,1
325,328,0,7090,7090,1
326,339,0,7090,7090,1
327,360,0,7090,7090,1
328,328,0,7090,7090,1
329,361,0,7090,7090,1
330,364,0,7090,7090,1
331,366,0,7090,7090,1
332,367,0,7090,7090,1
333,369,0,7090,7090,1
334,370,0,7090,7090,1
335,365,0,7090,7090,1
336,371,0,7090,7090,1
337,396,0,7090,7090,1
338,372,0,7090,7090,1
339,375,0,7090,7090,1
340,373,0,7090,7090,1
341,374,0,7090,7090,1
342,376,0,7090,7090,1
343,373,0,7090,7090,1
344,377,0,7090,7090,1
345,390,0,7090,7090,1
346,379,0,7090,7090,1
347,13,0,7090,7090,1
348,378,0,7090,7090,1
349,373,0,7090,7090,1
350,380,0,7090,7090,1
351,381,0,7090,7090,1
352,382,0,7090,7090,1
353,363,0,7090,7090,1
354,384,0,7090,7090,1
355,385,0,7090,7090,1
356,386,0,7090,7090,1
357,384,0,7090,7090,1
358,388,0,7090,7090,1
359,397,0,7090,7090,1
360,389,0,7090,7090,1
361,391,0,7090,7090,1
362,393,0,7090,7090,1
363,395,0,7090,7090,1
364,398,0,7090,7090,1
365,403,0,7090,7090,1
366,392,0,7090,7090,1
367,400,0,7090,7090,1
368,365,0,7090,7090,1
369,414,0,7090,7090,1
370,405,0,7090,7090,1
371,406,0,7090,7090,1
372,408,0,7090,7090,1
373,407,0,7090,7090,1
374,409,0,7090,7090,1
375,396,0,7090,7090,1
376,411,0,7090,7090,1
