a,mgra,parkarea
1,2197,1
2,2198,1
3,2199,1
4,2200,1
5,2201,1
6,2202,1
7,2203,1
8,2204,1
9,2205,1
10,2206,1
11,2207,1
12,2208,1
13,2209,1
14,2210,1
15,2211,1
16,2212,1
17,2213,1
18,2214,1
19,2215,1
20,2216,1
21,2217,1
22,2218,1
23,2219,1
24,2220,1
25,2221,1
26,2222,1
27,2224,1
28,2225,1
29,2226,1
30,2227,1
31,2229,1
32,2231,1
33,2232,1
34,2243,1
35,2244,1
36,2245,1
37,2246,1
38,2252,1
39,2253,1
40,2254,1
41,2255,1
42,2256,1
43,2257,1
44,2258,1
45,2259,1
46,2260,1
47,2261,1
48,2262,1
49,2263,1
50,2264,1
51,2265,1
52,2266,1
53,2267,1
54,2268,1
55,2269,1
56,2270,1
57,2271,1
58,2272,1
59,2273,1
60,2274,1
61,2275,1
62,2276,1
63,2277,1
64,2278,1
65,2279,1
66,2280,1
67,2281,1
68,2282,1
69,2283,1
70,2284,1
71,2285,1
72,2286,1
73,2287,1
74,2288,1
75,2289,1
76,2290,1
77,2291,1
78,2292,1
79,2293,1
80,2294,1
81,2295,1
82,2296,1
83,2297,1
84,2298,1
85,2299,1
86,2300,1
87,2301,1
88,2302,1
89,2303,1
90,2304,1
91,2305,1
92,2306,1
93,2307,1
94,2308,1
95,2309,1
96,2310,1
97,2311,1
98,2312,1
99,2313,1
100,2314,1
101,2315,1
102,2316,1
103,2317,1
104,2318,1
105,2319,1
106,2321,1
107,2322,1
108,2323,1
109,2324,1
110,2325,1
111,2326,1
112,2327,1
113,2328,1
114,2329,1
115,2330,1
116,2331,1
117,2332,1
118,2333,1
119,2334,1
120,2335,1
121,2336,1
122,2337,1
123,2338,1
124,2339,1
125,2340,1
126,2341,1
127,2342,1
128,2343,1
129,2344,1
130,2345,1
131,2346,1
132,2347,1
133,2348,1
134,2349,1
135,2350,1
136,2351,1
137,2352,1
138,2353,1
139,2354,1
140,2355,1
141,2356,1
142,2357,1
143,2358,1
144,2359,1
145,2360,1
146,2361,1
147,2362,1
148,2363,1
149,2364,1
150,2365,1
151,2366,1
152,2367,1
153,2368,1
154,2369,1
