PrimPurp,Direction,DepartRangeStart,DepartRangeEnd,Ptype,Work,University,School,Escort,Shop,Maintenance,Eating Out,Visiting,Discretionary
Work,Outbound,430,830,FT Worker,0.092,0,0,0.646,0.047,0.099,0.066,0.02,0.03
Work,Outbound,430,830,PT Worker,0,0,0,0.65,0.122,0.134,0,0,0.094
Work,Outbound,430,830,University Student,0,0,0,0.65,0.122,0.134,0,0,0.094
Work,Outbound,900,2400,FT Worker,0.26,0,0,0.066,0.176,0.374,0.005,0.064,0.055
Work,Outbound,900,2400,PT Worker,0.033,0,0,0.163,0.353,0.334,0.117,0,0
Work,Outbound,900,2400,University Student,0,0,0,0,0,0,0,0,1
Work,Outbound,430,2400,Driving-age Child,0,0,0,0.65,0.122,0.134,0,0,0.094
University,Outbound,430,2400,FT Worker,0,0,0,0.364,0.152,0,0.484,0,0
University,Outbound,430,2400,PT Worker,0,0,0,0.364,0.152,0,0.484,0,0
University,Outbound,430,2400,University Student,0,0,0,0.364,0.152,0,0.484,0,0
School,Outbound,430,2400,Driving-age Child,0,0,0,0.505,0.036,0,0.078,0.278,0.103
School,Outbound,430,2400,Pre-Driving Child,0,0,0,0.505,0.036,0,0.078,0.278,0.103
School,Outbound,430,2400,Preschool,0,0,0,0.111,0.134,0.509,0.246,0,0
Escort,Outbound,430,2400,FT Worker,0,0,0,0.177,0.24,0.195,0.201,0.179,0.008
Escort,Outbound,430,2400,PT Worker,0,0,0,0.319,0.242,0.123,0.116,0.2,0
Escort,Outbound,430,2400,University Student,0,0,0,0,0.343,0.657,0,0,0
Escort,Outbound,430,2400,Homemaker,0,0,0,0.423,0.144,0.161,0.216,0,0.056
Escort,Outbound,430,2400,Retired,0,0,0,0.07,0.174,0.287,0.096,0.233,0.14
Escort,Outbound,430,2400,Driving-age Child,0,0,0,0,0,1,0,0,0
Escort,Outbound,430,2400,Pre-Driving Child,0,0,0,0,0,1,0,0,0
Escort,Outbound,430,2400,Preschool,0,0,0,0.352,0,0.506,0,0,0.142
Shop,Outbound,430,2400,FT Worker,0,0,0,0.124,0.202,0.459,0.119,0.096,0
Shop,Outbound,430,2400,PT Worker,0,0,0,0.127,0.3,0.515,0,0.058,0
Shop,Outbound,430,2400,University Student,0,0,0,0,0,0,0,0,1
Shop,Outbound,430,2400,Homemaker,0,0,0,0.277,0.296,0.105,0.113,0.035,0.174
Shop,Outbound,430,2400,Retired,0,0,0,0.066,0.216,0.533,0.115,0.05,0.02
Shop,Outbound,430,2400,Driving-age Child,0,0,0,0,0,0,0,0,1
Shop,Outbound,430,2400,Pre-Driving Child,0,0,0,0,0.329,0,0.343,0,0.328
Shop,Outbound,430,2400,Preschool,0,0,0,0.124,0,0,0.165,0.248,0.463
Maintenance,Outbound,430,2400,FT Worker,0,0,0,0.121,0,0.469,0.295,0.05,0.065
Maintenance,Outbound,430,2400,PT Worker,0,0,0,0,0.224,0.639,0.137,0,0
Maintenance,Outbound,430,2400,University Student,0,0,0,0,0,1,0,0,0
Maintenance,Outbound,430,2400,Homemaker,0,0,0,0.31,0,0.301,0.326,0.063,0
Maintenance,Outbound,430,2400,Retired,0,0,0,0.047,0.041,0.489,0.196,0.227,0
Maintenance,Outbound,430,2400,Driving-age Child,0,0,0,1,0,0,0,0,0
Maintenance,Outbound,430,2400,Pre-Driving Child,0,0,0,0.254,0.492,0,0.254,0,0
Maintenance,Outbound,430,2400,Preschool,0,0,0,0.762,0.238,0,0,0,0
Eating Out,Outbound,430,2400,FT Worker,0,0,0,0.15,0,0,0,0.85,0
Eating Out,Outbound,430,2400,PT Worker,0,0,0,0.238,0.252,0,0.51,0,0
Eating Out,Outbound,430,2400,University Student,0,0,0,0.241,0.484,0,0.275,0,0
Eating Out,Outbound,430,2400,Homemaker,0,0,0,0.241,0.484,0,0.275,0,0
Eating Out,Outbound,430,2400,Retired,0,0,0,0,0,0.405,0,0.595,0
Eating Out,Outbound,430,2400,Driving-age Child,0,0,0,0.246,0.754,0,0,0,0
Eating Out,Outbound,430,2400,Pre-Driving Child,0,0,0,0.246,0.754,0,0,0,0
Eating Out,Outbound,430,2400,Preschool,0,0,0,0.246,0.754,0,0,0,0
Visiting,Outbound,430,2400,FT Worker,0,0,0,0.098,0.213,0.107,0.278,0.108,0.196
Visiting,Outbound,430,2400,PT Worker,0,0,0,0.32,0,0.325,0,0.355,0
Visiting,Outbound,430,2400,University Student,0,0,0,0,0,0.516,0.484,0,0
Visiting,Outbound,430,2400,Homemaker,0,0,0,0,0,0.386,0,0.264,0.35
Visiting,Outbound,430,2400,Retired,0,0,0,0.402,0,0.347,0.026,0.199,0.026
Visiting,Outbound,430,2400,Driving-age Child,0,0,0,0,0,0,1,0,0
Visiting,Outbound,430,2400,Pre-Driving Child,0,0,0,0,0,0,0.333,0.334,0.333
Visiting,Outbound,430,2400,Preschool,0,0,0,0,0,0,0.333,0.334,0.333
Discretionary,Outbound,430,2400,FT Worker,0,0,0,0.044,0,0.443,0.27,0.072,0.171
Discretionary,Outbound,430,2400,PT Worker,0,0,0,0.714,0,0.286,0,0,0
Discretionary,Outbound,430,2400,University Student,0,0,0,0.714,0,0.286,0,0,0
Discretionary,Outbound,430,2400,Homemaker,0,0,0,0,0.128,0.287,0.228,0,0.357
Discretionary,Outbound,430,2400,Retired,0,0,0,0.034,0.221,0.194,0.132,0.275,0.144
Discretionary,Outbound,430,2400,Driving-age Child,0,0,0,0,0.128,0.287,0.228,0,0.357
Discretionary,Outbound,430,2400,Pre-Driving Child,0,0,0,0.598,0,0,0.402,0,0
Discretionary,Outbound,430,2400,Preschool,0,0,0,0.227,0,0.127,0.355,0,0.291
Work-Based,Outbound,430,2400,All,0.263,0,0,0.042,0.048,0.191,0.427,0,0.029
Work,Inbound,430,1430,FT Worker,0.232,0,0,0.15,0.298,0.145,0.098,0.035,0.042
Work,Inbound,430,1430,PT Worker,0.037,0,0,0.269,0.282,0.247,0.081,0.062,0.022
Work,Inbound,430,1430,University Student,0,0,0,0.527,0,0,0,0.473,0
Work,Inbound,1500,2400,FT Worker,0.031,0,0,0.356,0.248,0.155,0.074,0.076,0.06
Work,Inbound,1500,2400,PT Worker,0.062,0,0,0.312,0.34,0.101,0.084,0.041,0.06
Work,Inbound,1500,2400,University Student,0,0,0,0.622,0.378,0,0,0,0
Work,Inbound,430,2400,Driving-age Child,0,0,0,0.622,0.378,0,0,0,0
University,Inbound,430,2400,FT Worker,0,0,0,0.096,0.355,0.056,0.288,0.205,0
University,Inbound,430,2400,PT Worker,0,0,0,0.096,0.355,0.056,0.288,0.205,0
University,Inbound,430,2400,University Student,0,0,0,0.096,0.355,0.056,0.288,0.205,0
School,Inbound,430,2400,Driving-age Child,0,0,0,0.047,0.382,0.219,0.158,0.114,0.08
School,Inbound,430,2400,Pre-Driving Child,0,0,0,0.264,0.253,0.198,0.125,0.086,0.074
School,Inbound,430,2400,Preschool,0,0,0,0.391,0.299,0.068,0.112,0.062,0.068
Escort,Inbound,430,2400,FT Worker,0,0,0,0.058,0.355,0.267,0.215,0.105,0
Escort,Inbound,430,2400,PT Worker,0,0,0,0.071,0.359,0.423,0.041,0.035,0.071
Escort,Inbound,430,2400,University Student,0,0,0,0.071,0.359,0.423,0.041,0.035,0.071
Escort,Inbound,430,2400,Homemaker,0,0,0,0.132,0.496,0.096,0.018,0.047,0.211
Escort,Inbound,430,2400,Retired,0,0,0,0.138,0.321,0.316,0.161,0.064,0
Escort,Inbound,430,2400,Driving-age Child,0,0,0,0.132,0.496,0.096,0.018,0.047,0.211
Escort,Inbound,430,2400,Pre-Driving Child,0,0,0,0.132,0.496,0.096,0.018,0.047,0.211
Escort,Inbound,430,2400,Preschool,0,0,0,0,0.52,0.241,0.105,0.134,0
