period,purp0_perc,purp1_perc,purp2_perc,purp3_perc,purp4_perc
0,0,0,0,0,0
1,0,0.027,0,0,0.039
2,0.07,0.009,0,0.019,0.016
3,0,0.156,0,0.018,0.02
4,0.037,0.028,0,0.037,0.034
5,0.188,0.051,0,0.001,0.018
6,0.072,0.029,0,0.065,0.026
7,0.09,0.029,0,0.001,0.026
8,0.072,0.061,0.091,0.096,0.025
9,0,0,0,0,0.018
10,0.086,0,0,0,0.035
11,0,0,0,0,0.005
12,0,0.041,0,0.029,0.057
13,0,0,0,0,0.089
14,0,0.022,0,0.054,0.034
15,0,0.014,0.091,0,0.023
16,0,0.001,0,0,0.001
17,0,0.001,0,0,0
18,0,0.028,0,0.075,0.027
19,0,0,0,0,0.005
20,0,0,0,0.054,0.023
21,0,0,0,0,0.003
22,0.029,0.001,0.236,0.173,0.031
23,0,0.035,0,0.066,0.025
24,0,0.007,0,0.018,0.024
25,0,0.059,0,0,0
26,0.039,0.027,0,0,0.012
27,0,0,0,0,0
28,0,0,0,0.054,0.019
29,0,0,0,0,0
30,0,0.007,0,0,0.058
31,0,0,0,0,0.014
32,0,0.017,0,0,0.019
33,0.001,0.023,0,0,0.009
34,0.068,0.057,0,0,0.061
35,0.034,0.009,0,0.066,0.012
36,0.076,0.007,0,0,0.013
37,0.034,0,0,0.078,0.057
38,0,0.038,0,0,0.011
39,0,0.129,0,0,0.025
40,0.104,0.087,0.582,0.096,0.086
