marketSegment,fileName,matrixName,TOD,vehicleType,vehOcc,Toll
ExternalExternalTrips,ExtExt.omx,EA_SOV_EETRIPS,1,passengerCar,1,0
ExternalExternalTrips,ExtExt.omx,EA_HOV2_EETRIPS,1,passengerCar,2,0
ExternalExternalTrips,ExtExt.omx,EA_HOV3_EETRIPS,1,passengerCar,3,0
ExternalExternalTrips,ExtExt.omx,AM_SOV_EETRIPS,2,passengerCar,1,0
ExternalExternalTrips,ExtExt.omx,AM_HOV2_EETRIPS,2,passengerCar,2,0
ExternalExternalTrips,ExtExt.omx,AM_HOV3_EETRIPS,2,passengerCar,3,0
ExternalExternalTrips,ExtExt.omx,MD_SOV_EETRIPS,3,passengerCar,1,0
ExternalExternalTrips,ExtExt.omx,MD_HOV2_EETRIPS,3,passengerCar,2,0
ExternalExternalTrips,ExtExt.omx,MD_HOV3_EETRIPS,3,passengerCar,3,0
ExternalExternalTrips,ExtExt.omx,PM_SOV_EETRIPS,4,passengerCar,1,0
ExternalExternalTrips,ExtExt.omx,PM_HOV2_EETRIPS,4,passengerCar,2,0
ExternalExternalTrips,ExtExt.omx,PM_HOV3_EETRIPS,4,passengerCar,3,0
ExternalExternalTrips,ExtExt.omx,EV_SOV_EETRIPS,5,passengerCar,1,0
ExternalExternalTrips,ExtExt.omx,EV_HOV2_EETRIPS,5,passengerCar,2,0
ExternalExternalTrips,ExtExt.omx,EV_HOV3_EETRIPS,5,passengerCar,3,0
ExternalInternalTrips,ExtInt.omx,EA_SOVTOLL_EIWORK,1,passengerCar,1,1
ExternalInternalTrips,ExtInt.omx,EA_HOV2TOLL_EIWORK,1,passengerCar,2,1
ExternalInternalTrips,ExtInt.omx,EA_HOV3TOLL_EIWORK,1,passengerCar,3,1
ExternalInternalTrips,ExtInt.omx,EA_SOVGP_EIWORK,1,passengerCar,1,0
ExternalInternalTrips,ExtInt.omx,EA_HOV2HOV_EIWORK,1,passengerCar,2,0
ExternalInternalTrips,ExtInt.omx,EA_HOV3HOV_EIWORK,1,passengerCar,3,0
ExternalInternalTrips,ExtInt.omx,EA_SOVTOLL_EINONWORK,1,passengerCar,1,1
ExternalInternalTrips,ExtInt.omx,EA_HOV2TOLL_EINONWORK,1,passengerCar,2,1
ExternalInternalTrips,ExtInt.omx,EA_HOV3TOLL_EINONWORK,1,passengerCar,3,1
ExternalInternalTrips,ExtInt.omx,EA_SOVGP_EINONWORK,1,passengerCar,1,0
ExternalInternalTrips,ExtInt.omx,EA_HOV2HOV_EINONWORK,1,passengerCar,2,0
ExternalInternalTrips,ExtInt.omx,EA_HOV3HOV_EINONWORK,1,passengerCar,3,0
ExternalInternalTrips,ExtInt.omx,AM_SOVTOLL_EIWORK,2,passengerCar,1,1
ExternalInternalTrips,ExtInt.omx,AM_HOV2TOLL_EIWORK,2,passengerCar,2,1
ExternalInternalTrips,ExtInt.omx,AM_HOV3TOLL_EIWORK,2,passengerCar,3,1
ExternalInternalTrips,ExtInt.omx,AM_SOVGP_EIWORK,2,passengerCar,1,0
ExternalInternalTrips,ExtInt.omx,AM_HOV2HOV_EIWORK,2,passengerCar,2,0
ExternalInternalTrips,ExtInt.omx,AM_HOV3HOV_EIWORK,2,passengerCar,3,0
ExternalInternalTrips,ExtInt.omx,AM_SOVTOLL_EINONWORK,2,passengerCar,1,1
ExternalInternalTrips,ExtInt.omx,AM_HOV2TOLL_EINONWORK,2,passengerCar,2,1
ExternalInternalTrips,ExtInt.omx,AM_HOV3TOLL_EINONWORK,2,passengerCar,3,1
ExternalInternalTrips,ExtInt.omx,AM_SOVGP_EINONWORK,2,passengerCar,1,0
ExternalInternalTrips,ExtInt.omx,AM_HOV2HOV_EINONWORK,2,passengerCar,2,0
ExternalInternalTrips,ExtInt.omx,AM_HOV3HOV_EINONWORK,2,passengerCar,3,0
ExternalInternalTrips,ExtInt.omx,MD_SOVTOLL_EIWORK,3,passengerCar,1,1
ExternalInternalTrips,ExtInt.omx,MD_HOV2TOLL_EIWORK,3,passengerCar,2,1
ExternalInternalTrips,ExtInt.omx,MD_HOV3TOLL_EIWORK,3,passengerCar,3,1
ExternalInternalTrips,ExtInt.omx,MD_SOVGP_EIWORK,3,passengerCar,1,0
ExternalInternalTrips,ExtInt.omx,MD_HOV2HOV_EIWORK,3,passengerCar,2,0
ExternalInternalTrips,ExtInt.omx,MD_HOV3HOV_EIWORK,3,passengerCar,3,0
ExternalInternalTrips,ExtInt.omx,MD_SOVTOLL_EINONWORK,3,passengerCar,1,1
ExternalInternalTrips,ExtInt.omx,MD_HOV2TOLL_EINONWORK,3,passengerCar,2,1
ExternalInternalTrips,ExtInt.omx,MD_HOV3TOLL_EINONWORK,3,passengerCar,3,1
ExternalInternalTrips,ExtInt.omx,MD_SOVGP_EINONWORK,3,passengerCar,1,0
ExternalInternalTrips,ExtInt.omx,MD_HOV2HOV_EINONWORK,3,passengerCar,2,0
ExternalInternalTrips,ExtInt.omx,MD_HOV3HOV_EINONWORK,3,passengerCar,3,0
ExternalInternalTrips,ExtInt.omx,PM_SOVTOLL_EIWORK,4,passengerCar,1,1
ExternalInternalTrips,ExtInt.omx,PM_HOV2TOLL_EIWORK,4,passengerCar,2,1
ExternalInternalTrips,ExtInt.omx,PM_HOV3TOLL_EIWORK,4,passengerCar,3,1
ExternalInternalTrips,ExtInt.omx,PM_SOVGP_EIWORK,4,passengerCar,1,0
ExternalInternalTrips,ExtInt.omx,PM_HOV2HOV_EIWORK,4,passengerCar,2,0
ExternalInternalTrips,ExtInt.omx,PM_HOV3HOV_EIWORK,4,passengerCar,3,0
ExternalInternalTrips,ExtInt.omx,PM_SOVTOLL_EINONWORK,4,passengerCar,1,1
ExternalInternalTrips,ExtInt.omx,PM_HOV2TOLL_EINONWORK,4,passengerCar,2,1
ExternalInternalTrips,ExtInt.omx,PM_HOV3TOLL_EINONWORK,4,passengerCar,3,1
ExternalInternalTrips,ExtInt.omx,PM_SOVGP_EINONWORK,4,passengerCar,1,0
ExternalInternalTrips,ExtInt.omx,PM_HOV2HOV_EINONWORK,4,passengerCar,2,0
ExternalInternalTrips,ExtInt.omx,PM_HOV3HOV_EINONWORK,4,passengerCar,3,0
ExternalInternalTrips,ExtInt.omx,EV_SOVTOLL_EIWORK,5,passengerCar,1,1
ExternalInternalTrips,ExtInt.omx,EV_HOV2TOLL_EIWORK,5,passengerCar,2,1
ExternalInternalTrips,ExtInt.omx,EV_HOV3TOLL_EIWORK,5,passengerCar,3,1
ExternalInternalTrips,ExtInt.omx,EV_SOVGP_EIWORK,5,passengerCar,1,0
ExternalInternalTrips,ExtInt.omx,EV_HOV2HOV_EIWORK,5,passengerCar,2,0
ExternalInternalTrips,ExtInt.omx,EV_HOV3HOV_EIWORK,5,passengerCar,3,0
ExternalInternalTrips,ExtInt.omx,EV_SOVTOLL_EINONWORK,5,passengerCar,1,1
ExternalInternalTrips,ExtInt.omx,EV_HOV2TOLL_EINONWORK,5,passengerCar,2,1
ExternalInternalTrips,ExtInt.omx,EV_HOV3TOLL_EINONWORK,5,passengerCar,3,1
ExternalInternalTrips,ExtInt.omx,EV_SOVGP_EINONWORK,5,passengerCar,1,0
ExternalInternalTrips,ExtInt.omx,EV_HOV2HOV_EINONWORK,5,passengerCar,2,0
ExternalInternalTrips,ExtInt.omx,EV_HOV3HOV_EINONWORK,5,passengerCar,3,0
