taz,x_coord_spft,y_coord_spft,x_coord_albers,y_coord_albers
1,6323760.674,1771842.156,0,0
2,6351459.021,1774151.541,0,0
3,6361841.521,1775356.166,0,0
4,6445647.538,1788433.899,0,0
5,6590522.617,1802609.881,0,0
6,6607515.117,1814392.881,0,0
7,6614944.875,1991301.618,0,0
8,6382623.993,2100317.513,0,0
9,6305680.742,2102044.925,0,0
10,6289617.293,2103175.261,0,0
11,6157941.118,2111895.391,0,0
12,6150861.617,2091269.825,0,0
13,6231868.627,2027647.796,249113.1744,-528476.5432
14,6222007.156,2113403.003,241470.2702,-499871.2383
15,6205352.299,2083698.696,244496.7237,-508655.0988
16,6160157.909,2093142.448,227789.02,-508144.903
17,6260562.949,2099546.658,257397.6106,-506549.9156
18,6281586.855,2097742.779,263860.3103,-507351.8749
19,6275228.118,2093842.747,261954.1336,-509283.6971
20,6288442.2,2100058.577,265382.0483,-505937.8833
21,6293875.232,2098114.219,266223.3637,-506997.0271
22,6304000.506,2093217.286,270382.753,-508093.1565
23,6315265.508,2092203.717,271894.8457,-506755.0504
24,6340021.231,2084995.152,281654.0385,-509600.6574
25,6365425.207,2080919.864,288341.7127,-513069.6714
26,6569439.614,2078108.218,341964.319,-507797.9851
27,6435446.791,2078122.225,313241.3193,-512849.2191
28,6405997.126,2089252.003,303255.8819,-505965.0993
29,6387292.938,2086516.128,298369.1409,-509997.2433
30,6286235.798,2096820.537,264949.6449,-506839.0219
31,6490034.061,2070026.705,332254.7105,-520516.9457
32,6297679.278,2088628.358,268181.2049,-509804.2389
33,6268538.83,2092059.048,259529.9829,-508707.3312
34,6259824.596,2090797.207,256962.0208,-508768.7247
35,6284594.255,2093552.459,264744.8035,-507453.0096
36,6291069.481,2091383.407,266570.5784,-508278.013
37,6285253.662,2090763.112,265088.3649,-508285.389
38,6254987.979,2088098.048,255624.9232,-510304.6716
39,6264028.678,2088224.361,258228.9577,-509730.3821
40,6283686.818,2084711.358,263944.0996,-509934.4141
41,6270786.085,2086687.688,260289.2483,-509998.002
42,6290991.927,2083985.218,265852.3953,-510351.3789
43,6246744.858,2078828.265,253335.1186,-511974.5775
