Purpose,OutboundPeriod,ReturnPeriod,Percent
4,1,1,0.00107
4,1,2,0.00239
4,1,3,0.00003
4,1,4,0
4,1,5,0
4,1,6,0
4,1,7,0
4,1,8,0
4,1,9,0
4,1,10,0
4,1,11,0
4,1,12,0
4,1,13,0
4,1,14,0
4,1,15,0
4,1,16,0
4,1,17,0
4,1,18,0
4,1,19,0.00015
4,1,20,0
4,1,21,0
4,1,22,0
4,1,23,0
4,1,24,0
4,1,25,0
4,1,26,0.00007
4,1,27,0
4,1,28,0
4,1,29,0
4,1,30,0
4,1,31,0
4,1,32,0
4,1,33,0.00023
4,1,34,0
4,1,35,0
4,1,36,0
4,1,37,0
4,1,38,0
4,1,39,0
4,1,40,0
4,2,1,0
4,2,2,0.00017
4,2,3,0
4,2,4,0.00027
4,2,5,0.00005
4,2,6,0
4,2,7,0
4,2,8,0
4,2,9,0
4,2,10,0
4,2,11,0
4,2,12,0
4,2,13,0
4,2,14,0
4,2,15,0
4,2,16,0
4,2,17,0
4,2,18,0
4,2,19,0
4,2,20,0
4,2,21,0
4,2,22,0
4,2,23,0
4,2,24,0.00003
4,2,25,0
4,2,26,0
4,2,27,0
4,2,28,0
4,2,29,0
4,2,30,0
4,2,31,0.00013
4,2,32,0
4,2,33,0
4,2,34,0
4,2,35,0
4,2,36,0
4,2,37,0
4,2,38,0
4,2,39,0
4,2,40,0
4,3,1,0
4,3,2,0
4,3,3,0.00003
4,3,4,0.00016
4,3,5,0.00003
4,3,6,0.00078
4,3,7,0.00003
4,3,8,0.00003
4,3,9,0.00014
4,3,10,0
4,3,11,0
4,3,12,0
4,3,13,0.00004
4,3,14,0.00003
4,3,15,0
4,3,16,0
4,3,17,0
4,3,18,0
4,3,19,0
4,3,20,0
4,3,21,0
4,3,22,0
4,3,23,0
4,3,24,0
4,3,25,0
4,3,26,0
4,3,27,0
4,3,28,0
4,3,29,0
4,3,30,0
4,3,31,0
4,3,32,0
4,3,33,0
4,3,34,0
4,3,35,0
4,3,36,0
4,3,37,0
4,3,38,0
4,3,39,0
4,3,40,0
4,4,1,0
4,4,2,0
4,4,3,0
4,4,4,0.00152
4,4,5,0.0034
4,4,6,0.00059
4,4,7,0.00015
4,4,8,0
4,4,9,0
4,4,10,0
4,4,11,0.00001
4,4,12,0
4,4,13,0.00011
4,4,14,0
4,4,15,0
4,4,16,0
4,4,17,0
4,4,18,0.00003
4,4,19,0
4,4,20,0
4,4,21,0
4,4,22,0
4,4,23,0
4,4,24,0.00121
4,4,25,0
4,4,26,0.0027
4,4,27,0.00003
4,4,28,0
4,4,29,0.00073
4,4,30,0
4,4,31,0
4,4,32,0
4,4,33,0
4,4,34,0
4,4,35,0
4,4,36,0
4,4,37,0
4,4,38,0
4,4,39,0
4,4,40,0
4,5,1,0
4,5,2,0
4,5,3,0
4,5,4,0
4,5,5,0.00092
4,5,6,0.00677
4,5,7,0.00419
4,5,8,0.001
4,5,9,0.00066
4,5,10,0.00348
4,5,11,0.00375
4,5,12,0.00003
4,5,13,0
4,5,14,0
4,5,15,0.00009
4,5,16,0.00004
4,5,17,0.00005
4,5,18,0.00004
4,5,19,0.00009
4,5,20,0.00018
4,5,21,0.00044
4,5,22,0.00033
4,5,23,0.00049
4,5,24,0.00066
4,5,25,0.00045
4,5,26,0
4,5,27,0.00003
4,5,28,0.00281
4,5,29,0.00009
4,5,30,0.00055
4,5,31,0.00239
4,5,32,0
4,5,33,0
4,5,34,0.00003
4,5,35,0
4,5,36,0
4,5,37,0
4,5,38,0
4,5,39,0
4,5,40,0
4,6,1,0
4,6,2,0
4,6,3,0
4,6,4,0
4,6,5,0
4,6,6,0.01443
4,6,7,0.02132
4,6,8,0.0158
4,6,9,0.00095
4,6,10,0.00302
4,6,11,0.00336
4,6,12,0.00014
4,6,13,0.00007
4,6,14,0.00008
4,6,15,0.00009
4,6,16,0.00001
4,6,17,0.00078
4,6,18,0.00009
4,6,19,0.00026
4,6,20,0.00003
4,6,21,0.00047
4,6,22,0.00082
4,6,23,0.00117
4,6,24,0.00129
4,6,25,0.00131
4,6,26,0.00112
4,6,27,0.00129
4,6,28,0.00106
4,6,29,0.00021
4,6,30,0.00266
4,6,31,0.00005
4,6,32,0.00005
4,6,33,0
4,6,34,0.00008
4,6,35,0
4,6,36,0
4,6,37,0
4,6,38,0
4,6,39,0.00004
4,6,40,0
4,7,1,0
4,7,2,0
4,7,3,0
4,7,4,0
4,7,5,0
4,7,6,0
4,7,7,0.01834
4,7,8,0.06136
4,7,9,0.00654
4,7,10,0.00168
4,7,11,0.00141
4,7,12,0.00004
4,7,13,0.00313
4,7,14,0.00035
4,7,15,0.00076
4,7,16,0.00012
4,7,17,0.00204
4,7,18,0.00359
4,7,19,0
4,7,20,0.00004
4,7,21,0.00553
4,7,22,0.00566
4,7,23,0.00025
4,7,24,0.00026
4,7,25,0.00111
4,7,26,0.00001
4,7,27,0.00084
4,7,28,0.00035
4,7,29,0.00005
4,7,30,0.00096
4,7,31,0.00024
4,7,32,0
4,7,33,0.00007
4,7,34,0.00004
4,7,35,0.00004
4,7,36,0
4,7,37,0
4,7,38,0
4,7,39,0
4,7,40,0
4,8,1,0
4,8,2,0
4,8,3,0
4,8,4,0
4,8,5,0
4,8,6,0
4,8,7,0
4,8,8,0.01003
4,8,9,0.01948
4,8,10,0.00721
4,8,11,0.00062
4,8,12,0.00103
4,8,13,0.00001
4,8,14,0.00307
4,8,15,0.00005
4,8,16,0.00022
4,8,17,0.00079
4,8,18,0.00028
4,8,19,0.00001
4,8,20,0.00035
4,8,21,0.00003
4,8,22,0
4,8,23,0.00097
4,8,24,0.00055
4,8,25,0.00016
4,8,26,0.00037
4,8,27,0.00034
4,8,28,0.00045
4,8,29,0.00014
4,8,30,0
4,8,31,0
4,8,32,0
4,8,33,0
4,8,34,0
4,8,35,0
4,8,36,0
4,8,37,0
4,8,38,0
4,8,39,0
4,8,40,0
4,9,1,0
4,9,2,0
4,9,3,0
4,9,4,0
4,9,5,0
4,9,6,0
4,9,7,0
4,9,8,0
4,9,9,0.00586
4,9,10,0.01313
