TAZ,Type,Y2000,Y2005,Y2008,Y2010,Y2012,Y2014,Y2015,Y2016,Y2017,Y2019,Y2020,Y2022,Y2023,Y2025,Y2026,Y2029,Y2030,Y2032,Y2035,Y2040,Y2045,Y2050,trkProduction,trkAttraction,lhdShare,mhdShare,hhdShare
17,MilitaryEmployees,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,0.02,0.02,0.307,0.155,0.538
42,MilitaryEmployees,28414,28414,28414,28414,28414,28414,28414,28414,28414,28414,28414,28414,28414,28414,28414,28414,28414,28414,28414,28414,28414,28414,0.02,0.02,0.307,0.155,0.538
2383,MilitaryEmployees,9325,9325,9325,9325,9325,9325,9325,9325,9325,9325,9325,9325,9325,9325,9325,9325,9325,9325,9325,9325,9325,9325,0.02,0.02,0.307,0.155,0.538
1381,MilitaryEmployees,4354,4354,4354,4354,4354,4354,4354,4354,4354,4354,4354,4354,4354,4354,4354,4354,4354,4354,4354,4354,4354,4354,0.02,0.02,0.307,0.155,0.538
2133,MilitaryEmployees,2456,2456,2456,2456,2456,2456,2456,2456,2456,2456,2456,2456,2456,2456,2456,2456,2456,2456,2456,2456,2456,2456,0.02,0.02,0.307,0.155,0.538
1485,MilitaryEmployees,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,0.02,0.02,0.307,0.155,0.538
1133,MilitaryEmployees,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,0.02,0.02,0.307,0.155,0.538
1278,MilitaryEmployees,14395,14395,14395,14395,14395,14395,14395,14395,14395,14395,14395,14395,14395,14395,14395,14395,14395,14395,14395,14395,14395,14395,0.02,0.02,0.307,0.155,0.538
1599,MilitaryEmployees,569,569,569,569,569,569,569,569,569,569,569,569,569,569,569,569,569,569,569,569,569,569,0.02,0.02,0.307,0.155,0.538
766,MilitaryEmployees,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,0.02,0.02,0.307,0.155,0.538
2372,MilitaryEmployees,10493,10493,10493,10493,10493,10493,10493,10493,10493,10493,10493,10493,10493,10493,10493,10493,10493,10493,10493,10493,10493,10493,0.02,0.02,0.307,0.155,0.538
1751,MilitaryEmployees,5076,5076,5076,5076,5076,5076,5076,5076,5076,5076,5076,5076,5076,5076,5076,5076,5076,5076,5076,5076,5076,5076,0.02,0.02,0.307,0.155,0.538
2384,MilitaryEmployees,7213,7213,7213,7213,7213,7213,7213,7213,7213,7213,7213,7213,7213,7213,7213,7213,7213,7213,7213,7213,7213,7213,0.02,0.02,0.307,0.155,0.538
2518,MilitaryEmployees,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,0.02,0.02,0.307,0.155,0.538
1457,DailyAirMailTons,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,0.1,0.1,0.307,0.155,0.538
1595,DailyCruiseShips,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,20,20,0.307,0.155,0.538
