Facility_name,HOV,Year,Time_of_Day, DA_Factor, S2_Factor, S3_Factor, TRK_L_Factor, TRK_M_Factor, TRK_H_Factor
I-15,2,2016,ALL,1,0,0,99,99,99
SR-125,4,2016,ALL,1,1,1,1,1.03,2.33
I-15,2,2019,ALL,1,0,0,99,99,99
SR-125,4,2019,ALL,1,1,1,1,1.03,2.33
SR-125,4,2020,ALL,1,1,1,1,1.03,2.33
I-15,2,2020,ALL,1,0,0,99,99,99
SR-125,4,2022,ALL,1,1,1,1,1.03,2.33
I-15,2,2022,ALL,1,0,0,99,99,99
I-15,2,2023,ALL,1,0,0,99,99,99
SR-125,4,2023,ALL,1,1,1,1,1.03,2.33
I-15,3,2025,ALL,1,1,0,99,99,99
SR-125,4,2025,ALL,1,1,1,1,1.03,2.33
I-15,3,2026,ALL,1,1,0,99,99,99
SR-125,4,2026,ALL,1,1,1,1,1.03,2.33
SR-11,4,2026,ALL,1,1,1,1,3,3
I-15,3,2029,ALL,1,0.5,0,99,99,99
SR-125,4,2029,ALL,1,1,1,1,1.03,2.33
SR-11,4,2029,ALL,1,1,1,1,3,3
I-5,3,2029,ALL,1,0.5,0,99,99,99
SR-78,3,2029,ALL,1,0.5,0,99,99,99
I-805,3,2029,ALL,1,0.5,0,99,99,99
SR-163,3,2029,ALL,1,0.5,0,99,99,99
SR-125,3,2029,ALL,1,0.5,0,99,99,99
SR-56,3,2029,ALL,1,0.5,0,99,99,99
I-15,3,2030,ALL,1,0.5,0,99,99,99
SR-125,4,2030,ALL,1,1,1,1,1.03,2.33
SR-11,4,2030,ALL,1,1,1,1,3,3
I-5,3,2030,ALL,1,0.5,0,99,99,99
SR-78,3,2030,ALL,1,0.5,0,99,99,99
I-805,3,2030,ALL,1,0.5,0,99,99,99
SR-163,3,2030,ALL,1,0.5,0,99,99,99
SR-125,3,2030,ALL,1,0.5,0,99,99,99
SR-56,3,2030,ALL,1,0.5,0,99,99,99
I-15,3,2032,ALL,1,0.5,0,99,99,99
SR-125,4,2032,ALL,1,1,1,1,1.03,2.33
SR-11,4,2032,ALL,1,1,1,1,3,3
I-5,3,2032,ALL,1,0.5,0,99,99,99
SR-78,3,2032,ALL,1,0.5,0,99,99,99
I-805,3,2032,ALL,1,0.5,0,99,99,99
SR-163,3,2032,ALL,1,0.5,0,99,99,99
SR-125,3,2032,ALL,1,0.5,0,99,99,99
SR-56,3,2032,ALL,1,0.5,0,99,99,99
SR-52,3,2032,ALL,1,0.5,0,99,99,99
I-5,3,2035,ALL,1,0.5,0,99,99,99
I-8,3,2035,ALL,1,0.5,0,99,99,99
SR-11,4,2035,ALL,1,1,1,1,3,3
I-15,3,2035,ALL,1,0.5,0,99,99,99
SR-15,3,2035,ALL,1,0.5,0,99,99,99
SR-52,3,2035,ALL,1,0.5,0,99,99,99
SR-78,3,2035,ALL,1,0.5,0,99,99,99
SR-94,3,2035,ALL,1,0.5,0,99,99,99
SR-125,3,2035,ALL,1,0.5,0,99,99,99
SR-125,4,2035,ALL,1,1,1,1,1.03,2.33
SR-163,3,2035,ALL,1,0.5,0,99,99,99
I-805,3,2035,ALL,1,0.5,0,99,99,99
SR-56,3,2035,ALL,1,0.5,0,99,99,99
I-5,3,2040,ALL,1,0.5,0,99,99,99
I-8,3,2040,ALL,1,0.5,0,99,99,99
SR-11,4,2040,ALL,1,1,1,1,3,3
I-15,3,2040,ALL,1,0.5,0,99,99,99
SR-15,3,2040,ALL,1,0.5,0,99,99,99
SR-52,3,2040,ALL,1,0.5,0,99,99,99
SR-78,3,2040,ALL,1,0.5,0,99,99,99
SR-94,3,2040,ALL,1,0.5,0,99,99,99
SR-125,3,2040,ALL,1,0.5,0,99,99,99
SR-125,4,2040,ALL,1,1,1,1,1.03,2.33
SR-163,3,2040,ALL,1,0.5,0,99,99,99
I-805,3,2040,ALL,1,0.5,0,99,99,99
SR-56,3,2040,ALL,1,0.5,0,99,99,99
I-5,3,2050,ALL,1,0.5,0,99,99,99
I-8,3,2050,ALL,1,0.5,0,99,99,99
SR-11,4,2050,ALL,1,1,1,1,3,3
I-15,3,2050,ALL,1,0.5,0,99,99,99
SR-15,3,2050,ALL,1,0.5,0,99,99,99
SR-52,3,2050,ALL,1,0.5,0,99,99,99
SR-54,3,2050,ALL,1,0.5,0,99,99,99
SR-56,3,2050,ALL,1,0.5,0,99,99,99
SR-78,3,2050,ALL,1,0.5,0,99,99,99
SR-94,3,2050,ALL,1,0.5,0,99,99,99
SR-125,3,2050,ALL,1,0.5,0,99,99,99
SR-163,3,2050,ALL,1,0.5,0,99,99,99
I-805,3,2050,ALL,1,0.5,0,99,99,99
SR-905,3,2050,ALL,1,0.5,0,99,99,99
