RemainingLow,RemainingHigh,Stop,0,1,2,3,4,5,6,7,8,9,10,11
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
3,3,1,1,0,0,0,0,0,0,0,0,0,0,0
4,4,1,0.863636364,0,0.045454545,0,0.090909091,0,0,0,0,0,0,0
5,5,1,0.96,0,0,0,0.04,0,0,0,0,0,0,0
6,6,1,0.953488372,0,0.023255814,0,0.023255814,0,0,0,0,0,0,0
7,7,1,0.972222222,0,0.027777778,0,0,0,0,0,0,0,0,0
8,8,1,0.977272727,0,0,0,0,0,0.022727273,0,0,0,0,0
9,9,1,0.96969697,0,0,0.03030303,0,0,0,0,0,0,0,0
10,10,1,1,0,0,0,0,0,0,0,0,0,0,0
11,11,1,0.9,0,0,0.05,0,0.05,0,0,0,0,0,0
12,12,1,0.941176471,0.029411765,0,0,0,0.029411765,0,0,0,0,0,0
13,13,1,0.97826087,0,0,0,0.02173913,0,0,0,0,0,0,0
14,14,1,0.948717949,0,0,0,0,0.051282051,0,0,0,0,0,0
15,15,1,0.913043478,0,0,0,0.065217391,0.02173913,0,0,0,0,0,0
16,16,1,0.839285714,0,0.017857143,0.017857143,0.035714286,0.053571429,0.017857143,0.017857143,0,0,0,0
17,17,1,0.904761905,0,0,0,0.023809524,0.023809524,0.023809524,0,0.023809524,0,0,0
18,18,1,0.909090909,0,0.054545455,0.018181818,0,0,0,0,0,0.018181818,0,0
19,19,1,0.96,0,0,0.02,0.02,0,0,0,0,0,0,0
20,20,1,0.955882353,0,0,0.029411765,0.014705882,0,0,0,0,0,0,0
21,21,1,0.977272727,0,0,0.022727273,0,0,0,0,0,0,0,0
22,22,1,0.944444444,0.018518519,0,0,0,0.018518519,0.018518519,0,0,0,0,0
23,23,1,0.894736842,0,0.026315789,0.026315789,0,0,0.026315789,0,0,0,0.026315795,0
24,24,1,0.931034483,0,0,0,0.034482759,0,0,0.034482759,0,0,0,0
25,25,1,0.916666667,0,0,0,0.041666667,0,0,0,0.041666667,0,0,0
26,26,1,1,0,0,0,0,0,0,0,0,0,0,0
27,48,1,0.897348485,0.006060606,0,0.090909091,0.005681818,0,0,0,0,0,0,0
