Purpose,DurationLo,DurationHi,Outbound,Inbound,Percent
0,0,4,0,0,0.9375
0,0,4,0,1,0
0,0,4,0,2,0
0,0,4,0,3,0
0,0,4,1,0,0.0625
0,0,4,1,1,0
0,0,4,1,2,0
0,0,4,1,3,0
0,4,8,0,0,0.5
0,4,8,0,1,0.214285714
0,4,8,0,2,0.071428571
0,4,8,0,3,0.071428571
0,4,8,1,0,0.142857143
0,4,8,1,1,0
0,4,8,1,2,0
0,4,8,1,3,0
0,8,24,0,0,0.306451613
0,8,24,0,1,0.403225806
0,8,24,0,2,0.096774194
0,8,24,0,3,0.048387097
0,8,24,1,0,0.032258065
0,8,24,1,1,0.096774194
0,8,24,1,2,0
0,8,24,1,3,0.016129032
1,0,4,0,0,0.948717949
1,0,4,0,1,0.012820513
1,0,4,0,2,0
1,0,4,0,3,0
1,0,4,1,0,0.038461538
1,0,4,1,1,0
1,0,4,1,2,0
1,0,4,1,3,0
1,4,8,0,0,0.74537037
1,4,8,0,1,0.194444444
1,4,8,0,2,0
1,4,8,0,3,0
1,4,8,1,0,0.060185185
1,4,8,1,1,0
1,4,8,1,2,0
1,4,8,1,3,0
1,8,24,0,0,0.444717445
1,8,24,0,1,0.432432432
1,8,24,0,2,0.066339066
1,8,24,0,3,0.002457002
1,8,24,1,0,0.036855037
1,8,24,1,1,0.012285012
1,8,24,1,2,0.004914005
1,8,24,1,3,0
2,0,4,0,0,1
2,0,4,0,1,0
2,0,4,0,2,0
2,0,4,0,3,0
2,0,4,1,0,0
2,0,4,1,1,0
2,0,4,1,2,0
2,0,4,1,3,0
2,4,8,0,0,0.9375
2,4,8,0,1,0.0625
2,4,8,0,2,0
2,4,8,0,3,0
2,4,8,1,0,0
2,4,8,1,1,0
2,4,8,1,2,0
2,4,8,1,3,0
2,8,24,0,0,0
2,8,24,0,1,1
2,8,24,0,2,0
2,8,24,0,3,0
2,8,24,1,0,0
2,8,24,1,1,0
2,8,24,1,2,0
2,8,24,1,3,0
