TourPurp,Inbound,StopNum,Multiple,StopPurp0,StopPurp1,StopPurp2
0,0,1,0,0,0,1
0,0,1,1,0,0.5,0.5
0,0,2,1,0,0.5,0.5
0,0,3,1,0,0.5,0.5
0,1,1,0,0.142857143,0.214285714,0.642857143
0,1,1,1,0.109589041,0.232876712,0.657534247
0,1,2,1,0.055555556,0.777777778,0.166666667
0,1,3,1,0,0.666666667,0.333333333
1,0,1,0,0,0,1
1,0,1,1,0,0.5,0.5
1,0,2,1,0,0.5,0.5
1,0,3,1,0,0.5,0.5
1,1,1,0,0,0.483050847,0.516949153
1,1,1,1,0,0.520599251,0.479400749
1,1,2,1,0,0.419354839,0.580645161
1,1,3,1,0,1,0
2,0,1,0,0,0,1
2,0,1,1,0,0.5,0.5
2,0,2,1,0,0.5,0.5
2,0,3,1,0,0.5,0.5
2,1,1,0,0,0.5,0.5
2,1,1,1,0,0.5,0.5
2,1,2,1,0,0.5,0.5
2,1,3,1,0,0.5,0.5
