"","PERTYPE","DAP","freq"
"1",1,"H",117814.058396363
"2",1,"M",918201.042455598
"3",1,"N",182827.578116581
"4",2,"H",28982.287374719
"5",2,"M",121229.83685897
"6",2,"N",66987.5873544731
"7",3,"H",51730.0876786068
"8",3,"M",197921.530072402
"9",3,"N",55687.152404932
"10",4,"H",134960.195619051
"11",4,"N",253344.884922733
"12",5,"H",127090.263892721
"13",5,"N",193209.852185359
"14",6,"H",25893.3591192109
"15",6,"M",76807.0092311967
"16",6,"N",15047.7573549299
"17",7,"H",65646.2267766667
"18",7,"M",279263.339273333
"19",7,"N",71242.30205
"20",8,"H",42791.8370183333
"21",8,"M",45886.2490983333
"22",8,"N",85086.4908833333
