"","PERTYPE","nmtours","freq"
"1","1","0",859066.47311952
"2","2","0",119358.140856857
"3","3","0",200047.723314765
"4","4","0",174547.100599545
"5","5","0",154431.046220751
"6","6","0",90688.5371458482
"7","7","0",308957.145873333
"8","8","0",109637.922815
"9","Total","0",2016734.08994562
"10","1","1",261997.7071978
"11","2","1",58003.3343485198
"12","3","1",66751.7997954093
"13","4","1",126263.62965562
"14","5","1",122718.489760978
"15","6","1",25313.7750276727
"16","7","1",84656.430635
"17","8","1",44686.08211
"18","Total","1",790391.248531001
"19","1","2",72219.5695798256
"20","2","2",24241.6315207434
"21","3","2",28599.7818214065
"22","4","2",52607.1302810562
"23","5","2",33753.3079454593
"24","6","2",1609.31046199425
"25","7","2",20561.2226583333
"26","8","2",13291.4186716667
"27","Total","2",246883.372940485
"28","1","3pl",25558.9290713957
"29","2","3pl",15596.6048620421
"30","3","3pl",9939.46522435952
"31","4","3pl",34887.220005562
"32","5","3pl",9397.27215089128
"33","6","3pl",136.503069822342
"34","7","3pl",1977.06893333333
"35","8","3pl",6149.15340333333
"36","Total","3pl",103642.21672074
