"tempid","freq1","freq2","freq3","freq4","freq5","freq6","freq7","freq8","freq9","freq10","freq11","freq12","freq13","freq14","freq15","freq16","freq17","freq18","freq19","freq20","freq21","freq22","freq23","freq24","freq25","freq26","freq27","freq28","freq29","freq30","freq31","freq32","freq33","freq34","freq35","freq36","freq37","freq38","freq39","freq40","TOURPURP","IS_INBOUND","PREV_ORIG_DEP_BIN","TRIP_ID","bin1","bin2","bin3","bin4","bin5","bin6","bin7","bin8","bin9","total"
10011,29841.2299121411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,29841.2299121411,29841.2299121411,29841.2299121411,29841.2299121411,29841.2299121411,29841.2299121411,29841.2299121411,29841.2299121411,29841.2299121411,29841.2299121411
10012,13873.419497301,6286.84401653782,2119.2647,54805.234125,4113.31838,2131.46248,1615.26314,649.2286,117.880255,982.723293333334,0,0,0,0,0,0,309.0184,0,0,0,0,308.0022,0,11.79744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.177,1,0,1,2,13873.419497301,20160.2635138388,22279.5282138388,77084.7623388388,81198.0807188388,83329.5431988388,84944.8063388388,85594.0349388388,87523.6335271721,87523.6335271721
10013,990.393266666667,1910.13206666667,128.77738,7.9118,929.39856,0,0,0,0,0,7.9118,0,0,0,0,0,0,0,0,0,0,0,0,11.79744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,990.393266666667,2900.52533333334,3029.30271333334,3037.21451333334,3966.61307333334,3966.61307333334,3966.61307333334,3966.61307333334,3986.32231333333,3986.32231333333
10014,287.3093,0,16.27155,0,350.688466666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,287.3093,287.3093,303.58085,303.58085,654.269316666667,654.269316666667,654.269316666667,654.269316666667,654.269316666667,654.269316666667
10021,0,33877.0719164333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,33877.0719164333,33877.0719164333,33877.0719164333,33877.0719164333,33877.0719164333,33877.0719164333,33877.0719164333,33877.0719164333,33877.0719164333,33877.0719164333
10022,3403.9171,15250.6646333333,11265.5423832142,10046.30963,4504.4495,4580.6004,1856.21674255983,986.5351,164.33056,15.81576,83.9036,0,0,0,0,0,0,0,65.6496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,15250.6646333333,26516.2070165475,36562.5166465475,41066.9661465475,45647.5665465475,47503.7832891073,48490.3183891073,48654.6489491073,48820.0179091073,52223.9350091073
10023,65.0862,800.635416666667,103.39421,1072.72894906048,368.44398,51.424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,800.635416666667,904.029626666667,1976.75857572714,2345.20255572714,2396.62655572714,2396.62655572714,2396.62655572714,2396.62655572714,2396.62655572714,2461.71275572714
10024,0,109.1385,17.9338666666667,109.1385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,109.1385,127.072366666667,236.210866666667,236.210866666667,236.210866666667,236.210866666667,236.210866666667,236.210866666667,236.210866666667,236.210866666667
10031,0,0,56804.6384447489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,56804.6384447489,56804.6384447489,56804.6384447489,56804.6384447489,56804.6384447489,56804.6384447489,56804.6384447489,56804.6384447489,56804.6384447489,56804.6384447489
10032,143.95442,4621.4354,12683.3590502143,35325.74073207,21195.3098634674,7924.6296,7460.28082,3027.78274,2873.4514,644.17014,1966.2313,302.25122,223.976,54.2426670303187,706.89968,0,130.3172,0,0,0,0,110.0346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,12683.3590502143,48009.0997822842,69204.4096457517,77129.0392457517,84589.3200657517,87617.1028057517,90490.5542057517,91134.7243457517,94628.677012782,99394.066832782
10033,0,0,2237.849063619,280.99575,2316.08046859362,390.31036,141.438,0,0,19.7672,73.2519,547.4008,0,97.77562,32.43552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,2237.849063619,2518.844813619,4834.92528221262,5225.23564221262,5366.67364221262,5366.67364221262,5366.67364221262,5386.44084221262,6137.30468221262,6137.30468221262
10034,0,54.56925,0,331.711943333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,4,0,331.711943333333,331.711943333333,331.711943333333,331.711943333333,331.711943333333,331.711943333333,331.711943333333,331.711943333333,386.281193333333
10041,0,0,0,94048.1345796281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,94048.1345796281,94048.1345796281,94048.1345796281,94048.1345796281,94048.1345796281,94048.1345796281,94048.1345796281,94048.1345796281,94048.1345796281,94048.1345796281
10042,1146.49136,2925.334,958.19541,48200.6757618063,34788.9496760744,34374.4717231433,11655.2152421059,10170.9385333333,3887.52692,4959.89308986831,260.6875,635.3798,287.0418,65.7794,4532.70638,65.0568,65.1586,368.49576,65.6496,53.8016,15.7932,261.0588,0,0,0,0,58.7994,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,48200.6757618063,82989.6254378807,117364.097161024,129019.31240313,139190.250936463,143077.777856463,148037.670946332,148298.358446332,154773.079586332,159803.100356332
10043,0,0,0,2757.27709166667,2850.564265,2025.49541361477,4449.12652,975.495888839127,242.19473,429.8148,673.9887,0,17.497,0,53.9983333333333,0,0,0,0,1559.01828,0,63.9091333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,3,2757.27709166667,5607.84135666667,7633.33677028144,12082.4632902814,13057.9591791206,13300.1539091206,13729.9687091206,14403.9574091206,16098.3801557872,16098.3801557872
