"purpose","nstops","freq_out","freq_inb"
"work","1",862636.759323834,694735.973104248
"univ","1",131178.883798642,133140.986022309
"sch","1",307927.374882216,247344.084794324
"esco","1",344715.823507997,326255.816440559
"imain","1",368568.376946,351999.563211313
"idisc","1",436549.055885114,467131.66729291
"jmain","1",52186.7244227579,46537.0112326244
"jdisc","1",68532.1572886666,61189.6359364155
"atwork","1",203436.12768026,194294.249447123
"Total","1",2775731.28373549,2522628.98748183
"work","2",156195.409121644,237948.90875992
"univ","2",34063.1713656116,31264.4361853526
"sch","2",53816.3336729277,77191.7642430891
"esco","2",47631.9672209554,62839.8009094109
"imain","2",103133.73650357,119887.443783356
"idisc","2",110995.798145536,101403.876044285
"jmain","2",10668.2224227305,13786.5878838238
"jdisc","2",7971.77889335452,13156.6082107739
"atwork","2",13706.3041841316,21156.0141745339
"Total","2",538182.721530462,678635.440194545
"work","3",58101.7073848789,97070.0561078801
"univ","3",11436.2548599713,11400.0528696724
"sch","3",9322.47770844264,35489.8075293379
"esco","3",15224.6957984973,18838.6153400187
"imain","3",46651.2360704028,43519.0928068252
"idisc","3",40113.5878287694,30902.1510432157
"jmain","3",2667.00009126152,3418.10539224403
"jdisc","3",2309.56921497422,3159.63863229344
"atwork","3",1506.74653698556,3753.06647370932
"Total","3",187333.275494184,247550.586195197
"work","4",45042.4157444839,92221.3536027928
"univ","4",13711.3155759963,14584.1505228868
"sch","4",12116.3067091345,23156.8364059701
"esco","4",16321.9070256558,15960.1608631164
"imain","4",27277.5913182476,30224.8410367263
"idisc","4",38600.1067598267,26820.8542388358
"jmain","4",507.806139427894,2288.04856748563
"jdisc","4",981.865720236687,2289.48833774917
"atwork","4",3807.10078666667,3252.94909267714
"Total","4",158366.415779676,210798.68266824
