"","work","univ","sch","esco","imain","idisc","jmain","jdisc","atwork"
"1",44708.9115253411,2516.9473665748,0,4835.5864,508.73325,13991.7782567248,0,373.56624,180.615255
"2",40725.0453382131,254.6559,0,1538.73569666667,1614.86140693067,3923.90100567334,122.622275,131.23672,463.452127931354
"3",71421.055716053,4933.36976731364,1034.5694018446,909.728129794148,833.944923915718,6746.27170344606,0,118.87056,208.737805
"4",119157.221816944,9645.80137287075,11224.440723722,7393.75261404295,2390.63074682809,13644.0082275097,122.622275,1642.20803409955,447.14994799224
"5",152903.547294016,13593.6506924069,44257.2940686298,16823.6808756507,6024.84276941132,19519.4575799139,119.21473,1290.4810562951,3312.11604299224
"6",212649.465176218,33912.5863232675,119584.118520959,47508.7844723475,8934.12174644374,26727.0958313765,118.83841830755,1682.77796737353,2110.85230666667
"7",195611.97881218,23557.4119729938,112112.867985434,88221.0108249963,17857.7218338191,32880.4373559887,1467.9074540199,571.005541118914,5098.08674289989
"8",142005.289223017,31392.9065542329,63330.8357915761,57096.8972302141,23506.8372819587,44227.197234616,655.398936335065,2318.65806938222,8779.69809587558
"9",119906.319104878,22912.1633578663,35065.1928158792,43609.3999468373,38716.7679941951,47753.4063140135,2661.95178615665,3055.19437631727,12748.4691869383
"10",86901.3929919175,21441.5654453589,8535.63727934418,23837.9079322519,65727.460147897,44512.2991262421,6382.45371494133,6175.52348240647,14207.5017395699
"11",69805.5991006741,19160.5704150079,2635.86190666667,19209.6355782693,71561.9916659509,47947.5593190912,3866.73925215456,6264.0990603318,10997.8410974304
"12",52365.5454511415,17192.4745321411,2338.73289666667,17794.2283296729,73379.8924142213,50589.1252499789,12618.3005287179,3466.55054551302,20232.1740978152
"13",50708.0030788557,13882.6483191731,4100.43769,15180.8652853254,76344.2844036366,47338.9500254621,10958.1117555023,5992.63061784438,18947.7510712052
"14",54435.9919781689,15600.1552125386,4730.97090666667,17005.2685809651,80393.354844729,68827.6868544443,8392.32650112379,7821.0555393541,33854.1250318404
"15",80081.3067381914,18607.3705221274,6623.00127344265,22234.9297490467,84166.4788628349,54364.24111838,9444.88698003406,7183.42637933148,42918.0080341354
"16",86967.8983486186,20413.5387054347,8763.18620307745,21507.3244686139,78530.1119460933,64585.4742552706,11442.0430633898,8739.64234764729,62468.7064634748
"17",83110.4004376328,22118.7016832028,25622.1113493265,25955.1170535225,85463.6560519549,64116.4088589058,8754.69106551375,7654.42064836832,48929.7684996017
"18",74509.0329827831,18279.9029145707,21162.7274221618,27929.571960968,88483.4950167934,67803.1888753201,4879.46807095166,6742.63973864808,42243.3186305193
"19",69206.3769615634,22614.7218498767,24662.6699338795,36241.5441373224,91720.0203345812,59028.847849107,4837.160994241,5195.99014274917,30395.1016414572
"20",95097.4163828179,24807.9263079098,41946.1670725285,54168.8287067171,88505.6881481182,48302.9766372695,5508.11191109103,2659.69642051085,27789.9793702254
"21",118841.320165029,18743.2118486528,89308.7016055234,86643.2361982618,100398.03348533,60730.7685623511,5609.70006922164,5117.96180697306,22824.4470720747
"22",131405.183417478,20895.8245289737,83042.0055752378,76254.2043870352,81193.8711315845,52877.0673861077,3980.47846353904,5271.69833079595,13786.9360295941
"23",136869.182267504,23327.6062941059,52857.5565110078,53305.7199975876,70064.2674795776,54458.3879672343,5794.38510763809,2767.21553462594,10405.5570655171
"24",174187.162568427,9486.7598321923,40449.9740503505,50916.9590811236,64382.9653670616,61514.3949838134,8502.82022920391,5642.94764719268,5860.63410035401
"25",190854.458272242,12288.1427884486,47772.6235663102,51868.5590741783,57247.3777264728,62567.9507676764,7944.12031900872,6588.45830813834,4078.71230172107
"26",193692.643978441,18426.220239251,49672.2076598412,44627.9391803291,47212.8688634842,72222.2321019476,7104.90966303412,7015.98431754567,2299.77422166667
"27",152425.830619633,28456.0074592902,33796.7292157144,39425.7644262976,56062.4714926613,86027.3593171963,7563.83875302835,12643.0370288095,2976.61966709098
"28",123806.923388607,22445.0059500348,23863.0807964427,42538.993797505,46041.4482096858,81126.8148983038,4430.03265195073,10731.0809622968,2071.38720937269
"29",99212.4161620961,13843.8330592036,21394.7560375497,28896.4016316493,29009.6251631438,73206.4043112091,4660.18344364833,12831.0270714222,2224.54821543534
"30",67351.5641809113,7338.13866333859,21396.2311259126,33075.0937499151,39951.5707909591,70363.6209671522,6846.50059864833,12140.4153819223,1086.31740464559
"31",53808.6054458299,7105.44362349392,11210.0589241754,20201.1488488256,28686.0364302411,55013.7666420707,4110.46399845164,13291.9891517466,486.573976666667
"32",53716.800732108,10827.7551391427,25299.9239088744,18326.6703893903,28316.9555284016,49792.2117761862,4139.01000666667,7057.97276820282,761.410094645591
"33",38202.7449196198,11595.7621125913,10262.2539075847,8624.22064423231,15701.5541264089,52840.8361912303,1728.98308178497,4642.44103075076,1470.7814
"34",29866.8476679347,11939.0747574402,3823.32048558504,8864.04698844705,14766.2570302054,38715.792814671,454.553428333333,3273.14547327738,1098.08658
"35",18968.0336910965,7316.68399324198,3130.09470913448,8403.02840813957,12541.2641029759,22837.1067680151,2202.98041511831,1543.49177933831,1005.76608
"36",12538.9886626026,5722.71974943353,185.419606170687,6143.39526957982,3134.40635172704,31757.7855448076,549.027053451642,1825.08499653283,256.0438
"37",14032.7912982031,748.128448726435,20.85128,528.454403333333,1437.03270333333,13942.9886173376,655.966763451642,381.453843333333,375.9822
"38",7180.92768052165,1925.70121053654,3.91996,1688.43261952048,931.25248,7046.98879935417,26.8883,123.167008333333,298.5123
"39",11761.4506665626,185.50298,0,3408.7817235584,477.185686939776,5477.61834758461,26.51217,15.9189333333333,0
"40",17757.4336881158,7236.61887771923,59.96584,7384.78764124989,2508.03994360644,15797.0938798165,32.6518,765.135773333333,0
