"","tourmode1","tourmode2","tourmode3","tourmode4","tourmode5","tourmode6","tourmode7","tourmode8","tourmode9"
"1",35374.9452104871,6218.25603058559,2774.50657781853,0,0,0,0,0,135.1548
"2",0,171104.561517763,111387.964571584,0,52.73584,474.86468,32.5284,0,1549.29214845512
"3",0,0,569389.31566519,0,235.12424,2661.7687586346,0,19.5998,3265.82692790726
"4",3777.155895,9248.21471369263,31390.9067798353,47121.8566880365,165.69853,764.581978634595,0,19.5998,43.11956
"5",0,0,0,0,12676.6903371578,0,0,0,0
"6",0,0,0,0,0,16175.9474435864,32.5284,19.5998,0
"7",0,0,0,0,0,0,32.5284,0,0
"8",0,0,0,0,0,0,0,19.5998,0
"9",0,0,0,0,0,184.99636,0,0,20595.993746101
"10",0,1307.74063333333,0,0,0,0,0,0,0
"11",0,114.76486,4831.95930675121,435.429126666667,0,0,0,0,0
