tripmode,tourmode,purpose,value,grp_var
1,Auto SOV,work,2483874,worktourmode1
2,Auto SOV,work,0,worktourmode1
3,Auto SOV,work,0,worktourmode1
4,Auto SOV,work,0,worktourmode1
5,Auto SOV,work,0,worktourmode1
6,Auto SOV,work,0,worktourmode1
7,Auto SOV,work,0,worktourmode1
8,Auto SOV,work,0,worktourmode1
13,Auto SOV,work,0,worktourmode1
1,Auto 2 Person,work,278922,worktourmode2
2,Auto 2 Person,work,301180,worktourmode2
3,Auto 2 Person,work,922,worktourmode2
4,Auto 2 Person,work,20785,worktourmode2
5,Auto 2 Person,work,0,worktourmode2
6,Auto 2 Person,work,0,worktourmode2
7,Auto 2 Person,work,0,worktourmode2
8,Auto 2 Person,work,0,worktourmode2
13,Auto 2 Person,work,0,worktourmode2
1,Auto 3+ Person,work,112755,worktourmode3
2,Auto 3+ Person,work,38576,worktourmode3
3,Auto 3+ Person,work,100966,worktourmode3
4,Auto 3+ Person,work,7089,worktourmode3
5,Auto 3+ Person,work,0,worktourmode3
6,Auto 3+ Person,work,0,worktourmode3
7,Auto 3+ Person,work,0,worktourmode3
8,Auto 3+ Person,work,0,worktourmode3
13,Auto 3+ Person,work,0,worktourmode3
1,Walk,work,0,worktourmode4
2,Walk,work,0,worktourmode4
3,Walk,work,0,worktourmode4
4,Walk,work,25593,worktourmode4
5,Walk,work,0,worktourmode4
6,Walk,work,0,worktourmode4
7,Walk,work,0,worktourmode4
8,Walk,work,0,worktourmode4
13,Walk,work,0,worktourmode4
1,Bike/Moped,work,8070,worktourmode5
2,Bike/Moped,work,5732,worktourmode5
3,Bike/Moped,work,1031,worktourmode5
4,Bike/Moped,work,902,worktourmode5
5,Bike/Moped,work,27305,worktourmode5
6,Bike/Moped,work,0,worktourmode5
7,Bike/Moped,work,0,worktourmode5
8,Bike/Moped,work,0,worktourmode5
13,Bike/Moped,work,0,worktourmode5
1,Walk-Transit,work,0,worktourmode6
2,Walk-Transit,work,1656,worktourmode6
3,Walk-Transit,work,565,worktourmode6
4,Walk-Transit,work,2804,worktourmode6
5,Walk-Transit,work,84,worktourmode6
6,Walk-Transit,work,68600,worktourmode6
7,Walk-Transit,work,0,worktourmode6
8,Walk-Transit,work,0,worktourmode6
13,Walk-Transit,work,0,worktourmode6
1,PNR-Transit,work,4262,worktourmode7
2,PNR-Transit,work,3945,worktourmode7
3,PNR-Transit,work,1001,worktourmode7
4,PNR-Transit,work,935,worktourmode7
5,PNR-Transit,work,0,worktourmode7
6,PNR-Transit,work,1752,worktourmode7
7,PNR-Transit,work,6943,worktourmode7
8,PNR-Transit,work,34,worktourmode7
13,PNR-Transit,work,0,worktourmode7
1,KNR-Transit,work,0,worktourmode8
2,KNR-Transit,work,14432,worktourmode8
3,KNR-Transit,work,2204,worktourmode8
4,KNR-Transit,work,3083,worktourmode8
5,KNR-Transit,work,0,worktourmode8
6,KNR-Transit,work,3033,worktourmode8
7,KNR-Transit,work,0,worktourmode8
8,KNR-Transit,work,9612,worktourmode8
13,KNR-Transit,work,0,worktourmode8
1,School Bus,work,0,worktourmode13
2,School Bus,work,0,worktourmode13
3,School Bus,work,0,worktourmode13
4,School Bus,work,0,worktourmode13
5,School Bus,work,0,worktourmode13
6,School Bus,work,0,worktourmode13
7,School Bus,work,0,worktourmode13
8,School Bus,work,0,worktourmode13
13,School Bus,work,0,worktourmode13
1,Total,work,2887883,workTotal
2,Total,work,365521,workTotal
3,Total,work,106689,workTotal
4,Total,work,61192,workTotal
5,Total,work,27390,workTotal
6,Total,work,73385,workTotal
7,Total,work,6943,workTotal
8,Total,work,9646,workTotal
13,Total,work,0,workTotal
1,Auto SOV,univ,147841,univtourmode1
2,Auto SOV,univ,0,univtourmode1
3,Auto SOV,univ,0,univtourmode1
4,Auto SOV,univ,0,univtourmode1
5,Auto SOV,univ,0,univtourmode1
6,Auto SOV,univ,0,univtourmode1
7,Auto SOV,univ,0,univtourmode1
8,Auto SOV,univ,0,univtourmode1
13,Auto SOV,univ,0,univtourmode1
1,Auto 2 Person,univ,17176,univtourmode2
2,Auto 2 Person,univ,36342,univtourmode2
3,Auto 2 Person,univ,0,univtourmode2
4,Auto 2 Person,univ,4900,univtourmode2
5,Auto 2 Person,univ,0,univtourmode2
6,Auto 2 Person,univ,0,univtourmode2
7,Auto 2 Person,univ,0,univtourmode2
8,Auto 2 Person,univ,0,univtourmode2
13,Auto 2 Person,univ,0,univtourmode2
1,Auto 3+ Person,univ,4477,univtourmode3
2,Auto 3+ Person,univ,4191,univtourmode3
3,Auto 3+ Person,univ,20180,univtourmode3
4,Auto 3+ Person,univ,1256,univtourmode3
5,Auto 3+ Person,univ,0,univtourmode3
6,Auto 3+ Person,univ,0,univtourmode3
7,Auto 3+ Person,univ,0,univtourmode3
8,Auto 3+ Person,univ,0,univtourmode3
13,Auto 3+ Person,univ,0,univtourmode3
1,Walk,univ,0,univtourmode4
2,Walk,univ,0,univtourmode4
3,Walk,univ,0,univtourmode4
4,Walk,univ,5740,univtourmode4
5,Walk,univ,0,univtourmode4
6,Walk,univ,0,univtourmode4
7,Walk,univ,0,univtourmode4
8,Walk,univ,0,univtourmode4
13,Walk,univ,0,univtourmode4
1,Bike/Moped,univ,343,univtourmode5
2,Bike/Moped,univ,100,univtourmode5
3,Bike/Moped,univ,95,univtourmode5
4,Bike/Moped,univ,121,univtourmode5
5,Bike/Moped,univ,577,univtourmode5
6,Bike/Moped,univ,0,univtourmode5
7,Bike/Moped,univ,0,univtourmode5
8,Bike/Moped,univ,0,univtourmode5
13,Bike/Moped,univ,0,univtourmode5
1,Walk-Transit,univ,0,univtourmode6
2,Walk-Transit,univ,1357,univtourmode6
3,Walk-Transit,univ,209,univtourmode6
4,Walk-Transit,univ,4699,univtourmode6
5,Walk-Transit,univ,18,univtourmode6
6,Walk-Transit,univ,29772,univtourmode6
7,Walk-Transit,univ,0,univtourmode6
8,Walk-Transit,univ,0,univtourmode6
13,Walk-Transit,univ,836,univtourmode6
1,PNR-Transit,univ,326,univtourmode7
2,PNR-Transit,univ,1469,univtourmode7
3,PNR-Transit,univ,412,univtourmode7
4,PNR-Transit,univ,528,univtourmode7
5,PNR-Transit,univ,0,univtourmode7
6,PNR-Transit,univ,931,univtourmode7
7,PNR-Transit,univ,1783,univtourmode7
8,PNR-Transit,univ,0,univtourmode7
13,PNR-Transit,univ,0,univtourmode7
1,KNR-Transit,univ,0,univtourmode8
2,KNR-Transit,univ,0,univtourmode8
3,KNR-Transit,univ,0,univtourmode8
4,KNR-Transit,univ,8142,univtourmode8
5,KNR-Transit,univ,0,univtourmode8
6,KNR-Transit,univ,4575,univtourmode8
7,KNR-Transit,univ,0,univtourmode8
8,KNR-Transit,univ,3259,univtourmode8
13,KNR-Transit,univ,0,univtourmode8
1,School Bus,univ,0,univtourmode13
2,School Bus,univ,0,univtourmode13
3,School Bus,univ,0,univtourmode13
4,School Bus,univ,0,univtourmode13
5,School Bus,univ,0,univtourmode13
6,School Bus,univ,0,univtourmode13
7,School Bus,univ,0,univtourmode13
8,School Bus,univ,0,univtourmode13
13,School Bus,univ,0,univtourmode13
1,Total,univ,170163,univTotal
2,Total,univ,43459,univTotal
3,Total,univ,20896,univTotal
4,Total,univ,25385,univTotal
5,Total,univ,595,univTotal
6,Total,univ,35279,univTotal
7,Total,univ,1783,univTotal
8,Total,univ,3259,univTotal
13,Total,univ,836,univTotal
1,Auto SOV,schl,46479,schltourmode1
2,Auto SOV,schl,0,schltourmode1
3,Auto SOV,schl,0,schltourmode1
4,Auto SOV,schl,0,schltourmode1
5,Auto SOV,schl,0,schltourmode1
6,Auto SOV,schl,0,schltourmode1
7,Auto SOV,schl,0,schltourmode1
8,Auto SOV,schl,0,schltourmode1
13,Auto SOV,schl,0,schltourmode1
1,Auto 2 Person,schl,19417,schltourmode2
2,Auto 2 Person,schl,534295,schltourmode2
3,Auto 2 Person,schl,0,schltourmode2
4,Auto 2 Person,schl,28879,schltourmode2
5,Auto 2 Person,schl,0,schltourmode2
6,Auto 2 Person,schl,0,schltourmode2
7,Auto 2 Person,schl,0,schltourmode2
8,Auto 2 Person,schl,0,schltourmode2
13,Auto 2 Person,schl,0,schltourmode2
1,Auto 3+ Person,schl,3123,schltourmode3
2,Auto 3+ Person,schl,125373,schltourmode3
3,Auto 3+ Person,schl,640877,schltourmode3
4,Auto 3+ Person,schl,35332,schltourmode3
5,Auto 3+ Person,schl,0,schltourmode3
6,Auto 3+ Person,schl,0,schltourmode3
7,Auto 3+ Person,schl,0,schltourmode3
8,Auto 3+ Person,schl,0,schltourmode3
13,Auto 3+ Person,schl,0,schltourmode3
1,Walk,schl,0,schltourmode4
2,Walk,schl,0,schltourmode4
3,Walk,schl,0,schltourmode4
4,Walk,schl,64424,schltourmode4
5,Walk,schl,0,schltourmode4
6,Walk,schl,0,schltourmode4
7,Walk,schl,0,schltourmode4
8,Walk,schl,0,schltourmode4
13,Walk,schl,0,schltourmode4
1,Bike/Moped,schl,0,schltourmode5
2,Bike/Moped,schl,63,schltourmode5
3,Bike/Moped,schl,280,schltourmode5
4,Bike/Moped,schl,197,schltourmode5
5,Bike/Moped,schl,15102,schltourmode5
6,Bike/Moped,schl,0,schltourmode5
7,Bike/Moped,schl,0,schltourmode5
8,Bike/Moped,schl,0,schltourmode5
13,Bike/Moped,schl,0,schltourmode5
1,Walk-Transit,schl,0,schltourmode6
2,Walk-Transit,schl,0,schltourmode6
3,Walk-Transit,schl,0,schltourmode6
4,Walk-Transit,schl,0,schltourmode6
