num_stops,purpose,Direction,value
0,1: Work,Inbound,694735.9731
1,1: Work,Inbound,237948.9088
2,1: Work,Inbound,97070.05611
3,1: Work,Inbound,92221.3536
4,1: Work,Inbound,0.0
5,1: Work,Inbound,0.0
6,1: Work,Inbound,0.0
0,2: University,Inbound,133140.986
1,2: University,Inbound,31264.43619
2,2: University,Inbound,11400.05287
3,2: University,Inbound,14584.15052
4,2: University,Inbound,0.0
5,2: University,Inbound,0.0
6,2: University,Inbound,0.0
0,3: School,Inbound,247344.0848
1,3: School,Inbound,77191.76424
2,3: School,Inbound,35489.80753
3,3: School,Inbound,23156.83641
4,3: School,Inbound,0.0
5,3: School,Inbound,0.0
6,3: School,Inbound,0.0
0,4: Escort,Inbound,326255.8164
1,4: Escort,Inbound,62839.80091
2,4: Escort,Inbound,18838.61534
3,4: Escort,Inbound,15960.16086
4,4: Escort,Inbound,0.0
5,4: Escort,Inbound,0.0
6,4: Escort,Inbound,0.0
0,5: Individual Maintenance,Inbound,351999.5632
1,5: Individual Maintenance,Inbound,119887.4438
2,5: Individual Maintenance,Inbound,43519.09281
3,5: Individual Maintenance,Inbound,30224.84104
4,5: Individual Maintenance,Inbound,0.0
5,5: Individual Maintenance,Inbound,0.0
6,5: Individual Maintenance,Inbound,0.0
0,6: Individual Discretionary,Inbound,467131.6673
1,6: Individual Discretionary,Inbound,101403.876
2,6: Individual Discretionary,Inbound,30902.15104
3,6: Individual Discretionary,Inbound,26820.85424
4,6: Individual Discretionary,Inbound,0.0
5,6: Individual Discretionary,Inbound,0.0
6,6: Individual Discretionary,Inbound,0.0
0,7: Joint Maintenance,Inbound,46537.01123
1,7: Joint Maintenance,Inbound,13786.58788
2,7: Joint Maintenance,Inbound,3418.105392
3,7: Joint Maintenance,Inbound,2288.048567
4,7: Joint Maintenance,Inbound,0.0
5,7: Joint Maintenance,Inbound,0.0
6,7: Joint Maintenance,Inbound,0.0
0,8: Joint Discretionary,Inbound,61189.63594
1,8: Joint Discretionary,Inbound,13156.60821
2,8: Joint Discretionary,Inbound,3159.638632
3,8: Joint Discretionary,Inbound,2289.488338
4,8: Joint Discretionary,Inbound,0.0
5,8: Joint Discretionary,Inbound,0.0
6,8: Joint Discretionary,Inbound,0.0
0,9: Work-based,Inbound,194294.2494
1,9: Work-based,Inbound,21156.01417
2,9: Work-based,Inbound,3753.066474
3,9: Work-based,Inbound,3252.949093
4,9: Work-based,Inbound,0.0
5,9: Work-based,Inbound,0.0
6,9: Work-based,Inbound,0.0
0,1: Work,Outbound,862636.7593
1,1: Work,Outbound,156195.4091
2,1: Work,Outbound,58101.70738
3,1: Work,Outbound,45042.41574
4,1: Work,Outbound,0.0
5,1: Work,Outbound,0.0
6,1: Work,Outbound,0.0
0,2: University,Outbound,131178.8838
1,2: University,Outbound,34063.17137
2,2: University,Outbound,11436.25486
3,2: University,Outbound,13711.31558
4,2: University,Outbound,0.0
5,2: University,Outbound,0.0
6,2: University,Outbound,0.0
0,3: School,Outbound,307927.3749
1,3: School,Outbound,53816.33367
2,3: School,Outbound,9322.477708
3,3: School,Outbound,12116.30671
4,3: School,Outbound,0.0
5,3: School,Outbound,0.0
6,3: School,Outbound,0.0
0,4: Escort,Outbound,344715.8235
1,4: Escort,Outbound,47631.96722
2,4: Escort,Outbound,15224.6958
3,4: Escort,Outbound,16321.90703
