tourdur,purpose,freq
0.5,9: Work-based,46624.59558
0.5,4: Escort,52515.72254
0.5,6: Individual Discretionary,21321.29755
0.5,5: Individual Maintenance,22441.4667
0.5,8: Joint Discretionary,1760.6437
0.5,7: Joint Maintenance,2150.419923
0.5,3: School,2528.514297
0.5,Total,152072.6922
0.5,2: University,1951.158665
0.5,1: Work,778.8732781
1,9: Work-based,76063.74054
1,4: Escort,161962.9562
1,6: Individual Discretionary,70617.80811
1,5: Individual Maintenance,100377.8498
1,8: Joint Discretionary,7789.020455
1,7: Joint Maintenance,11348.61943
1,3: School,10425.6541
1,Total,450100.9647
1,2: University,4587.088774
1,1: Work,6928.227278
1.5,9: Work-based,49615.27023
1.5,4: Escort,62473.57492
1.5,6: Individual Discretionary,51656.84822
1.5,5: Individual Maintenance,88521.69975
1.5,8: Joint Discretionary,12572.38617
1.5,7: Joint Maintenance,12308.42688
1.5,3: School,1484.313303
1.5,Total,290705.9172
1.5,2: University,2840.330109
1.5,1: Work,9233.067664
2,9: Work-based,21359.92579
2,4: Escort,23480.81523
2,6: Individual Discretionary,73948.52771
2,5: Individual Maintenance,70519.00347
2,8: Joint Discretionary,11400.36913
2,7: Joint Maintenance,12278.55755
2,3: School,2856.230785
2,Total,228476.9927
2,2: University,3506.141682
2,1: Work,9127.421354
2.5,9: Work-based,10459.7275
2.5,4: Escort,17710.41625
2.5,6: Individual Discretionary,64871.11306
2.5,5: Individual Maintenance,63897.97489
2.5,8: Joint Discretionary,14056.91502
2.5,7: Joint Maintenance,8487.206075
2.5,3: School,2454.88869
2.5,Total,203144.1697
2.5,2: University,10808.60374
2.5,1: Work,10397.32443
3,9: Work-based,4450.144624
3,4: Escort,13489.8215
3,6: Individual Discretionary,55943.52539
3,5: Individual Maintenance,46831.4018
3,8: Joint Discretionary,9275.475389
3,7: Joint Maintenance,5708.009495
3,3: School,5071.350523
3,Total,164103.4563
3,2: University,9956.919605
3,1: Work,13376.80796
3.5,9: Work-based,2105.339343
