poe,StartHour,EndHour,StartPeriod,EndPeriod,PedestrianWait,ReadyWait,SENTRIWait,StandardWait
0,3,5,1,1,6.253196931,66.22122762,11.32352941,80.61700767
0,5,6,2,3,9.615384615,85,15,96.15384615
0,6,7,4,5,17.70833333,88.95833333,18.125,102.7083333
0,7,8,6,7,17.21428571,85.20833333,19.79166667,97.91666667
0,8,9,8,9,17.56097561,93.69565217,18.47826087,104.5652174
0,9,10,10,11,16.17647059,101,17,105
0,10,11,12,13,18.25581395,92.91666667,17.70833333,96.875
0,11,12,14,15,18,91.2,18,98.6
0,12,1,16,17,21.36363636,89.47368421,17.89473684,102.6315789
0,1,2,18,19,19.23076923,87.6,17.33333333,104.3333333
0,2,3,20,21,16.55555556,90.83333333,17.29166667,99.58333333
0,3,4,22,23,11.27906977,85.41666667,18.95833333,106.25
0,4,5,24,25,9,77.72727273,13.18181818,106.1363636
0,5,6,26,27,11.44444444,64.8,14,95.2
0,6,7,28,29,10.26315789,53.33333333,13.33333333,82.14285714
0,7,8,30,31,8.676470588,46.94444444,14.44444444,77.5
0,8,9,32,33,6.833333333,43.04347826,13.91304348,67.17391304
0,9,10,34,35,5.24137931,36.66666667,12.33333333,55
0,10,11,36,37,5.315789474,37.14285714,11.9047619,54.52380952
0,11,12,38,39,4.880952381,43.80952381,11.9047619,57.14285714
0,12,3,40,40,4.89,47.25,7.06,60.14
1,3,5,1,1,13.2,57.8,5,60.8
1,5,6,2,3,32.66666667,76.33333333,13,76
1,6,7,4,5,39.4,82,11,88.4
1,7,8,6,7,50,78.82352941,14.41176471,78.52941176
1,8,9,8,9,54.0625,83.4375,13.75,84.6875
1,9,10,10,11,48.25,76.25,13.25,74.25
1,10,11,12,13,52.63157895,93.94736842,12.63157895,89.73684211
1,11,12,14,15,53.33333333,91.33333333,13.33333333,78.66666667
1,12,1,16,17,51.92307692,91.92307692,11.15384615,88.07692308
1,1,2,18,19,40,88.18181818,8.636363636,83.18181818
1,2,3,20,21,48.46153846,91.34615385,10.38461538,79.03846154
1,3,4,22,23,37.14285714,95.5,12.5,79
1,4,5,24,25,25,78.86363636,9.318181818,67.40909091
1,5,6,26,27,18.21428571,71.8,8.8,55.8
1,6,7,28,29,14.6,51.08695652,14.13043478,42.39130435
1,7,8,30,31,14.80769231,51.25,8.125,45.41666667
1,8,9,32,33,10,46.84210526,7.105263158,42.36842105
1,9,10,34,35,7.466666667,38.92857143,6.928571429,36.78571429
1,10,11,36,37,4.52173913,30.65217391,2,27.39130435
1,11,12,38,39,0.8,40.2,0,41.4
1,12,3,40,40,0.4,40.15,0,44.91
2,3,5,1,1,999,999,999,999
2,5,6,2,3,999,999,999,999
2,6,7,4,5,25.75,999,999,44
2,7,8,6,7,12.64705882,999,999,37.05882353
2,8,9,8,9,4.894736842,999,999,26.31578947
2,9,10,10,11,5.833333333,999,999,26.11111111
2,10,11,12,13,4.227272727,999,999,25.22727273
2,11,12,14,15,4.333333333,999,999,25.95238095
2,12,1,16,17,4.136363636,999,999,25.90909091
2,1,2,18,19,3.833333333,999,999,27.91666667
2,2,3,20,21,3.3125,999,999,23.125
2,3,4,22,23,2.588235294,999,999,22.94117647
2,4,5,24,25,3.866666667,999,999,25.66666667
2,5,6,26,27,2.571428571,999,999,14.64285714
2,6,7,28,29,3.076923077,999,999,16.15384615
2,7,8,30,31,2.818181818,999,999,27.27272727
2,8,9,32,33,2.529411765,999,999,18.82352941
2,9,10,34,35,2.444444444,999,999,14.11764706
2,10,11,36,37,999,999,999,999
2,11,12,38,39,999,999,999,999
2,12,3,40,40,999,999,999,999
