model_selector,segment,emp_trn_wrh,hh,emp_non_ws_wfh,emp_total,emp_non_ws_oth,is_port,emp_oth,emp_con,emp_accm,emp_mnf,emp_hlth,emp_whl,emp_gov,establishment_attraction_laf,establishment_attraction_ret,luz_id,num_hh_package_delivery,num_hh_service,num_hh_food_delivery,establishment_attraction_whl,establishment_attraction_trn,establishment_attraction_ifr,establishment_attraction_agm,establishment_attraction_con,establishment_attraction_mhs,establishment_attraction_epo,emp_food,emp_ret,establishment_attraction,emp_bus_svcs
route_origination,warehouse_emp_trn_wrh,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
route_origination,residence_hh,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
route_origination,residence_emp_non_ws_wfh,0,0,5.49100885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
route_origination,commerce_emp_non_trn_wrh,-1,0,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
route_origination,commerce_emp_accm,0,0,0,0,0,0,0,0,14.92025969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
route_origination,commerce_emp_con,0,0,0,0,0,0,0,8.012156894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
route_origination,commerce_emp_hlth,0,0,0,0,0,0,0,0,0,0,11.03199845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
route_origination,commerce_emp_mnf,0,0,0,0,0,0,0,0,0,10.07734666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
route_origination,commerce_emp_oth,0,0,0,0,0,0,31.11188809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
route_origination,commerce_emp_whl,0,0,0,0,0,0,0,0,0,0,0,62.46147708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
route_origination,is_port,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
