Label,Description,Expression,has attraction,no attraction
#,food,,,
,,segment=='food',coef_asc_food,0
,,(segment=='food')*num_eatout_tours,coef_num_eatout_tours_food,0
,,(segment=='food')*num_non_shop_eatout_tours,coef_num_non_shop_eatout_tours_food,0
,,(segment=='food'),coef_weekday_food,0
,,(segment=='food')*num_adults_worker,coef_num_adults_worker_food,0
,,(segment=='food')*num_nonworker_adults,coef_num_adult_nonworker_food,0
,,(segment=='food')*num_children,coef_num_children_food,0
,,(segment=='food')*auto_ownership,coef_num_cars_food,0
,,(segment=='food')&(auto_ownership==0),coef_zero_car_food,0
,,(segment=='food')*age_18_34,coef_adult_18_34_food,0
,,(segment=='food')*age_35_54,coef_adult_35_54_food,0
,,(segment=='food')*age_55_74,coef_adult_55_74_food,0
,,(segment=='food')*age_75_plus,coef_adult_75_plus_food,0
,,(segment=='food')&((income>=50000)&(income<=99999)),coef_income_50_99_food,0
,,(segment=='food')&((income>=100000)&(income<=199999)),coef_income_100_199_food,0
,,(segment=='food')&(income>=200000),coef_income_200_plus_food,0
#,package,,,
,,segment=='package',coef_asc_package,0
,,(segment=='package')*num_eatout_tours,coef_num_eatout_tours_package,0
,,(segment=='package')*num_non_shop_eatout_tours,coef_num_non_shop_eatout_tours_package,0
,,(segment=='package'),coef_weekday_package,0
,,(segment=='package')*num_adults_worker,coef_num_adults_worker_package,0
,,(segment=='package')*num_nonworker_adults,coef_num_adult_nonworker_package,0
,,(segment=='package')*num_children,coef_num_children_package,0
,,(segment=='package')*auto_ownership,coef_num_cars_package,0
,,(segment=='package')&(auto_ownership==0),coef_zero_car_package,0
,,(segment=='package')*age_18_34,coef_adult_18_34_package,0
,,(segment=='package')*age_35_54,coef_adult_35_54_package,0
,,(segment=='package')*age_55_74,coef_adult_55_74_package,0
,,(segment=='package')*age_75_plus,coef_adult_75_plus_package,0
,,(segment=='package')&((income>=50000)&(income<=99999)),coef_income_50_99_package,0
,,(segment=='package')&((income>=100000)&(income<=199999)),coef_income_100_199_package,0
,,(segment=='package')&(income>=200000),coef_income_200_plus_package,0
#,service,,,
,,segment=='service',coef_asc_service,0
,,(segment=='service')*num_eatout_tours,coef_num_eatout_tours_service,0
,,(segment=='service')*num_non_shop_eatout_tours,coef_num_non_shop_eatout_tours_service,0
,,(segment=='service'),coef_weekday_service,0
,,(segment=='service')*num_adults_worker,coef_num_adults_worker_service,0
,,(segment=='service')*num_nonworker_adults,coef_num_adult_nonworker_service,0
,,(segment=='service')*num_children,coef_num_children_service,0
,,(segment=='service')*auto_ownership,coef_num_cars_service,0
,,(segment=='service')&(auto_ownership==0),coef_zero_car_service,0
,,(segment=='service')*age_18_34,coef_adult_18_34_service,0
,,(segment=='service')*age_35_54,coef_adult_35_54_service,0
,,(segment=='service')*age_55_74,coef_adult_55_74_service,0
,,(segment=='service')*age_75_plus,coef_adult_75_plus_service,0
,,(segment=='service')&((income>=50000)&(income<=99999)),coef_income_50_99_service,0
,,(segment=='service')&((income>=100000)&(income<=199999)),coef_income_100_199_service,0
,,(segment=='service')&(income>=200000),coef_income_200_plus_service,0
