coefficient_name,value,constrain
coef_asc_food,-3.326232689,F
coef_num_eatout_tours_food,0,F
coef_num_non_shop_eatout_tours_food,-0.116033457,F
coef_weekday_food,0.111323871,F
coef_num_adults_worker_food,-0.110983797,F
coef_num_adult_nonworker_food,0.117461742,F
coef_num_children_food,-0.073217376,F
coef_num_cars_food,0,F
coef_zero_car_food,1.327967947,F
coef_adult_18_34_food,0,F
coef_adult_35_54_food,0,F
coef_adult_55_74_food,-0.708756255,F
coef_adult_75_plus_food,-1.164647197,F
coef_income_50_99_food,0.185324902,F
coef_income_100_199_food,0.455370675,F
coef_income_200_plus_food,0.455778309,F
coef_asc_package,-2.058617948,F
coef_num_eatout_tours_package,-0.070592517,F
coef_num_non_shop_eatout_tours_package,-0.039232379,F
coef_weekday_package,0.614505541,F
coef_num_adults_worker_package,0.083328118,F
coef_num_adult_nonworker_package,0.054156477,F
coef_num_children_package,0.163052607,F
coef_num_cars_package,0.07931164,F
coef_zero_car_package,0,F
coef_adult_18_34_package,0,F
coef_adult_35_54_package,0,F
coef_adult_55_74_package,0,F
coef_adult_75_plus_package,0,F
coef_income_50_99_package,0.188007918,F
coef_income_100_199_package,0.47896896,F
coef_income_200_plus_package,0.575242409,F
coef_asc_service,-5.197363526,F
coef_num_eatout_tours_service,0,F
coef_num_non_shop_eatout_tours_service,-0.090845772,F
coef_weekday_service,1.054423272,F
coef_num_adults_worker_service,-0.237161972,F
coef_num_adult_nonworker_service,0,F
coef_num_children_service,0.16335357,F
coef_num_cars_service,0.143070547,F
coef_zero_car_service,0,F
coef_adult_18_34_service,0,F
coef_adult_35_54_service,0,F
coef_adult_55_74_service,0.644079075,F
coef_adult_75_plus_service,1.290976828,F
coef_income_50_99_service,0.289047758,F
coef_income_100_199_service,0.811454388,F
coef_income_200_plus_service,1.387596394,F
