coefficient_name,value,constrain
coef_gen_tt_warehouse,-0.096041,F
coef_gen_tt_agm_warehouse,-0.118111,F
coef_gen_tt_con_warehouse,-0.099971,F
coef_gen_tt_epo_warehouse,-0.108381,F
coef_gen_tt_iut_warehouse,-0.152671,F
coef_gen_tt_residential,-0.070157,F
coef_gen_tt_agm_residential,-0.092227,F
coef_gen_tt_con_residential,-0.074087,F
coef_gen_tt_epo_residential,-0.082497,F
coef_gen_tt_iut_residential,-0.126787,F
coef_gen_tt_commercial,-0.060280,F
coef_gen_tt_agm_commercial,-0.082350,F
coef_gen_tt_con_commercial,-0.064210,F
coef_gen_tt_epo_commercial,-0.072620,F
coef_gen_tt_iut_commercial,-0.116910,F
coef_theta_warehouse,1,T
coef_theta_residential,1,T
coef_theta_commercial,1,T
