purpose,vehicle_type,before_noon,alpha,beta,max_duration
goods_delivery,LCV,TRUE,0.67,20.93,300
goods_delivery,SUT,TRUE,0.67,20.93,300
goods_delivery,MUT,TRUE,0.97,10.53,480
goods_delivery,LCV,FALSE,0.74,22.99,300
goods_delivery,SUT,FALSE,0.74,22.99,300
goods_delivery,MUT,FALSE,0.97,15.38,480
goods_pickup,LCV,TRUE,0.89,8.56,300
goods_pickup,SUT,TRUE,0.89,8.56,300
goods_pickup,MUT,TRUE,0.87,6.46,480
goods_pickup,LCV,FALSE,1.02,11.28,300
goods_pickup,SUT,FALSE,1.02,11.28,300
goods_pickup,MUT,FALSE,1.20,23.31,480
service,LCV,TRUE,0.47,5.86,900
service,SUT,TRUE,0.43,8.48,900
service,MUT,TRUE,0.47,8.33,900
service,LCV,FALSE,0.60,13.79,900
service,SUT,FALSE,0.67,21.07,900
service,MUT,FALSE,0.61,15.66,900
base,LCV,TRUE,0.50,2.78,900
base,SUT,TRUE,0.50,2.78,900
base,MUT,TRUE,0.50,2.78,900
base,LCV,FALSE,0.72,9.11,900
base,SUT,FALSE,0.72,9.11,900
base,MUT,FALSE,0.72,9.11,900
home,LCV,TRUE,0.42,3.50,900
home,SUT,TRUE,0.42,3.50,900
home,MUT,TRUE,0.42,3.50,900
home,LCV,FALSE,0.65,8.58,900
home,SUT,FALSE,0.65,8.58,900
home,MUT,FALSE,0.65,8.58,900
maintenance,LCV,TRUE,0.55,19.81,900
maintenance,SUT,TRUE,0.55,19.81,900
maintenance,MUT,TRUE,0.55,19.81,900
maintenance,LCV,FALSE,0.54,20.37,900
maintenance,SUT,FALSE,0.54,20.37,900
maintenance,MUT,FALSE,0.54,20.37,900
