coefficient_name,value,constrain
coef_gen_tt_warehouse,-0.01157,F
coef_gen_tt_elapsed_timed1000_warehouse,-0.19958665,F
coef_op_cost_lcv_warehouse,-0.06331,F
coef_op_cost_sut_warehouse,-0.02429,F
coef_op_cost_mut_warehouse,-0.01807,F
coef_dist_lcv_warehouse,-0.114779785,F
coef_dist_sut_warehouse,-0.127888908,F
coef_dist_mut_warehouse,-0.017961912,F
coef_gen_tt_stop_service_warehouse,-0.00584,F
coef_gen_tt_stop_maintenance_warehouse,-0.00963,F
coef_gen_tt_stop_home_warehouse,-1.377154112,F
coef_gen_tt_intermodal,-0.01157,F
coef_gen_tt_elapsed_timed1000_intermodal,-0.19958665,F
coef_op_cost_lcv_intermodal,-0.06331,F
coef_op_cost_sut_intermodal,-0.02429,F
coef_op_cost_mut_intermodal,-0.01807,F
coef_dist_lcv_intermodal,-1.125485439,F
coef_dist_sut_intermodal,-1.073624702,F
coef_dist_mut_intermodal,-1.249866491,F
coef_gen_tt_stop_service_intermodal,-0.00584,F
coef_gen_tt_stop_maintenance_intermodal,-0.00963,F
coef_gen_tt_stop_home_intermodal,-1.322845888,F
coef_gen_tt_residential,-0.01157,F
coef_gen_tt_elapsed_timed1000_residential,-0.19958665,F
coef_op_cost_lcv_residential,-0.06331,F
coef_op_cost_sut_residential,-0.02429,F
coef_op_cost_mut_residential,-0.01807,F
coef_dist_lcv_residential,-0.145963381,F
coef_dist_sut_residential,-0.15706732,F
coef_dist_mut_residential,-0.055970592,F
coef_gen_tt_stop_service_residential,-0.00584,F
coef_gen_tt_stop_maintenance_residential,-0.00963,F
coef_gen_tt_stop_home_residential,-1.377154112,F
coef_gen_tt_commercial,-0.01157,F
coef_gen_tt_elapsed_timed1000_commercial,-0.19958665,F
coef_op_cost_lcv_commercial,-0.06331,F
coef_op_cost_sut_commercial,-0.02429,F
coef_op_cost_mut_commercial,-0.01807,F
coef_dist_lcv_commercial,-0.130428355,F
coef_dist_sut_commercial,-0.142533621,F
coef_dist_mut_commercial,-0.037042208,F
coef_gen_tt_stop_service_commercial,-0.00584,F
coef_gen_tt_stop_maintenance_commercial,-0.00963,F
coef_gen_tt_stop_home_commercial,-1.377154112,F
coef_theta_residential,1,T
coef_theta_warehouse,1,T
coef_theta_commercial,1,T
