coefficient_name,value,constrain
coef_gen_tt_warehouse,-0.03716,F
coef_gen_tt_elapsed_timed1000_warehouse,-0.541218436,F
coef_op_cost_lcv_warehouse,-1.145987808,F
coef_gen_tt_stop_service_warehouse,0.02376,F
coef_gen_tt_stop_maintenance_warehouse,0.06326,F
coef_gen_tt_stop_home_warehouse,0.09370,F
coef_gen_tt_intermodal,-0.03716,F
coef_gen_tt_elapsed_timed1000_intermodal,-0.541218436,F
coef_op_cost_lcv_intermodal,-1.145987808,F
coef_gen_tt_stop_service_intermodal,0.02376,F
coef_gen_tt_stop_maintenance_intermodal,0.06326,F
coef_gen_tt_stop_home_intermodal,0.09370,F
coef_gen_tt_residential,-0.03716,F
coef_gen_tt_elapsed_timed1000_residential,-0.541218436,F
coef_op_cost_lcv_residential,-1.145987808,F
coef_gen_tt_stop_service_residential,0.02376,F
coef_gen_tt_stop_maintenance_residential,0.06326,F
coef_gen_tt_stop_home_residential,0.09370,F
coef_gen_tt_commercial,-0.03716,F
coef_gen_tt_elapsed_timed1000_commercial,-0.541218436,F
coef_op_cost_lcv_commercial,-1.145987808,F
coef_gen_tt_stop_service_commercial,0.02376,F
coef_gen_tt_stop_maintenance_commercial,0.06326,F
coef_gen_tt_stop_home_commercial,0.09370,F
coef_theta_residential,1,T
coef_theta_warehouse,1,T
coef_theta_commercial,1,T
