coefficient_name,value,constrain
coef_asc_base,0.003427073,T
coef_asc_goods_pickup,1.270454907,F
coef_asc_goods_delivery,-4.473732657,F
coef_asc_service,3.245501257,F
coef_asc_maintenance,3.71090104,F
coef_asc_home,-1.370772741,F
coef_asc_terminal,1.007156032,F
coef_acc_hh_goods_delivery,0.698,F
coef_construction_goods_delivery,-1.22,F
coef_construction_service,-0.301,F
coef_education_goods_delivery,-2.61,F
coef_medical_service,-0.513,F
coef_medical_home,-1.428,F
coef_information_goods_delivery,-2.771,F
coef_information_maintenance,0.359,F
coef_information_terminal,0.278,F
coef_wholesale_maintenance,0.293,F
coef_wholesale_terminal,0.362,F
coef_retail_goods_delivery,-0.632,F
coef_retail_service,-0.435,F
coef_industrial_maintenance,-0.727,F
coef_industrial_home,-1.038,F
coef_agriculture_service,0.764,F
coef_agriculture_maintenance,0.633,F
coef_agriculture_terminal,1.492,F
coef_sut_goods_delivery,0.0,F
coef_mut_goods_pickup,0.05,F
coef_goods_service,-3.283,F
coef_goods_maintenance,-2.176,F
coef_goods_home,-2.242,F
coef_goods_terminal,-1.973,F
coef_nonresidential_service,1.016,F
coef_mixed_service,1.527,F
coef_mixed_home,0.438,F
coef_mixed_terminal,-0.764,F
coef_elapsed_service,0.001,F
coef_elapsed_maintenance,0.002,F
coef_elapsed_home,0.001,F
coef_elapsed_terminal,0.00675,F
coef_am_base,0.641858765,F
coef_am_goods_delivery,-0.110988664,F
coef_am_goods_pickup,0.409661408,F
coef_am_home,0.943818936,F
coef_am_maintenance,0.481582417,F
coef_am_service,0.839559414,F
coef_am_terminal,-1.205054832,F
coef_md_base,1.084408126,F
coef_md_goods_delivery,1.385648647,F
coef_md_goods_pickup,0.739441705,F
coef_md_home,0.677391905,F
coef_md_maintenance,1.250119712,F
coef_md_service,0.967873549,F
coef_md_terminal,0.469576153,F
coef_pm_base,-3.748536788,F
coef_pm_goods_delivery,-5.635940473,F
coef_pm_goods_pickup,-5.053994295,F
coef_pm_home,-2.323877234,F
coef_pm_maintenance,-3.211725854,F
coef_pm_service,-3.634180578,F
coef_pm_terminal,-3.189914278,F
coef_ev_base,-9.49548172,F
coef_ev_goods_delivery,-9.200732398,F
coef_ev_goods_pickup,-7.700959724,F
coef_ev_home,-6.74668695,F
coef_ev_maintenance,-6.996113002,F
coef_ev_service,-7.844726725,F
coef_ev_terminal,-7.486137785,F
coef_prior_base_next_base,-99.0,F
coef_prior_base_next_service,7.855736296,F
coef_prior_base_next_maint,6.105652835,F
coef_prior_goods_pickup_next_service,-1.414,F
coef_prior_goods_pickup_next_maint,-1.684,F
coef_prior_goods_delivery_next_pickup,-1.472,F
coef_prior_goods_delivery_next_service,-2.799,F
coef_prior_goods_delivery_next_maint,-1.603,F
coef_prior_service_next_pickup,-2.557,F
coef_prior_service_next_delivery,-3.598,F
coef_prior_service_next_service,-1.79683195,F
coef_prior_service_next_maint,-2.958578351,F
coef_prior_maint_next_pickup,-1.607,F
coef_prior_maint_next_delivery,-2.136,F
coef_prior_maint_next_service,-1.740703755,F
coef_prior_maint_next_maint,-1.46,F
coef_prior_home_next_pickup,-3.509,F
coef_prior_home_next_delivery,-3.087,F
coef_prior_home_next_service,-3.283,F
coef_prior_home_next_maint,-2.792,F
coef_prior_home_next_home,-99.0,F
coef_prior_home_next_terminal,-1.952,F
coef_asc_base_tnc,0.0,T
coef_asc_goods_pickup_tnc,-0.5862,F
coef_asc_goods_delivery_tnc,-6.1804,F
coef_asc_service_tnc,-0.6621,F
coef_asc_maintenance_tnc,1.5411,F
coef_asc_home_tnc,-0.6253,F
coef_asc_terminal_tnc,-1.5024,F
coef_tncnrr_goods_delivery,0.6,F
coef_mixed_terminal_tnc,-0.7007,F
coef_elapsed_terminal_tnc,0.0076,F
coef_prior_goods_pickup_next_pickup_tnc,-0.4423,F
coef_prior_goods_pickup_next_delivery_tnc,-1.3357,F
coef_prior_goods_pickup_next_service_tnc,-4.7242,F
coef_prior_goods_pickup_next_maint_tnc,-3.4479,F
coef_prior_goods_pickup_next_home_tnc,-2.9509,F
coef_prior_goods_pickup_next_terminal_tnc,-3.1997,F
coef_prior_goods_delivery_next_pickup_tnc,-1.7594,F
coef_prior_goods_delivery_next_delivery_tnc,-3.5973,F
coef_prior_goods_delivery_next_service_tnc,-4.4092,F
coef_prior_goods_delivery_next_maint_tnc,-4.2114,F
coef_prior_goods_delivery_next_home_tnc,-4.4204,F
coef_prior_goods_delivery_next_terminal_tnc,-3.215,F
coef_prior_service_next_pickup_tnc,-3.7859,F
coef_prior_service_next_delivery_tnc,-7.7792,F
coef_prior_service_next_service_tnc,-3.7601,F
coef_prior_service_next_maint_tnc,-5.9512,F
coef_prior_service_next_home_tnc,-8.8014,F
coef_prior_service_next_terminal_tnc,-4.983,F
coef_prior_maint_next_pickup_tnc,-1.1264,F
coef_prior_maint_next_delivery_tnc,-5.0,F
coef_prior_maint_next_service_tnc,-3.475,F
coef_prior_maint_next_maint_tnc,-2.9016,F
coef_prior_maint_next_home_tnc,-3.2764,F
coef_prior_maint_next_terminal_tnc,-2.0817,F
coef_prior_base_next_pickup_tnc,0.8963,F
coef_prior_base_next_delivery_tnc,-3.6216,F
coef_prior_base_next_service_tnc,-1.6358,F
coef_prior_base_next_maint_tnc,-1.0572,F
coef_prior_base_next_home_tnc,-6.9156,F
coef_prior_base_next_terminal_tnc,-7.7659,F
coef_prior_base_next_base_tnc,-99.0,F
coef_prior_home_next_pickup_tnc,-0.4011,F
coef_prior_home_next_delivery_tnc,-4.8853,F
coef_prior_home_next_service_tnc,-3.3259,F
coef_prior_home_next_maint_tnc,-2.2845,F
coef_prior_home_next_home_tnc,-99.0,F
coef_prior_home_next_terminal_tnc,-2.5963,F
coef_prior_goods_pickup_next_base_tnc,-3.75,F
coef_prior_goods_delivery_next_base_tnc,-5.1201,F
coef_prior_service_next_base_tnc,-6.235,F
coef_prior_maint_next_base_tnc,-4.0729,F
coef_prior_home_next_base_tnc,-99.0,F
coef_prior_originate_next_base_tnc,-7.9156,F
coef_prior_originate_next_pickup_tnc,0.3747,F
coef_prior_originate_next_delivery_tnc,-3.1372,F
coef_prior_originate_next_service_tnc,-1.8672,F
coef_prior_originate_next_maint_tnc,-2.0787,F
coef_prior_originate_next_home_tnc,-4.0041,F
coef_prior_originate_next_terminal_tnc,-0.7975,F
coef_sut_terminal,-0.190345169,F
coef_mut_terminal,0.946605565,F
