coefficient_name,value,constrain
coef_gen_tt_warehouse,-0.022142,F
coef_gen_tt_laf_warehouse,-0.038866,F
coef_gen_tt_trn_warehouse,-0.031351,F
coef_gen_tt_epo_warehouse,-0.048316,F
coef_gen_tt_mut_warehouse,-0.026834,F
coef_gen_tt_intermodal,-0.022142,F
coef_gen_tt_laf_intermodal,-0.038866,F
coef_gen_tt_trn_intermodal,-0.031351,F
coef_gen_tt_epo_intermodal,-0.048316,F
coef_gen_tt_mut_intermodal,-0.026834,F
coef_gen_tt_residential,-0.022142,F
coef_gen_tt_laf_residential,-0.038866,F
coef_gen_tt_trn_residential,-0.031351,F
coef_gen_tt_epo_residential,-0.048316,F
coef_gen_tt_mut_residential,-0.026834,F
coef_gen_tt_residential_terminal_residential,0.01377,F
coef_gen_tt_commercial,-0.022142,F
coef_gen_tt_laf_commercial,-0.038866,F
coef_gen_tt_trn_commercial,-0.031351,F
coef_gen_tt_epo_commercial,-0.048316,F
coef_gen_tt_mut_commercial,-0.026834,F
coef_theta_residential,1,T
coef_theta_warehouse,1,T
coef_theta_commercial,1,T
