coefficient_name,value,constrain
coef_asc_GML,-0.426277217,F
coef_asc_GMN,-1.586658383,F
coef_asc_GMS,-0.904548559,F
coef_asc_GNL,-0.761308966,F
coef_asc_GNM,0.057813142,F
coef_asc_GNS,-0.695652153,F
coef_asc_GRL,-0.600669173,F
coef_asc_GRM,-2.166000836,F
coef_asc_GRS,-0.565896286,F
coef_asc_ML,0.004120102,F
coef_asc_2_MM,-1.931324698,F
coef_asc_MS,-0.546891878,F
coef_asc_SML,0.764948276,F
coef_asc_SMM,-1.696868048,F
coef_asc_SMS,0.207312755,F
coef_asc_SNL,1.455790311,F
coef_asc_SNM,-0.756519862,F
coef_asc_SNS,1.086380336,F
coef_asc_SRL,-0.04205972,F
coef_asc_SRM,-3.782164672,F
coef_asc_SRS,-1.253018819,F
coef_trn_service,-0.255,F
coef_trn_mut,1.821,F
coef_whl_nr,0.61,F
coef_whl_service,-0.441,F
coef_con_nr,-1.076,F
coef_con_mixed,-0.783,F
coef_con_service,0.876,F
coef_con_mut,1.395,F
coef_epo_nr,-0.969,F
coef_epo_service,0.903,F
coef_epo_sut,-0.399,F
coef_iut_nr,-1.245,F
coef_iut_service,0.958,F
coef_ifr_service,0.519,F
coef_ifr_maint,0.625,F
coef_ifr_sut,-1.076,F
coef_ifr_mut,-1.918,F
coef_laf_nr,0.85,F
coef_laf_mixed,-1.017,F
coef_laf_maint,1.105,F
coef_laf_sut,-2.933,F
coef_mhs_nr,0.424,F
coef_mhs_mixed,0.882,F
coef_mhs_service,-1.075,F
coef_ret_nr,0.675,F
coef_ret_service,-0.498,F
coef_unavail,-999,T
