MAZ,TAZ
1,3010
2,1797
3,4361
4,340
5,388
6,323
7,844
8,877
9,4305
10,2573
11,1506
12,1629
13,388
14,4175
15,3389
16,2129
17,2169
18,1527
19,1601
20,2201
21,422
22,3523
23,4021
24,2480
25,1733
26,920
27,4124
28,2099
29,2453
30,3015
31,2477
32,1132
33,1578
34,4315
35,4057
36,1901
37,3731
38,2538
39,2725
40,1571
41,278
42,1005
43,4052
44,651
45,3193
46,1136
47,2479
48,3652
49,1941
50,742
51,3272
52,2247
53,3610
54,4163
55,1870
56,2024
57,46
58,2292
59,1526
60,676
61,281
62,2972
63,720
64,1069
65,4496
66,2203
67,2602
68,4063
69,1578
70,376
71,3101
72,4080
73,1505
74,2121
75,565
76,4372
77,4080
78,33
79,4314
80,1609
81,1897
82,4156
83,1785
84,4086
85,1816
86,1932
87,3279
88,4166
89,2872
90,590
91,4087
92,774
93,1621
94,1658
95,920
96,673
97,2326
98,1425
99,1937
100,48
101,4185
102,1755
103,1074
104,3438
105,4727
106,4565
107,2885
108,3349
109,3208
110,1578
111,2640
112,2649
113,1179
114,2175
115,3091
116,755
117,2724
118,3313
119,2972
120,3440
121,4335
122,4079
123,3592
124,586
125,883
126,1558
127,3901
128,2574
129,588
130,1448
131,1963
132,1837
133,2002
134,2676
135,1654
136,895
137,2479
138,3993
139,1700
140,422
141,271
142,1526
143,1582
144,2338
145,2120
146,2628
147,2121
148,2892
149,4226
150,4052
151,3230
152,737
153,614
154,2483
155,4698
156,2471
157,2169
158,3676
159,1818
160,842
161,3737
162,1876
163,4211
164,765
165,48
166,3021
167,3188
168,3727
169,3655
170,652
171,4291
172,2467
173,2730
174,4107
175,1052
176,4285
177,3483
178,615
179,720
180,2841
181,3272
182,576
183,4280
184,685
185,4225
186,1702
187,989
188,3808
189,588
190,2308
191,2637
192,1355
193,1536
194,2259
195,1505
196,565
197,4035
198,2300
199,541
200,3649
201,1487
202,2251
203,2581
204,1807
205,3440
206,3575
207,4685
208,3069
209,2750
210,547
211,2300
212,2538
213,1630
214,2074
215,2204
216,2569
217,3286
218,49
219,2589
220,851
221,4211
222,959
223,3548
224,3886
225,680
226,2292
227,720
228,941
229,29
230,2408
231,2391
232,1860
233,1760
234,556
235,474
236,2329
237,2776
238,1605
239,4306
240,1835
241,2204
242,2251
243,623
244,4426
245,70
246,707
247,1572
248,2367
249,2288
250,2352
251,46
252,4154
253,588
254,1508
255,2628
256,3605
257,2541
258,3602
259,3602
260,2665
261,2164
262,636
263,1668
264,2389
265,280
266,4387
267,843
268,807
269,3263
270,2627
271,3922
272,3384
273,1018
274,4286
275,343
276,3922
277,2686
278,2538
279,2797
280,2213
281,3082
282,2271
283,990
284,3954
285,599
286,1559
287,3855
288,1815
289,3965
290,1835
291,1639
292,1854
293,22
294,2288
295,1571
296,439
297,2257
298,310
299,2277
300,1710
301,1700
302,549
303,2988
304,2435
305,30
306,1700
307,1453
308,3347
309,2559
310,4700
311,3550
312,2386
313,2628
314,1499
315,641
316,2454
317,4690
318,4052
319,2419
320,2465
321,367
322,43
323,2538
324,3954
325,4315
326,474
327,3090
328,3548
329,3568
330,3247
331,2292
332,29
333,3132
334,2958
335,3461
336,2202
337,2375
338,39
339,586
340,4433
341,3230
342,1863
343,4565
344,2418
345,4305
346,3230
347,4372
348,1101
349,2292
350,393
351,793
352,1486
353,1505
354,1620
355,1540
356,2346
357,1643
358,4075
359,32
360,1527
361,3413
362,2308
363,3388
364,2723
365,2469
366,1505
367,1240
368,4698
369,4675
370,961
371,1602
372,768
373,253
374,2312
375,4252
376,1431
377,2082
378,2505
379,4433
380,1132
381,2186
382,469
383,3160
384,1453
385,2900
386,3987
387,1835
388,1076
389,666
390,2476
391,820
392,2313
393,3397
394,2169
395,883
396,1282
397,1290
398,3810
399,3273
400,3252
401,392
402,2878
403,1624
404,2603
405,3120
406,1149
407,1896
408,3888
409,52
410,1600
411,1550
412,2577
413,1618
414,2280
415,920
416,2327
417,2408
418,1550
419,3571
420,2541
421,1864
422,1486
423,729
424,2256
425,2250
426,2535
427,3787
428,4690
429,3623
430,2013
431,518
432,728
433,991
434,2612
435,2312
436,1843
437,1875
438,2341
439,4378
440,866
441,2233
442,264
443,3969
444,1102
445,2244
446,549
447,4086
448,2345
449,1578
450,752
451,2412
452,2470
453,3886
454,2601
455,2665
456,2313
457,2208
458,2228
459,1290
460,3954
461,4657
462,588
463,1310
464,3990
465,1835
466,3399
467,4159
468,43
469,46
470,813
471,1536
472,14
473,4021
474,3931
475,2339
476,2323
477,474
478,311
479,1572
480,2783
481,4021
482,4156
483,2769
484,559
485,2470
486,1936
487,4653
488,3382
489,403
490,1633
491,2408
492,3550
493,1863
494,2121
495,590
496,1361
497,3069
498,1499
499,2353
500,606
501,4311
502,4366
503,2288
504,711
505,768
506,1741
507,33
508,2762
509,3132
510,3208
511,2768
512,2202
513,699
514,3893
515,549
516,1016
517,3465
518,2263
519,1774
520,1835
521,1355
522,44
523,4686
524,617
525,3901
526,1572
527,2602
528,1578
529,2601
530,533
531,4293
532,1618
533,1572
534,1282
535,2013
536,367
537,1571
538,4269
539,4023
540,4228
541,2635
542,2359
543,1945
544,1716
545,2650
546,2602
547,4052
548,3366
549,617
550,2482
551,1977
552,1257
553,2375
554,2169
555,3877
556,2204
557,851
558,4053
559,1779
560,1769
561,2649
562,615
563,589
564,1845
565,29
566,3193
567,989
568,3364
569,88
570,3462
571,687
572,1361
573,2404
574,1837
575,2208
576,2415
577,2499
578,590
579,3940
580,4067
581,388
582,549
583,2277
584,2042
585,3320
586,1601
587,3969
588,3598
589,3871
590,1016
591,1499
592,3394
593,13
594,2570
595,2182
596,3764
597,2694
598,2875
599,27
600,3294
601,959
602,1282
603,1836
604,1928
605,2505
606,2538
607,3265
608,2589
609,2574
610,1551
611,45
612,962
613,3511
614,95
615,1685
616,2201
617,3158
618,2757
619,2247
620,2768
621,916
622,2210
623,3132
624,3920
625,4646
626,2912
627,2258
628,3778
629,45
630,3665
631,565
632,526
633,4501
634,2676
635,2020
636,2505
637,3886
638,22
639,895
640,1663
641,1185
642,4225
643,4173
644,129
645,926
646,388
647,4196
648,2284
649,2415
650,1882
651,2110
652,385
653,369
654,1506
655,3754
656,4053
657,2841
658,679
659,3920
660,2903
661,3061
662,1230
663,4700
664,2601
665,3364
666,2077
667,2897
668,747
669,3157
670,549
671,2287
672,4702
673,4311
674,900
675,606
676,1623
677,3267
678,2202
679,589
680,1082
681,943
682,1536
683,2694
684,3498
685,4705
686,3307
687,2391
688,2735
689,2554
690,3610
691,2517
692,3523
693,3867
694,3434
695,611
696,744
697,3324
698,2628
699,1572
700,818
701,873
702,1571
703,14
704,1572
705,2396
706,2123
707,1891
708,1631
709,1487
710,2581
711,4052
712,1925
713,2214
714,2389
715,1506
716,2572
717,2480
718,2682
719,4673
720,2013
721,2389
722,1312
723,411
724,1506
725,2469
726,388
727,610
728,991
729,1349
730,2635
731,639
732,793
733,1918
734,4314
735,2502
736,35
737,2284
738,1571
739,2797
740,2476
741,2080
742,2402
743,3484
744,3899
745,2244
746,278
747,1898
748,1555
749,2287
750,1837
751,1725
752,2422
753,2686
754,4309
755,3132
756,3106
757,1076
758,883
759,4425
760,1837
761,3835
762,3272
763,1779
764,1536
765,701
766,3888
767,2074
768,623
769,1517
770,4005
771,2731
772,4457
773,264
774,570
775,1785
776,2345
777,2875
778,1382
779,3575
780,2810
781,2150
782,3598
783,837
784,730
785,3267
786,1831
787,800
788,943
789,3958
790,3075
791,3638
792,1750
793,2506
794,2813
795,1967
796,1779
797,878
798,3496
799,2557
800,703
801,1512
802,3043
803,2750
804,2750
805,2155
806,1857
807,87
808,2327
809,1895
810,3520
811,2288
812,3596
813,2023
814,2776
815,2557
816,2288
817,2572
818,3535
819,1527
820,264
821,36
822,36
823,3350
824,3085
825,2313
826,3708
827,3366
828,654
829,3230
830,3461
831,625
832,4425
833,2391
834,2700
835,2265
836,70
837,1170
838,650
839,3899
840,2338
841,1536
842,471
843,768
844,3389
845,1786
846,3898
847,3448
848,2298
849,3520
850,2505
851,2572
852,3132
853,2391
854,754
855,983
856,829
857,3057
858,2575
859,3619
860,1571
861,2312
862,1212
863,2265
864,2637
865,4021
866,2017
867,747
868,2713
869,4009
870,4340
871,3243
872,1984
873,956
874,2338
875,3462
876,837
877,911
878,2776
879,1136
880,2416
881,2416
882,33
883,3319
884,2450
885,2762
886,3708
887,1470
888,2476
889,2335
890,3783
891,1835
892,2741
893,701
894,2144
895,1133
896,1582
897,2268
898,1807
899,1943
900,825
901,3043
902,2031
903,652
904,2121
905,2395
906,4052
907,4166
908,3598
909,956
910,1667
911,4141
912,261
913,2165
914,982
915,1403
916,2874
917,1425
918,4163
919,4273
920,1052
921,2208
922,1455
923,2676
924,3434
925,2538
926,1600
927,1180
928,936
929,1751
930,4400
931,2309
932,1635
933,1853
934,264
935,264
936,3365
937,2912
938,2129
939,2292
940,1856
941,1018
942,2169
943,728
944,378
945,4052
946,2676
947,2391
948,2541
949,2608
950,2741
951,388
952,2367
953,553
954,3889
955,253
956,541
957,3122
958,549
959,1517
960,677
961,1807
962,1823
963,729
964,1391
965,959
966,2602
967,1700
968,3523
969,4685
970,4686
971,4675
972,4208
973,765
974,3313
975,2523
976,2539
977,563
978,1527
979,851
980,936
981,1838
982,1973
983,2538
984,1942
985,3188
986,622
987,975
988,2304
989,4700
990,570
991,1776
992,4024
993,2391
994,2402
995,652
996,643
997,2359
998,889
999,2470
1000,746
1001,2958
1002,2313
1003,1818
1004,4105
1005,3487
1006,2154
1007,2202
1008,4280
1009,1431
1010,1446
1011,823
1012,2658
1013,1769
1014,3971
1015,1939
1016,1673
1017,2035
1018,422
1019,3336
1020,795
1021,2882
1022,3461
1023,3380
1024,1159
1025,617
1026,2684
1027,371
1028,1486
1029,2169
1030,2442
1031,53
1032,2444
1033,4227
1034,619
1035,2573
1036,2538
1037,3676
1038,1836
1039,4653
1040,1425
1041,1831
1042,3969
1043,1076
1044,427
1045,1527
1046,4340
1047,3619
1048,2252
1049,3307
1050,1982
1051,1578
1052,2841
1053,2841
1054,1834
1055,4697
1056,2003
1057,2339
1058,3091
1059,883
1060,3311
1061,2480
1062,1838
1063,2570
1064,2232
1065,2788
1066,1312
1067,3399
1068,1550
1069,1525
1070,1917
1071,3946
1072,541
1073,4314
1074,3641
1075,2596
1076,1159
1077,95
1078,878
1079,983
1080,2573
1081,2309
1082,1526
1083,4620
1084,1620
1085,2897
1086,2471
1087,4166
1088,1560
1089,2543
1090,754
1091,3722
1092,367
1093,2305
1094,1792
1095,2042
1096,1757
1097,2682
1098,1277
1099,2575
1100,4399
1101,3091
1102,2472
1103,2682
1104,4410
1105,3265
1106,828
1107,4021
1108,3712
1109,2231
1110,3383
1111,2013
1112,1005
1113,3651
1114,30
1115,825
1116,3751
1117,3751
1118,3058
1119,3338
1120,2313
1121,2628
1122,2375
1123,1018
1124,3755
1125,4052
1126,3437
1127,2589
1128,4690
1129,2769
1130,3406
1131,1308
1132,1310
1133,3954
1134,2250
1135,2395
1136,1486
1137,2300
1138,818
1139,1131
1140,983
1141,3535
1142,388
1143,654
1144,25
1145,661
1146,2652
1147,1526
1148,2614
1149,2476
1150,3523
1151,4098
1152,2589
1153,2130
1154,253
1155,2036
1156,1703
1157,3575
1158,3523
1159,2370
1160,3307
1161,4235
1162,4211
1163,1555
1164,1634
1165,4071
1166,2637
1167,2559
1168,4274
1169,2573
1170,32
1171,3465
1172,2312
1173,3272
1174,3674
1175,3465
1176,2581
1177,2145
1178,2076
1179,3893
1180,1159
1181,1419
1182,3522
1183,2339
1184,2207
1185,1961
1186,2480
1187,2214
1188,3243
1189,371
1190,2288
1191,14
1192,4260
1193,347
1194,3349
1195,1784
1196,1747
1197,4272
1198,2501
1199,2688
1200,570
1201,1816
1202,1863
1203,4260
1204,3892
1205,4166
1206,1332
1207,4511
1208,2555
1209,2535
1210,2243
1211,766
1212,1667
1213,2010
1214,2769
1215,1863
1216,1136
1217,54
1218,1086
1219,2479
1220,3810
1221,4014
1222,1527
1223,866
1224,4675
1225,664
1226,4279
1227,3062
1228,949
1229,1032
1230,2665
1231,1582
1232,3890
1233,2355
1234,4459
1235,2391
1236,2313
1237,1856
1238,2154
1239,3855
1240,2562
1241,812
1242,3416
1243,3522
1244,88
1245,3520
1246,3089
1247,1853
1248,271
1249,2300
1250,388
1251,4694
1252,1627
1253,1922
1254,1486
1255,1487
1256,1709
1257,812
1258,586
1259,4021
1260,582
1261,33
1262,4690
1263,3002
1264,4592
1265,737
1266,956
1267,4686
1268,4702
1269,1682
1270,4052
1271,253
1272,1830
1273,3441
1274,3708
1275,2686
1276,48
1277,4292
1278,2607
1279,2530
1280,729
1281,2682
1282,4425
1283,3090
1284,3954
1285,2612
1286,2878
1287,643
1288,1528
1289,2345
1290,3999
1291,2265
1292,2286
1293,1932
1294,963
1295,606
1296,4110
1297,1586
1298,646
1299,1440
1300,423
1301,2589
1302,588
1303,2042
1304,1724
1305,1838
1306,1608
1307,2069
1308,280
1309,912
1310,1240
1311,1453
1312,617
1313,777
1314,2396
1315,343
1316,889
1317,1487
1318,2375
1319,2213
1320,4160
1321,1629
1322,4021
1323,2903
1324,54
1325,2061
1326,1166
1327,1676
1328,1658
1329,720
1330,1540
1331,371
1332,1749
1333,584
1334,613
1335,2009
1336,2700
1337,2637
1338,3460
1339,3923
1340,3722
1341,4264
1342,1925
1343,2292
1344,2776
1345,783
1346,2903
1347,32
1348,2841
1349,2109
1350,49
1351,576
1352,2590
1353,4429
1354,3893
1355,2202
1356,1052
1357,1757
1358,1308
1359,1300
1360,1355
1361,3901
1362,2288
1363,3057
1364,2066
1365,2013
1366,1618
1367,1965
1368,755
1369,2008
1370,611
1371,3058
1372,3029
1373,661
1374,4652
1375,2897
1376,4178
1377,2210
1378,2250
1379,956
1380,17
1381,3350
1382,780
1383,2191
1384,517
1385,253
1386,2286
1387,843
1388,48
1389,989
1390,1571
1391,1571
1392,4286
1393,40
1394,2408
1395,2616
1396,2733
1397,2089
1398,1076
1399,40
1400,3346
1401,2391
