purpose,msa,total_share,purpose_share,source
Resident,Central,0.0845,0.2097,ABM3
Resident,Downtown,0.0193,0.0479,ABM3
Resident,East County,0.0013,0.0032,ABM3
Resident,East Suburban,0.0487,0.1209,ABM3
Resident,North City,0.1172,0.2911,ABM3
Resident,North County East,0.033,0.0818,ABM3
Resident,North County West,0.0377,0.0937,ABM3
Resident,South Suburban,0.0611,0.1517,ABM3
Visitor,Central,0.1157,0.1937,ABM3
Visitor,Downtown,0.1543,0.2583,ABM3
Visitor,East County,0.0023,0.0038,ABM3
Visitor,East Suburban,0.0265,0.0444,ABM3
Visitor,North City,0.1697,0.2841,ABM3
Visitor,North County East,0.0166,0.0279,ABM3
Visitor,North County West,0.0225,0.0376,ABM3
Visitor,South Suburban,0.0896,0.15,ABM3
Resident,Central,0.1003,0.2478,Survey
Resident,Downtown,0.0185,0.0457,Survey
Resident,East County,0.0013,0.0031,Survey
Resident,East Suburban,0.0401,0.0991,Survey
Resident,North City,0.1286,0.3177,Survey
Resident,North County East,0.0275,0.0679,Survey
Resident,North County West,0.0547,0.1352,Survey
Resident,South Suburban,0.0338,0.0835,Survey
Visitor,Central,0.1677,0.2817,Survey
Visitor,Downtown,0.1511,0.2539,Survey
Visitor,East County,0.0008,0.0014,Survey
Visitor,East Suburban,0.0169,0.0284,Survey
Visitor,North City,0.162,0.2721,Survey
Visitor,North County East,0.0205,0.0344,Survey
Visitor,North County West,0.055,0.0925,Survey
Visitor,South Suburban,0.0213,0.0357,Survey
