model_selector,segment,a1,a2,a3,a4,a5,a6,a7,a8,emp_ag,emp_const_non_bldg_prod,emp_const_non_bldg_office,emp_utilities_prod,emp_utilities_office,emp_const_bldg_prod,emp_const_bldg_office,emp_mfg_prod,emp_mfg_office,emp_whsle_whs,emp_trans,emp_retail,emp_prof_bus_svcs,emp_prof_bus_svcs_bldg_maint,emp_pvt_ed_k12,emp_pvt_ed_post_k12_oth,emp_health,emp_personal_svcs_office,emp_amusement,emp_hotel,emp_restaurant_bar,emp_personal_svcs_retail,emp_religious,emp_pvt_hh,emp_state_local_gov_ent,emp_fed_non_mil,emp_fed_mil,emp_state_local_gov_blue,emp_state_local_gov_white,emp_public_ed
non_mandatory,res_bus1,1,0,0,0,0,0,0,0,0.015154491,0.015154491,0.013141642,0.015154491,0.013141642,0.015154491,0.013141642,0.015154491,0.013141642,0.015154491,0.015154491,0.015154491,0.013141642,0.015154491,0.015154491,0.015154491,0.015154491,0.013141642,0.015154491,0.015154491,0.015154491,0.015154491,0.015154491,0.015154491,0.015154491,0.015154491,0.006896072,0.015154491,0.015154491,0.015154491
non_mandatory,res_bus2,0,1,0,0,0,0,0,0,0.015154491,0.015154491,0.013141642,0.015154491,0.013141642,0.015154491,0.013141642,0.015154491,0.013141642,0.015154491,0.015154491,0.015154491,0.013141642,0.015154491,0.015154491,0.015154491,0.015154491,0.013141642,0.015154491,0.015154491,0.015154491,0.015154491,0.015154491,0.015154491,0.015154491,0.015154491,0.006896072,0.015154491,0.015154491,0.015154491
non_mandatory,res_bus3,0,0,1,0,0,0,0,0,0.015154491,0.015154491,0.013141642,0.015154491,0.013141642,0.015154491,0.013141642,0.015154491,0.013141642,0.015154491,0.015154491,0.015154491,0.013141642,0.015154491,0.015154491,0.015154491,0.015154491,0.013141642,0.015154491,0.015154491,0.015154491,0.015154491,0.015154491,0.015154491,0.015154491,0.015154491,0.006896072,0.015154491,0.015154491,0.015154491
non_mandatory,res_bus4,0,0,0,1,0,0,0,0,0.015154491,0.015154491,0.013141642,0.015154491,0.013141642,0.015154491,0.013141642,0.015154491,0.013141642,0.015154491,0.015154491,0.015154491,0.013141642,0.015154491,0.015154491,0.015154491,0.015154491,0.013141642,0.015154491,0.015154491,0.015154491,0.015154491,0.015154491,0.015154491,0.015154491,0.015154491,0.006896072,0.015154491,0.015154491,0.015154491
non_mandatory,res_bus5,0,0,0,0,1,0,0,0,0.015154491,0.015154491,0.013141642,0.015154491,0.013141642,0.015154491,0.013141642,0.015154491,0.013141642,0.015154491,0.015154491,0.015154491,0.013141642,0.015154491,0.015154491,0.015154491,0.015154491,0.013141642,0.015154491,0.015154491,0.015154491,0.015154491,0.015154491,0.015154491,0.015154491,0.015154491,0.006896072,0.015154491,0.015154491,0.015154491
non_mandatory,res_bus6,0,0,0,0,0,1,0,0,0.015154491,0.015154491,0.013141642,0.015154491,0.013141642,0.015154491,0.013141642,0.015154491,0.013141642,0.015154491,0.015154491,0.015154491,0.013141642,0.015154491,0.015154491,0.015154491,0.015154491,0.013141642,0.015154491,0.015154491,0.015154491,0.015154491,0.015154491,0.015154491,0.015154491,0.015154491,0.006896072,0.015154491,0.015154491,0.015154491
non_mandatory,res_bus7,0,0,0,0,0,0,1,0,0.015154491,0.015154491,0.013141642,0.015154491,0.013141642,0.015154491,0.013141642,0.015154491,0.013141642,0.015154491,0.015154491,0.015154491,0.013141642,0.015154491,0.015154491,0.015154491,0.015154491,0.013141642,0.015154491,0.015154491,0.015154491,0.015154491,0.015154491,0.015154491,0.015154491,0.015154491,0.006896072,0.015154491,0.015154491,0.015154491
non_mandatory,res_bus8,0,0,0,0,0,0,0,1,0.015154491,0.015154491,0.013141642,0.015154491,0.013141642,0.015154491,0.013141642,0.015154491,0.013141642,0.015154491,0.015154491,0.015154491,0.013141642,0.015154491,0.015154491,0.015154491,0.015154491,0.013141642,0.015154491,0.015154491,0.015154491,0.015154491,0.015154491,0.015154491,0.015154491,0.015154491,0.006896072,0.015154491,0.015154491,0.015154491
non_mandatory,res_per1,1,0,0,0,0,0,0,0,0.017833399,0.017833399,0.001482027,0.017833399,0.001482027,0.017833399,0.001482027,0.017833399,0.001482027,0.017833399,0.017833399,0.017833399,0.001482027,0.017833399,0.017833399,0.017833399,0.017833399,0.001482027,0.017833399,0.017833399,0.017833399,0.017833399,0.017833399,0.017833399,0.017833399,0.017833399,0.03181542,0.017833399,0.017833399,0.017833399
non_mandatory,res_per2,0,1,0,0,0,0,0,0,0.017833399,0.017833399,0.001482027,0.017833399,0.001482027,0.017833399,0.001482027,0.017833399,0.001482027,0.017833399,0.017833399,0.017833399,0.001482027,0.017833399,0.017833399,0.017833399,0.017833399,0.001482027,0.017833399,0.017833399,0.017833399,0.017833399,0.017833399,0.017833399,0.017833399,0.017833399,0.03181542,0.017833399,0.017833399,0.017833399
non_mandatory,res_per3,0,0,1,0,0,0,0,0,0.017833399,0.017833399,0.001482027,0.017833399,0.001482027,0.017833399,0.001482027,0.017833399,0.001482027,0.017833399,0.017833399,0.017833399,0.001482027,0.017833399,0.017833399,0.017833399,0.017833399,0.001482027,0.017833399,0.017833399,0.017833399,0.017833399,0.017833399,0.017833399,0.017833399,0.017833399,0.03181542,0.017833399,0.017833399,0.017833399
non_mandatory,res_per4,0,0,0,1,0,0,0,0,0.017833399,0.017833399,0.001482027,0.017833399,0.001482027,0.017833399,0.001482027,0.017833399,0.001482027,0.017833399,0.017833399,0.017833399,0.001482027,0.017833399,0.017833399,0.017833399,0.017833399,0.001482027,0.017833399,0.017833399,0.017833399,0.017833399,0.017833399,0.017833399,0.017833399,0.017833399,0.03181542,0.017833399,0.017833399,0.017833399
non_mandatory,res_per5,0,0,0,0,1,0,0,0,0.017833399,0.017833399,0.001482027,0.017833399,0.001482027,0.017833399,0.001482027,0.017833399,0.001482027,0.017833399,0.017833399,0.017833399,0.001482027,0.017833399,0.017833399,0.017833399,0.017833399,0.001482027,0.017833399,0.017833399,0.017833399,0.017833399,0.017833399,0.017833399,0.017833399,0.017833399,0.03181542,0.017833399,0.017833399,0.017833399
non_mandatory,res_per6,0,0,0,0,0,1,0,0,0.017833399,0.017833399,0.001482027,0.017833399,0.001482027,0.017833399,0.001482027,0.017833399,0.001482027,0.017833399,0.017833399,0.017833399,0.001482027,0.017833399,0.017833399,0.017833399,0.017833399,0.001482027,0.017833399,0.017833399,0.017833399,0.017833399,0.017833399,0.017833399,0.017833399,0.017833399,0.03181542,0.017833399,0.017833399,0.017833399
non_mandatory,res_per7,0,0,0,0,0,0,1,0,0.017833399,0.017833399,0.001482027,0.017833399,0.001482027,0.017833399,0.001482027,0.017833399,0.001482027,0.017833399,0.017833399,0.017833399,0.001482027,0.017833399,0.017833399,0.017833399,0.017833399,0.001482027,0.017833399,0.017833399,0.017833399,0.017833399,0.017833399,0.017833399,0.017833399,0.017833399,0.03181542,0.017833399,0.017833399,0.017833399
non_mandatory,res_per8,0,0,0,0,0,0,0,1,0.017833399,0.017833399,0.001482027,0.017833399,0.001482027,0.017833399,0.001482027,0.017833399,0.001482027,0.017833399,0.017833399,0.017833399,0.001482027,0.017833399,0.017833399,0.017833399,0.017833399,0.001482027,0.017833399,0.017833399,0.017833399,0.017833399,0.017833399,0.017833399,0.017833399,0.017833399,0.03181542,0.017833399,0.017833399,0.017833399
non_mandatory,vis_bus,0.006696524,0.006696524,0.006696524,0.006696524,0.006696524,0.006696524,0.006696524,0.006696524,0.006678544,0.006678544,0.010166441,0.006678544,0.010166441,0.006678544,0.010166441,0.006678544,0.010166441,0.006678544,0.006678544,0.006678544,0.010166441,0.006678544,0.006678544,0.006678544,0.006678544,0.010166441,0.098271367,1.00000,0.006678544,0.006678544,0.006678544,0.006678544,0.006678544,0.04002823,0.006678544,0.006678544,0.006678544,0.006678544
non_mandatory,vis_per,0.019709386,0.019709386,0.019709386,0.019709386,0.019709386,0.019709386,0.019709386,0.019709386,0.003375226,0.003375226,0.003375226,0.003375226,0.003375226,0.003375226,0.003375226,0.003375226,0.003375226,0.003375226,0.003375226,0.003375226,0.003375226,0.003375226,0.003375226,0.003375226,0.003375226,0.003375226,0.263208742,1.00000,0.003375226,0.003375226,0.003375226,0.003375226,0.003375226,0.003375226,0.003375226,0.003375226,0.003375226,0.003375226
