coefficient_name,value,constrain
coef_zero,0,T
coef_one,1,T
coef_nest_root,1,T
coef_nest_PARK,0.8,T
coef_nest_PARK_ESCORT,1,T
coef_nest_RENTAL,1,T
coef_nest_SHUTTLEVAN,1,T
coef_nest_HOTEL_COURTESY,1,T
coef_nest_RIDEHAIL,0.8,T
coef_nest_TRANSIT,1,T
coef_nest_CURB,0.8,T
coef_nest_TRANSIT_WALKACCESS,0.8,T
coef_nest_TRANSIT_PNRACCESS,0.8,T
coef_nest_TRANSIT_KNRACCESS,0.8,T
coef_nest_TRANSIT_TNCACCESS,0.8,T
coef_nest_WALK,0.8,T
#,,
coef_c_cost_0,-0.003,F
coef_c_cost_1,-0.001,F
coef_c_cost_2,-0.0006,F
coef_c_cost_3,-0.0004,F
coef_c_cost_4,-0.0003,F
coef_c_cost_5,-0.0003,F
coef_c_cost_6,-0.0002,F
coef_c_cost_7,-0.0001,F
#,,F
coef_ivt_arrival,-0.025,F
coef_ivt,-0.03,F
coef_wait,-0.05,F
coef_walk,-0.05,F
coef_c_cost_per_0,-0.0015,F
coef_c_cost_per_1,-0.0005,F
coef_c_cost_per_2,-0.0003,F
coef_c_cost_per_3,-0.0002,F
coef_c_cost_per_4,-0.00015,F
coef_c_cost_per_5,-0.00015,F
coef_c_cost_per_6,-0.0001,F
coef_c_cost_per_7,-0.00005,F
#,,
coef_asc_res_bus_park,4.7466,F
coef_asc_res_per_park,1.6052,F
coef_asc_vis_bus_park,0,F
coef_asc_vis_per_park,0,F
coef_asc_ext_park,6.3265,F
coef_asc_res_bus_park2,1.5487,F
coef_asc_res_per_park2,0.6235,F
coef_asc_vis_bus_park2,0,F
coef_asc_vis_per_park2,0,F
coef_asc_ext_park2,1.5487,F
coef_asc_res_bus_park3,1.949,F
coef_asc_res_per_park3,-0.1376,F
coef_asc_vis_bus_park3,0,F
coef_asc_vis_per_park3,0,F
coef_asc_ext_park3,3.7856,F
coef_asc_res_bus_escort,-0.4417,F
coef_asc_res_per_escort,-1.032,F
coef_asc_vis_bus_escort,-2.8459,F
coef_asc_vis_per_escort,0.2126,F
coef_asc_ext_escort,0.2589,F
coef_asc_res_bus_rental,0,F
coef_asc_res_per_rental,0,F
coef_asc_vis_bus_rental,1.495,F
coef_asc_vis_per_rental,0.1412,F
coef_asc_ext_rental,0,F
coef_asc_res_bus_shuttle,-1.85798,F
coef_asc_res_per_shuttle,-1.99664,F
coef_asc_vis_bus_shuttle,-0.5239,F
coef_asc_vis_per_shuttle,-2.79235,F
coef_asc_ext_shuttle,-2.8514,F
coef_asc_res_bus_ridehail,2.5877,F
coef_asc_res_per_ridehail,0.2064,F
coef_asc_vis_bus_ridehail,0.8785,F
coef_asc_vis_per_ridehail,-0.6341,F
coef_asc_ext_ridehail,0.0137,F
coef_asc_res_bus_curbside,0,F
coef_asc_res_per_curbside,0,F
coef_asc_vis_bus_curbside,0,F
coef_asc_vis_per_curbside,0,F
coef_asc_ext_curbside,0,F
coef_asc_res_bus_transit,-0.7381,F
coef_asc_res_per_transit,-1.6864,F
coef_asc_vis_bus_transit,-3.2213,F
coef_asc_vis_per_transit,-0.6108,F
coef_asc_ext_transit,0.1597,F
transit_calib_knr,5.351375,F
transit_calib_tnc,5.982497,F
transit_calib_walk,5.479093,F
