period,period_label,external,res_bus,res_per,vis_bus,vis_per
1,THREE_TO_THREE_THIRTY,0.0,0.0,0.0,0.0,0.0
2,THREE_THIRTY_TO_FOUR,0.0,0.0,0.0,0.0,0.0
3,FOUR_TO_FOUR_THIRTY,0.0,0.0,0.0,0.0,0.0
4,FOUR_THIRTY_TO_FIVE,0.0,0.0,0.0,0.0,0.0
5,FIVE_TO_FIVE_THIRTY,0.0,0.0,0.0,0.0,0.0
6,FIVE_THIRTY_TO_SIX,0.0,0.0,0.0,0.0,0.0
7,SIX_TO_SIX_THIRTY,0.0,0.0,0.0,0.0,0.0
8,SIX_THIRTY_TO_SEVEN,0.0,0.0,0.0,0.0,0.0
9,SEVEN_TO_SEVEN_THIRTY,0.0053,0.0053,0.0053,0.0053,0.0053
10,SEVEN_THIRTY_TO_EIGHT,0.018,0.018,0.018,0.018,0.018
11,EIGHT_TO_EIGHT_THIRTY,0.0253,0.0253,0.0253,0.0253,0.0253
12,EIGHT_THIRTY_TO_NINE,0.0221,0.0221,0.0221,0.0221,0.0221
13,NINE_TO_NINE_THIRTY,0.0216,0.0216,0.0216,0.0216,0.0216
14,NINE_THIRTY_TO_TEN,0.0322,0.0322,0.0322,0.0322,0.0322
15,TEN_TO_TEN_THIRTY,0.0332,0.0332,0.0332,0.0332,0.0332
16,TEN_THIRTY_TO_ELEVEN,0.0517,0.0517,0.0517,0.0517,0.0517
17,ELEVEN_TO_ELEVEN_THIRTY,0.028,0.028,0.028,0.028,0.028
18,ELEVEN_THIRTY_TO_NOON,0.0358,0.0358,0.0358,0.0358,0.0358
19,NOON_TO_TWELVE_THIRTY,0.0482,0.0482,0.0482,0.0482,0.0482
20,TWELVE_THIRTY_TO_THIRTEEN,0.0318,0.0318,0.0318,0.0318,0.0318
21,THIRTEEN_TO_THIRTEEN_THIRTY,0.0293,0.0293,0.0293,0.0293,0.0293
22,THIRTEEN_THIRTY_TO_FOURTEEN,0.0242,0.0242,0.0242,0.0242,0.0242
23,FOURTEEN_TO_FOURTEEN_THIRTY,0.0235,0.0235,0.0235,0.0235,0.0235
24,FOURTEEN_THIRTY_TO_FIFTEEN,0.0285,0.0285,0.0285,0.0285,0.0285
25,FIFTEEN_TO_FIFTEEN_THIRTY,0.0206,0.0206,0.0206,0.0206,0.0206
26,FIFTEEN_THIRTY_TO_SIXTEEN,0.0368,0.0368,0.0368,0.0368,0.0368
27,SIXTEEN_TO_SIXTEEN_THIRTY,0.0317,0.0317,0.0317,0.0317,0.0317
28,SIXTEEN_THIRTY_TO_SEventEEN,0.0191,0.0191,0.0191,0.0191,0.0191
29,SEventEEN_TO_SEventEEN_THIRTY,0.0196,0.0196,0.0196,0.0196,0.0196
30,SEventEEN_THIRTY_TO_EIGHTEEN,0.0223,0.0223,0.0223,0.0223,0.0223
31,EIGHTEEN_TO_EIGHTEEN_THIRTY,0.0242,0.0242,0.0242,0.0242,0.0242
32,EIGHTEEN_THIRTY_TO_NINETEEN,0.038,0.038,0.038,0.038,0.038
33,NINETEEN_TO_NINETEEN_THIRTY,0.0418,0.0418,0.0418,0.0418,0.0418
34,NINETEEN_THIRTY_TO_TWENTY,0.042,0.042,0.042,0.042,0.042
35,TWENTY_TO_TWENTY_THIRTY,0.0364,0.0364,0.0364,0.0364,0.0364
36,TWENTY_THIRTY_TO_TWENTY_ONE,0.0374,0.0374,0.0374,0.0374,0.0374
37,TWENTY_ONE_TO_TWENTY_ONE_THIRTY,0.029,0.029,0.029,0.029,0.029
38,TWENTY_ONE_THIRTY_TO_TWENTY_TWO,0.0296,0.0296,0.0296,0.0296,0.0296
39,TWENTY_TWO_TO_TWENTY_TWO_THIRTY,0.0381,0.0381,0.0381,0.0381,0.0381
40,TWENTY_TWO_THIRTY_TO_TWENTY_THREE,0.0253,0.0253,0.0253,0.0253,0.0253
41,TWENTY_THREE_TO_TWENTY_THREE_THIRTY,0.0194,0.0194,0.0194,0.0194,0.0194
42,TWENTY_THREE_THIRTY_TO_MIDNIGHT,0.0211,0.0211,0.0211,0.0211,0.0211
43,MIDNIGHT_TO_ZERO_THIRTY,0.0,0.0,0.0,0.0,0.0
44,ZERO_THIRTY_TO_ONE,0.0044,0.0044,0.0044,0.0044,0.0044
45,ONE_TO_ONE_THIRTY,0.0044,0.0044,0.0044,0.0044,0.0044
46,ONE_THIRTY_TO_TWO,0.0,0.0,0.0,0.0,0.0
47,TWO_TO_TWO_THIRTY,0.0,0.0,0.0,0.0,0.0
48,TWO_THIRTY_TO_THREE,0.0,0.0,0.0,0.0,0.0
