nights_id,nights_label,external,res_bus,res_per,vis_bus,vis_per
0.0,NONE,0.0385,0.0188,0.0202,0.0137,0.0156
1.0,ONE,0.0905,0.0706,0.0319,0.0808,0.0563
2.0,TWO,0.108,0.1931,0.1092,0.1811,0.1085
3.0,THREE,0.1601,0.214,0.1598,0.2351,0.222
4.0,FOUR,0.1483,0.1516,0.1606,0.1994,0.1965
5.0,FIVE,0.1017,0.0922,0.1079,0.1146,0.1082
6.0,SIX,0.0468,0.0446,0.0808,0.046,0.0745
7.0,SEVEN,0.0931,0.051,0.0969,0.041,0.0874
8.0,EIGHT,0.0192,0.0136,0.0247,0.0066,0.0139
9.0,NINE,0.0192,0.0136,0.0247,0.0066,0.0139
10.0,TEN,0.0192,0.0136,0.0247,0.0066,0.0139
11.0,ELEVEN,0.0104,0.0083,0.0132,0.0022,0.0054
12.0,TWELVE,0.0104,0.0083,0.0132,0.0022,0.0054
13.0,THIRTEEN,0.0104,0.0083,0.0132,0.0022,0.0054
14.0,FOURTEEN,0.0104,0.0083,0.0132,0.0022,0.0054
15.0,MORE_THAN_FOURTEEN,0.1135,0.0904,0.1057,0.0596,0.0678
