coefficient_name,value,constrain
coef_one,1,T
coef_zero,0,T
coef_int_res_bus,-0.00329,
coef_int_res_per,-0.00164,
coef_int_vis_bus,-0.00608,
coef_int_vis_per,-0.00248,
coef_int_emp,0,
coef_dist_res_bus,-0.00329,F
coef_dist_res_per,-0.00164,F
coef_dist_vis_bus,-0.00608,F
coef_dist_vis_per,-0.00248,F
coef_dist_res_bus_samp0,-0.36853,
coef_dist_res_bus_samp1,-0.25564,
coef_dist_res_bus_samp2,-0.16853,
coef_dist_res_bus_samp3,-0.11075,
coef_dist_res_bus_samp4,-0.07659,
coef_dist_res_bus_samp5,-0.06491,
coef_dist_res_bus_samp6,-0.02654,
coef_dist_res_bus_samp7,-0.01044,
coef_dist_res_bus_samp8,-0.01044,
coef_dist_res_bus_samp9,-0.01044,
coef_dist_res_per_samp0,-0.19627,
coef_dist_res_per_samp1,-0.14381,
coef_dist_res_per_samp2,-0.09948,
coef_dist_res_per_samp3,-0.07163,
coef_dist_res_per_samp4,-0.05386,
coef_dist_res_per_samp5,-0.0333,
coef_dist_res_per_samp6,-0.01859,
coef_dist_res_per_samp7,-0.01293,
coef_dist_res_per_samp8,-0.00958,
coef_dist_res_per_samp9,-0.0075,
coef_dist_vis_bus_samp0,-0.65902,
coef_dist_vis_bus_samp1,-0.45356,
coef_dist_vis_bus_samp2,-0.29574,
coef_dist_vis_bus_samp3,-0.18945,
coef_dist_vis_bus_samp4,-0.12798,
coef_dist_vis_bus_samp5,-0.04501,
coef_dist_vis_bus_samp6,-0.01927,
coef_dist_vis_bus_samp7,-0.00564,
coef_dist_vis_bus_samp8,-0.00564,
coef_dist_vis_bus_samp9,-0.00564,
coef_dist_vis_per_samp0,-0.28219,
coef_dist_vis_per_samp1,-0.19694,
coef_dist_vis_per_samp2,-0.13436,
coef_dist_vis_per_samp3,-0.09056,
coef_dist_vis_per_samp4,-0.0656,
coef_dist_vis_per_samp5,-0.0347,
coef_dist_vis_per_samp6,-0.01845,
coef_dist_vis_per_samp7,-0.01441,
coef_dist_vis_per_samp8,-0.01441,
coef_dist_vis_per_samp9,-0.01441,
coef_ljolla_vis_bus_samp,1.44543,
coef_dt_vis_bus_samp,0.77337,
coef_ljolla_vis_per_samp,0.81276,
coef_dt_vis_per_samp,0.05168,
coef_res_bus_log_dist,0,F
coef_res_bus_sq_dist,0,F
coef_res_per_log_dist,0,F
coef_res_per_sq_dist,0,F
coef_vis_bus_log_dist,0,F
coef_vis_bus_sq_dist,0,F
coef_vis_per_log_dist,0,F
coef_vis_per_sq_dist,0,F
coef_dist_res_bus_15_30,0,F
coef_dist_res_bus_30_50,0,F
coef_dist_res_bus_50,0,F
coef_dist_res_per_15_30,0,F
coef_dist_res_per_30_50,0,F
coef_dist_res_per_50,0,F
coef_dist_vis_bus_15_30,0,F
coef_dist_vis_bus_30_50,0,F
coef_dist_vis_bus_50,0,F
coef_dist_vis_per_15_30,0,F
coef_dist_vis_per_30_50,0,F
coef_dist_vis_per_50,0,F
