coefficient_name,value,constrain
coef_zero,0,T
coef_one,1,T
coef_nest_root,1,T
coef_nest_PARK,0.8,T
coef_nest_PARK_ESCORT,1,T
coef_nest_RENTAL,1,T
coef_nest_SHUTTLEVAN,1,T
coef_nest_HOTEL_COURTESY,1,T
coef_nest_RIDEHAIL,0.8,T
coef_nest_TRANSIT,1,T
coef_nest_CURB,0.8,T
coef_nest_TRANSIT_WALKACCESS,0.8,T
coef_nest_TRANSIT_PNRACCESS,0.8,T
coef_nest_TRANSIT_KNRACCESS,0.8,T
coef_nest_TRANSIT_TNCACCESS,0.8,T
coef_nest_WALK,0.8,T
#,,
coef_c_cost_0,-0.003,F
coef_c_cost_1,-0.001,F
coef_c_cost_2,-0.0006,F
coef_c_cost_3,-0.0004,F
coef_c_cost_4,-0.0003,F
coef_c_cost_5,-0.0003,F
coef_c_cost_6,-0.0002,F
coef_c_cost_7,-0.0001,F
#,,F
coef_ivt_arrival,-0.025,F
coef_ivt,-0.03,F
coef_wait,-0.05,F
coef_walk,-0.05,F
coef_c_cost_per_0,-0.0015,F
coef_c_cost_per_1,-0.0005,F
coef_c_cost_per_2,-0.0003,F
coef_c_cost_per_3,-0.0002,F
coef_c_cost_per_4,-0.00015,F
coef_c_cost_per_5,-0.00015,F
coef_c_cost_per_6,-0.0001,F
coef_c_cost_per_7,-0.00005,F
#,,
coef_asc_res_bus_park,2.63653,F
coef_asc_res_per_park,1.59916,F
coef_asc_vis_bus_park,0,F
coef_asc_vis_per_park,0,F
coef_asc_ext_park,2.94979,F
coef_asc_res_bus_escort,-4.05123,F
coef_asc_res_per_escort,-2.80881,F
coef_asc_vis_bus_escort,-2.51533,F
coef_asc_vis_per_escort,-3.39789,F
coef_asc_ext_escort,-2.62887,F
coef_asc_res_bus_rental,0,F
coef_asc_res_per_rental,0,F
coef_asc_vis_bus_rental,8.57754,F
coef_asc_vis_per_rental,6.11794,F
coef_asc_ext_rental,6.78952,F
coef_asc_res_bus_shuttle,-1.86418,F
coef_asc_res_per_shuttle,-1.59224,F
coef_asc_vis_bus_shuttle,0.9648,F
coef_asc_vis_per_shuttle,-0.89075,F
coef_asc_ext_shuttle,-0.8026,F
coef_asc_res_bus_ridehail,0.97742,F
coef_asc_res_per_ridehail,0.16894,F
coef_asc_vis_bus_ridehail,2.51522,F
coef_asc_vis_per_ridehail,0.35176,F
coef_asc_ext_ridehail,2.97719,F
coef_asc_res_bus_curbside,0,F
coef_asc_res_per_curbside,0,F
coef_asc_vis_bus_curbside,0,F
coef_asc_vis_per_curbside,0,F
coef_asc_ext_curbside,0,F
coef_asc_res_bus_transit,-2.66664,F
coef_asc_res_per_transit,-2.77322,F
coef_asc_vis_bus_transit,-1.77575,F
coef_asc_vis_per_transit,-2.74109,F
coef_asc_ext_transit,-3.43677,F
transit_calib_knr,0.703365,F
transit_calib_tnc,0.905308,F
transit_calib_walk,1.800947,F
