coefficient_name,value,constrain
coef_otay_mesa_work,-0.07557561,F
coef_otay_mesa_school,-1.634949787,F
coef_otay_mesa_shop,-0.198336536,F
coef_otay_mesa_visit_other,0.679925059,F
coef_tecate_work,-0.719803314,F
coef_tecate_school,1.133873903,F
coef_tecate_shop,-1.533617141,F
coef_tecate_visit_other,4.092506583,F
coef_mc_logsum_work,0.349,F
coef_mc_logsum_school,0.393,F
coef_mc_logsum_shop,0.449,F
coef_mc_logsum_visit_other,0.346,F
coef_dist,-0.125,F
coef_otay_mesa_mandatory,-0.896,F
coef_otay_mesa_non_mandatory,-1.496,F
coef_otay_mesa_calibration_adj,3.8858,F
coef_tecate_mandatory,1.518,F
coef_tecate_non_mandatory,-0.134,F
coef_tecate_calibration_adj,4.4856,F
coef_dist_0_2_mandatory_soa,-0.789,F
coef_dist_2_5_mandatory_soa,-0.203,F
coef_dist_5_20_mandatory_soa,-0.148,F
coef_dist_20_up_mandatory_soa,-0.068,F
coef_dist_0_2_non_mandatory_soa,-0.439,F
coef_dist_2_5_non_mandatory_soa,-0.07,F
coef_dist_5_20_non_mandatory_soa,-0.178,F
coef_dist_20_up_non_mandatory_soa,-0.049,F
coef_san_ysidro_pmsa2,-1.035717448,F
coef_san_ysidro_pmsa4,0.747354036,F
coef_otay_mesa_pmsa2,-1.470600746,F
coef_otay_mesa_pmsa4,0.432010162,F
coef_tecate_pmsa2,-1.708459488,F
coef_tecate_pmsa4,0.01692464,F
coef_tecate_pmsa8,1.311931335,F
coef_tecate,3.865536028,F
coef_otay,0.491605884,F
coef_dist_work,-0.026,F
coef_dist_school,-0.05,F
coef_dist_shop,-0.118,F
