periods_left_min,periods_left_max,stop_num,outbound,duration_offset,prob
0,0,1,True,0,1.0
0,0,2,True,0,1.0
0,0,3,True,0,1.0
1,1,1,True,0,0.0
1,1,2,True,0,1.0
1,1,3,True,0,0.0
2,2,1,True,0,0.143464149
2,2,2,True,0,0.444695565
2,2,3,True,0,0.0
3,3,1,True,0,0.044061849
3,3,2,True,0,0.575107878
3,3,3,True,0,0.732110462
4,4,1,True,0,0.082868767
4,4,2,True,0,0.14682273
4,4,3,True,0,0.059675556
5,5,1,True,0,0.182698269
5,5,2,True,0,0.047789261
5,5,3,True,0,0.0
6,6,1,True,0,0.0
6,6,2,True,0,0.112487473
6,6,3,True,0,0.0
7,7,1,True,0,0.037553608
7,7,2,True,0,0.084722527
7,7,3,True,0,0.206432008
8,8,1,True,0,0.0
8,8,2,True,0,0.052296361
8,8,3,True,0,0.0
9,9,1,True,0,0.029420888
9,9,2,True,0,0.0
9,9,3,True,0,0.151276591
10,10,1,True,0,0.0
10,10,2,True,0,0.129953031
10,10,3,True,0,0.087602806
11,47,1,True,0,0.026733319
11,47,2,True,0,0.069771276
11,47,3,True,0,0.052236118
0,0,1,True,1,0.0
0,0,2,True,1,0.0
0,0,3,True,1,0.0
1,1,1,True,1,0.0
1,1,2,True,1,0.0
1,1,3,True,1,0.0
2,2,1,True,1,0.856535851
2,2,2,True,1,0.555304435
2,2,3,True,1,0.0
3,3,1,True,1,0.696447408
3,3,2,True,1,0.346816348
3,3,3,True,1,0.156086316
4,4,1,True,1,0.384474432
4,4,2,True,1,0.816540566
4,4,3,True,1,0.588497472
5,5,1,True,1,0.435319525
5,5,2,True,1,0.527864557
5,5,3,True,1,0.725081493
6,6,1,True,1,0.407144262
6,6,2,True,1,0.471619866
6,6,3,True,1,0.680494405
7,7,1,True,1,0.284676065
7,7,2,True,1,0.305260732
7,7,3,True,1,0.320659594
8,8,1,True,1,0.240001405
8,8,2,True,1,0.337084659
8,8,3,True,1,0.503114142
9,9,1,True,1,0.19782784
9,9,2,True,1,0.239857483
9,9,3,True,1,0.103280128
10,10,1,True,1,0.120227304
10,10,2,True,1,0.185365779
10,10,3,True,1,0.274051704
11,47,1,True,1,0.231626447
11,47,2,True,1,0.30855889
11,47,3,True,1,0.381706128
0,0,1,True,2,0.0
0,0,2,True,2,0.0
0,0,3,True,2,0.0
1,1,1,True,2,0.0
1,1,2,True,2,0.0
1,1,3,True,2,0.0
2,2,1,True,2,0.0
2,2,2,True,2,0.0
2,2,3,True,2,0.0
3,3,1,True,2,0.259490743
3,3,2,True,2,0.078075774
3,3,3,True,2,0.111803222
4,4,1,True,2,0.451535321
4,4,2,True,2,0.036636703
4,4,3,True,2,0.351826972
5,5,1,True,2,0.279413315
5,5,2,True,2,0.424346182
5,5,3,True,2,0.147310081
6,6,1,True,2,0.446767219
6,6,2,True,2,0.301493086
6,6,3,True,2,0.319505595
7,7,1,True,2,0.271448141
7,7,2,True,2,0.18706285
7,7,3,True,2,0.09226594
8,8,1,True,2,0.464116107
8,8,2,True,2,0.277182097
8,8,3,True,2,0.382725156
9,9,1,True,2,0.323842023
9,9,2,True,2,0.527497738
9,9,3,True,2,0.305114008
10,10,1,True,2,0.465512818
10,10,2,True,2,0.396838346
10,10,3,True,2,0.2845728
11,47,1,True,2,0.241612076
11,47,2,True,2,0.302389902
11,47,3,True,2,0.29279509
0,0,1,True,3,0.0
0,0,2,True,3,0.0
0,0,3,True,3,0.0
1,1,1,True,3,0.0
1,1,2,True,3,0.0
1,1,3,True,3,0.0
2,2,1,True,3,0.0
2,2,2,True,3,0.0
2,2,3,True,3,0.0
3,3,1,True,3,0.0
3,3,2,True,3,0.0
3,3,3,True,3,0.0
4,4,1,True,3,0.081121479
4,4,2,True,3,0.0
4,4,3,True,3,0.0
5,5,1,True,3,0.10256889
5,5,2,True,3,0.0
5,5,3,True,3,0.127608426
6,6,1,True,3,0.095372749
6,6,2,True,3,0.091325026
6,6,3,True,3,0.0
7,7,1,True,3,0.213863744
7,7,2,True,3,0.422953891
7,7,3,True,3,0.380642458
8,8,1,True,3,0.142480215
8,8,2,True,3,0.306461242
8,8,3,True,3,0.114160702
9,9,1,True,3,0.265126287
9,9,2,True,3,0.120877699
9,9,3,True,3,0.357247853
10,10,1,True,3,0.112634197
10,10,2,True,3,0.0
10,10,3,True,3,0.0
11,47,1,True,3,0.189077382
11,47,2,True,3,0.133988645
11,47,3,True,3,0.185726339
0,0,1,True,4,0.0
0,0,2,True,4,0.0
0,0,3,True,4,0.0
1,1,1,True,4,0.0
1,1,2,True,4,0.0
1,1,3,True,4,0.0
2,2,1,True,4,0.0
2,2,2,True,4,0.0
2,2,3,True,4,0.0
3,3,1,True,4,0.0
3,3,2,True,4,0.0
3,3,3,True,4,0.0
4,4,1,True,4,0.0
4,4,2,True,4,0.0
4,4,3,True,4,0.0
5,5,1,True,4,0.0
5,5,2,True,4,0.0
5,5,3,True,4,0.0
6,6,1,True,4,0.050715771
6,6,2,True,4,0.023074549
6,6,3,True,4,0.0
7,7,1,True,4,0.147692499
7,7,2,True,4,0.0
7,7,3,True,4,0.0
8,8,1,True,4,0.14419958
8,8,2,True,4,0.026975641
8,8,3,True,4,0.0
9,9,1,True,4,0.124056746
9,9,2,True,4,0.05756361
9,9,3,True,4,0.083081419
10,10,1,True,4,0.191902541
10,10,2,True,4,0.287842845
10,10,3,True,4,0.178436464
11,47,1,True,4,0.115634423
11,47,2,True,4,0.094535821
11,47,3,True,4,0.056167795
0,0,1,True,5,0.0
0,0,2,True,5,0.0
0,0,3,True,5,0.0
1,1,1,True,5,0.0
1,1,2,True,5,0.0
1,1,3,True,5,0.0
2,2,1,True,5,0.0
2,2,2,True,5,0.0
2,2,3,True,5,0.0
3,3,1,True,5,0.0
3,3,2,True,5,0.0
3,3,3,True,5,0.0
4,4,1,True,5,0.0
4,4,2,True,5,0.0
4,4,3,True,5,0.0
5,5,1,True,5,0.0
5,5,2,True,5,0.0
5,5,3,True,5,0.0
6,6,1,True,5,0.0
6,6,2,True,5,0.0
6,6,3,True,5,0.0
7,7,1,True,5,0.022251917
7,7,2,True,5,0.0
7,7,3,True,5,0.0
8,8,1,True,5,0.009202692
8,8,2,True,5,0.0
8,8,3,True,5,0.0
9,9,1,True,5,0.059726216
9,9,2,True,5,0.05420347
9,9,3,True,5,0.0
10,10,1,True,5,0.018596323
10,10,2,True,5,0.0
10,10,3,True,5,0.175336226
11,47,1,True,5,0.07432633
11,47,2,True,5,0.008370976
11,47,3,True,5,0.01205352
0,0,1,True,6,0.0
0,0,2,True,6,0.0
0,0,3,True,6,0.0
1,1,1,True,6,0.0
1,1,2,True,6,0.0
1,1,3,True,6,0.0
2,2,1,True,6,0.0
2,2,2,True,6,0.0
2,2,3,True,6,0.0
3,3,1,True,6,0.0
3,3,2,True,6,0.0
3,3,3,True,6,0.0
4,4,1,True,6,0.0
4,4,2,True,6,0.0
4,4,3,True,6,0.0
5,5,1,True,6,0.0
5,5,2,True,6,0.0
5,5,3,True,6,0.0
6,6,1,True,6,0.0
6,6,2,True,6,0.0
6,6,3,True,6,0.0
7,7,1,True,6,0.0
7,7,2,True,6,0.0
7,7,3,True,6,0.0
8,8,1,True,6,0.0
8,8,2,True,6,0.0
8,8,3,True,6,0.0
9,9,1,True,6,0.0
9,9,2,True,6,0.0
9,9,3,True,6,0.0
10,10,1,True,6,0.040692019
10,10,2,True,6,0.0
10,10,3,True,6,0.0
11,47,1,True,6,0.032723567
11,47,2,True,6,0.012053421
11,47,3,True,6,0.01931501
0,0,1,True,7,0.0
0,0,2,True,7,0.0
0,0,3,True,7,0.0
1,1,1,True,7,0.0
1,1,2,True,7,0.0
1,1,3,True,7,0.0
2,2,1,True,7,0.0
2,2,2,True,7,0.0
2,2,3,True,7,0.0
3,3,1,True,7,0.0
3,3,2,True,7,0.0
3,3,3,True,7,0.0
4,4,1,True,7,0.0
4,4,2,True,7,0.0
4,4,3,True,7,0.0
5,5,1,True,7,0.0
5,5,2,True,7,0.0
5,5,3,True,7,0.0
6,6,1,True,7,0.0
6,6,2,True,7,0.0
6,6,3,True,7,0.0
7,7,1,True,7,0.022514027
7,7,2,True,7,0.0
7,7,3,True,7,0.0
8,8,1,True,7,0.0
8,8,2,True,7,0.0
8,8,3,True,7,0.0
9,9,1,True,7,0.0
9,9,2,True,7,0.0
9,9,3,True,7,0.0
10,10,1,True,7,0.050434799
10,10,2,True,7,0.0
10,10,3,True,7,0.0
11,47,1,True,7,0.055367155
11,47,2,True,7,0.041704919
11,47,3,True,7,0.0
0,0,1,True,8,0.0
0,0,2,True,8,0.0
0,0,3,True,8,0.0
1,1,1,True,8,0.0
1,1,2,True,8,0.0
1,1,3,True,8,0.0
2,2,1,True,8,0.0
2,2,2,True,8,0.0
2,2,3,True,8,0.0
3,3,1,True,8,0.0
3,3,2,True,8,0.0
3,3,3,True,8,0.0
4,4,1,True,8,0.0
4,4,2,True,8,0.0
4,4,3,True,8,0.0
5,5,1,True,8,0.0
5,5,2,True,8,0.0
5,5,3,True,8,0.0
6,6,1,True,8,0.0
6,6,2,True,8,0.0
6,6,3,True,8,0.0
7,7,1,True,8,0.0
7,7,2,True,8,0.0
7,7,3,True,8,0.0
8,8,1,True,8,0.0
8,8,2,True,8,0.0
8,8,3,True,8,0.0
9,9,1,True,8,0.0
9,9,2,True,8,0.0
9,9,3,True,8,0.0
10,10,1,True,8,0.0
10,10,2,True,8,0.0
10,10,3,True,8,0.0
11,47,1,True,8,0.01283817
11,47,2,True,8,0.024991956
11,47,3,True,8,0.0
0,0,1,True,9,0.0
0,0,2,True,9,0.0
0,0,3,True,9,0.0
1,1,1,True,9,0.0
1,1,2,True,9,0.0
1,1,3,True,9,0.0
2,2,1,True,9,0.0
2,2,2,True,9,0.0
2,2,3,True,9,0.0
3,3,1,True,9,0.0
3,3,2,True,9,0.0
3,3,3,True,9,0.0
4,4,1,True,9,0.0
4,4,2,True,9,0.0
4,4,3,True,9,0.0
5,5,1,True,9,0.0
5,5,2,True,9,0.0
5,5,3,True,9,0.0
6,6,1,True,9,0.0
6,6,2,True,9,0.0
6,6,3,True,9,0.0
7,7,1,True,9,0.0
7,7,2,True,9,0.0
7,7,3,True,9,0.0
8,8,1,True,9,0.0
8,8,2,True,9,0.0
8,8,3,True,9,0.0
9,9,1,True,9,0.0
9,9,2,True,9,0.0
9,9,3,True,9,0.0
10,10,1,True,9,0.0
10,10,2,True,9,0.0
10,10,3,True,9,0.0
11,47,1,True,9,0.009979991
11,47,2,True,9,0.0
11,47,3,True,9,0.0
0,0,1,True,10,0.0
0,0,2,True,10,0.0
0,0,3,True,10,0.0
1,1,1,True,10,0.0
1,1,2,True,10,0.0
1,1,3,True,10,0.0
2,2,1,True,10,0.0
2,2,2,True,10,0.0
2,2,3,True,10,0.0
3,3,1,True,10,0.0
3,3,2,True,10,0.0
3,3,3,True,10,0.0
4,4,1,True,10,0.0
4,4,2,True,10,0.0
4,4,3,True,10,0.0
5,5,1,True,10,0.0
5,5,2,True,10,0.0
5,5,3,True,10,0.0
6,6,1,True,10,0.0
6,6,2,True,10,0.0
6,6,3,True,10,0.0
7,7,1,True,10,0.0
7,7,2,True,10,0.0
7,7,3,True,10,0.0
8,8,1,True,10,0.0
8,8,2,True,10,0.0
8,8,3,True,10,0.0
9,9,1,True,10,0.0
9,9,2,True,10,0.0
9,9,3,True,10,0.0
10,10,1,True,10,0.0
10,10,2,True,10,0.0
10,10,3,True,10,0.0
