model_selector,segment,hh,pop,emp_retail,emp_personal_svcs_office,emp_prof_bus_svcs,emp_prof_bus_svcs_bldg_maint,emp_pvt_ed_k12,emp_pvt_ed_post_k12_oth,emp_health,emp_amusement,emp_hotel,emp_restaurant_bar,emp_personal_svcs_retail,emp_religious,emp_fed_non_mil,emp_fed_mil,emp_state_local_gov_blue,emp_state_local_gov_white,emp_state_local_gov_ent,emp_public_ed,emp_ag,emp_mfg_prod,emp_total,enrollgradekto8,enrollgrade9to12,adultschenrl,othercollegeenroll,collegeenroll,parkactive,beachactive,external_work,external_nonwork
workplace,work_low,0,0,0.129,0.193,0,0,0,0,0.383,0,0,0.12,0,0,0,0,0,0,0,0,0.01,0.164,0,0,0,0,0,0,0,0,0,0
workplace,work_med,0,0,0.12,0.197,0,0,0,0,0.325,0,0,0.139,0,0,0,0,0,0,0,0,0.008,0.21,0,0,0,0,0,0,0,0,0,0
workplace,work_high,0,0,0.11,0.207,0,0,0,0,0.284,0,0,0.154,0,0,0,0,0,0,0,0,0.006,0.239,0,0,0,0,0,0,0,0,0,0
workplace,work_veryhigh,0,0,0.093,0.27,0,0,0,0,0.241,0,0,0.146,0,0,0,0,0,0,0,0,0.004,0.246,0,0,0,0,0,0,0,0,0,0
school,preschool,0,0.1888,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
school,gradeschool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
school,highschool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
school,university,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0304,0.859,1,0,0,0,0
non_mandatory,escort,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
non_mandatory,shopping,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
non_mandatory,othmaint,0,0,0.75,0,0.8451,0,0,0,0,0,0,0,2.45592,0,0.72003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
non_mandatory,eatout,0.5512,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
non_mandatory,social,0.3006,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
non_mandatory,othdiscr,0.04333,0,0.04679,0,0.00893,0,0,0,0,0.20337,0.03453,0.15911,0.03726,1,0.00893,0,0.00893,0.00893,0,0,0,0,0,0.03167,0.05136,0,0,0.02258,3.71685,6,0,0
atwork,atwork,0,0,0.154,0,0.029,0,0,0,0,0,0,0.367,0.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trip,work,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
trip,escort,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
trip,shopping,0.000001,0,0.75,0,0,0,0,0,0,0,0,0.214689,0,0,0,0,0,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0
trip,eatout,0.010162,1,0.137829,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trip,othmaint,0.000001,1,0.75,0,0.05,0,0,0,1.464014,0,0,0,1.725851,0,1.985712,0,0,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0
trip,social,0.495249,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trip,othdiscr,0.027342,0,0.038843,0,0,0,0,0,0,0.473744,0.092343,0.122872,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.71685,6,0.05,0
trip,univ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
# not needed as school is not chosen as an intermediate trip destination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#trip,gradeschool,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#trip,highschool,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
external_workplace,external_workplace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
external_nonwork,external_nonwork,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
external_non_mandatory,escort,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
external_non_mandatory,shopping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
external_non_mandatory,othmaint,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
external_non_mandatory,eatout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
external_non_mandatory,social,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
external_non_mandatory,othdiscr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
