coefficient_name,value,constrain
coef_escorting_tour,0.0,F
coef_discretionary_tour,0.0,F
coef_shopping_tour,0.0,F
coef_maintenance_tour,0.0,F
coef_visiting_or_social_tour,0.0,F
coef_eating_out_tour,0.0,F
coef_total_indNM_tours_is_0_prior_tours,0.0,F
coef_total_indNM_tours_is_1,0.0,F
coef_total_indNM_tours_is_1p,0.0,F
coef_total_indNM_tours_is_2,0.0,F
coef_total_indNM_tours_is_2p,0.0,F
coef_total_indNM_tours_is_3,0.0,F
coef_total_indNM_tours_is_3p,0.0,F
coef_total_indNM_tours_is_4p,0.0,F
coef_total_indNM_tours_2016_is_1,0.0,F
coef_total_indNM_tours_2016_is_1p,0.0,F
coef_total_indNM_tours_2016_is_2,0.0,F
coef_total_indNM_tours_2016_is_2p,0.0,F
coef_total_indNM_tours_2016_is_3,0.0,F
coef_total_indNM_tours_2016_is_3p,0.0,F
coef_total_indNM_tours_2016_is_4p,0.0,F
coef_has_mandatory_tours_and_iNM_tour_freq_1,0.0,F
coef_has_mandatory_tours_and_iNM_tour_freq_1p,0.0,F
coef_has_mandatory_tours_and_iNM_tour_freq_2,0.0,F
coef_has_mandatory_tours_and_iNM_tour_freq_2p,0.0,F
coef_has_mandatory_tours_and_iNM_tour_freq_3p,0.0,F
coef_has_joint_tours_and_iNM_tour_freq_1p,0.0,F
coef_has_joint_tours_and_iNM_tour_freq_2p,0.0,F
coef_number_of_joint_shopping_tours,0.0,F
coef_prev_school_escort_tours,0.0,F
coef_unavailable,-999.0,T
coef_low_income_escort,0.0,F
coef_low_income_othdiscr,0.0,F
coef_medium_low_income_escort,0.0,F
coef_medium_high_income_escort,0.0,F
coef_medium_high_income_othdiscr,0.0,F
coef_high_income_shopping,0.0,F
coef_high_income_othmaint,0.0,F
coef_zero_auto_iNM_tour_freq_1,0.0,F
coef_zero_auto_iNM_tour_freq_1p,0.0,F
coef_zero_auto_iNM_tour_freq_2,0.0,F
coef_zero_auto_iNM_tour_freq_2p,0.0,F
coef_zero_auto_iNM_tour_freq_3p,0.0,F
coef_auto_deficient_iNM_tour_freq_1,0.0,F
coef_auto_deficient_iNM_tour_freq_1p,0.0,F
coef_auto_deficient_iNM_tour_freq_2,0.0,F
coef_auto_deficient_iNM_tour_freq_2p,0.0,F
coef_num_children_escort,0.0,F
coef_num_children_shopping,0.0,F
coef_num_children_othmaint,0.0,F
coef_num_children_othdiscr,0.0,F
coef_num_full_time_workers_escort,0.0,F
coef_num_full_time_workers_shopping,0.0,F
coef_num_full_time_workers_eatout,0.0,F
coef_hhsize_othmaint,0.0,F
coef_hhsize_othdiscr,0.0,F
coef_age_18to24_escort,0.0,F
coef_age_18to24_shopping,0.0,F
coef_age_18to24_othmaint,0.0,F
coef_age_18to24_eatout,0.0,F
coef_age_18to24_social,0.0,F
coef_age_18to24_othdiscr,0.0,F
coef_age_24to35_escort,0.0,F
coef_age_24to35_shopping,0.0,F
coef_age_24to35_othmaint,0.0,F
coef_age_24to35_eatout,0.0,F
coef_age_24to35_social,0.0,F
coef_age_24to35_othdiscr,0.0,F
coef_age_50to79_escort,0.0,F
coef_age_50to79_shopping,0.0,F
coef_age_50to79_othmaint,0.0,F
coef_age_50to79_eatout,0.0,F
coef_age_50to79_social,0.0,F
coef_age_50to79_othdiscr,0.0,F
coef_max_time_window_escort,0.0,F
coef_max_time_window_shopping,0.0,F
coef_max_time_window_othmaint,0.0,F
coef_max_time_window_eatout,0.0,F
coef_max_time_window_social,0.0,F
coef_max_time_window_othdiscr,0.0,F
coef_log_max_time_window_escort,0.0,F
coef_log_max_time_window_shopping,0.0,F
coef_log_max_time_window_othmaint,0.0,F
coef_log_max_time_window_eatout,0.0,F
coef_log_max_time_window_social,0.0,F
coef_log_max_time_window_othdiscr,0.0,F
coef_shopping_accessibility_escorting,0.0,F
coef_shopping_accessibility_shopping,0.0,F
coef_shopping_accessibility_maintenance,0.0,F
coef_othdiscr_accessibility_eating_out,0.0,F
coef_othdiscr_accessibility_othdiscr,0.0,F
coef_othdiscr_accessibility_social,0.0,F
coef_work_mc_logsum_and_iNM_tour_freq_1,0.0,F
coef_work_mc_logsum_and_iNM_tour_freq_2,0.0,F
coef_work_mc_logsum_and_iNM_tour_freq_3p,0.0,F
coef_work_from_home_and_iNM_tour_freq_1,0.0,F
coef_work_from_home_and_iNM_tour_freq_1p,0.0,F
coef_work_from_home_and_iNM_tour_freq_2,0.0,F
coef_work_from_home_and_iNM_tour_freq_2p,0.0,F
coef_work_from_home_and_iNM_tour_freq_3p,0.0,F
coef_telecommute_1_day_week_and_iNM_tour_freq_2,0.0,F
coef_telecommute_1_day_week_and_iNM_tour_freq_1p,0.0,F
coef_telecommute_1_day_week_and_iNM_tour_freq_3,0.0,F
coef_telecommute_1_day_week_and_iNM_tour_freq_2p,0.0,F
coef_telecommute_1_day_week_and_iNM_tour_freq_3p,0.0,F
coef_telecommute_2_3_days_week_and_iNM_tour_freq_2,0.0,F
coef_telecommute_2_3_days_week_and_iNM_tour_freq_1p,0.0,F
coef_telecommute_2_3_days_week_and_iNM_tour_freq_3,0.0,F
