coefficient_name,value,constrain
coef_escorting_tour,0.0,F
coef_discretionary_tour,0.0,F
coef_shopping_tour,0.0,F
coef_maintenance_tour,0.0,F
coef_visiting_or_social_tour,0.0,F
coef_eating_out_tour,0.0,F
coef_total_indNM_tours_is_0_prior_tours,0.0,F
coef_total_indNM_tours_is_1,0.0,F
coef_total_indNM_tours_is_1p,0.0,F
coef_total_indNM_tours_is_2,0.0,F
coef_total_indNM_tours_is_2p,0.0,F
coef_total_indNM_tours_is_3,0.0,F
coef_total_indNM_tours_is_3p,0.0,F
coef_total_indNM_tours_is_4p,0.0,F
coef_total_indNM_tours_2016_is_1,0.0,F
coef_total_indNM_tours_2016_is_1p,0.0,F
coef_total_indNM_tours_2016_is_2,0.0,F
coef_total_indNM_tours_2016_is_2p,0.0,F
coef_total_indNM_tours_2016_is_3,0.0,F
coef_total_indNM_tours_2016_is_3p,0.0,F
coef_total_indNM_tours_2016_is_4p,0.0,F
coef_has_mandatory_tours_and_iNM_tour_freq_1,0.0,F
coef_has_mandatory_tours_and_iNM_tour_freq_1p,0.0,F
coef_has_mandatory_tours_and_iNM_tour_freq_2,0.0,F
coef_has_mandatory_tours_and_iNM_tour_freq_2p,0.0,F
coef_has_mandatory_tours_and_iNM_tour_freq_3p,0.0,F
coef_has_joint_tours_and_iNM_tour_freq_1,0.0,F
coef_has_joint_tours_and_iNM_tour_freq_1p,0.0,F
coef_has_joint_tours_and_iNM_tour_freq_2,0.0,F
coef_has_joint_tours_and_iNM_tour_freq_2p,0.0,F
coef_has_joint_tours_and_iNM_tour_freq_3p,0.0,F
coef_number_of_joint_shopping_tours,0.0,F
coef_number_of_joint_maintenance_tours,0.0,F
coef_number_of_joint_eating_out_tours,0.0,F
coef_number_of_joint_discretionary_tours,0.0,F
coef_low_income_escort,0.0,F
coef_low_income_shopping,0.0,F
coef_low_income_othmaint,0.0,F
coef_low_income_eatout,0.0,F
coef_low_income_social,0.0,F
coef_low_income_othdiscr,0.0,F
coef_medium_low_income_escort,0.0,F
coef_medium_low_income_shopping,0.0,F
coef_medium_low_income_othmaint,0.0,F
coef_medium_low_income_eatout,0.0,F
coef_medium_low_income_social,0.0,F
coef_medium_low_income_othdiscr,0.0,F
coef_medium_high_income_escort,0.0,F
coef_medium_high_income_shopping,0.0,F
coef_medium_high_income_othmaint,0.0,F
coef_medium_high_income_eatout,0.0,F
coef_medium_high_income_social,0.0,F
coef_medium_high_income_othdiscr,0.0,F
coef_high_income_escort,0.0,F
coef_high_income_shopping,0.0,F
coef_high_income_othmaint,0.0,F
coef_high_income_eatout,0.0,F
coef_high_income_social,0.0,F
coef_high_income_othdiscr,0.0,F
coef_zero_auto_iNM_tour_freq_1,0.0,F
coef_zero_auto_iNM_tour_freq_1p,0.0,F
coef_zero_auto_iNM_tour_freq_7,0.0,F
coef_zero_auto_iNM_tour_freq_2p,0.0,F
coef_zero_auto_iNM_tour_freq_3p,0.0,F
coef_auto_deficient_iNM_tour_freq_1,0.0,F
coef_auto_deficient_iNM_tour_freq_1p,0.0,F
coef_auto_deficient_iNM_tour_freq_2,0.0,F
coef_auto_deficient_iNM_tour_freq_2p,0.0,F
coef_auto_deficient_iNM_tour_freq_3p,0.0,F
coef_num_children_escort,0.0,F
coef_num_children_shopping,0.0,F
coef_num_children_othmaint,0.0,F
coef_num_children_eatout,0.0,F
coef_num_children_social,0.0,F
coef_num_children_othdiscr,0.0,F
coef_num_full_time_workers_escort,0.0,F
coef_num_full_time_workers_shopping,0.0,F
coef_num_full_time_workers_othmaint,0.0,F
coef_num_full_time_workers_eatout,0.0,F
coef_num_full_time_workers_social,0.0,F
coef_num_full_time_workers_othdiscr,0.0,F
coef_hhsize_escort,0.0,F
coef_hhsize_shopping,0.0,F
coef_hhsize_othmaint,0.0,F
coef_hhsize_eatout,0.0,F
coef_hhsize_social,0.0,F
coef_hhsize_othdiscr,0.0,F
coef_max_time_window_escort,0.0,F
coef_max_time_window_shopping,0.0,F
coef_max_time_window_othmaint,0.0,F
coef_max_time_window_eatout,0.0,F
coef_max_time_window_social,0.0,F
coef_max_time_window_othdiscr,0.0,F
coef_log_max_time_window_escort,0.0,F
coef_log_max_time_window_shopping,0.0,F
coef_log_max_time_window_othmaint,0.0,F
coef_log_max_time_window_eatout,0.0,F
coef_log_max_time_window_social,0.0,F
coef_log_max_time_window_othdiscr,0.0,F
coef_shopping_accessibility_escorting,0.0,F
coef_shopping_accessibility_shopping,0.0,F
coef_shopping_accessibility_maintenance,0.0,F
coef_othdiscr_accessibility_eating_out,0.0,F
coef_othdiscr_accessibility_othdiscr,0.0,F
coef_othdiscr_accessibility_social,0.0,F
coef_school_mc_logsum_and_iNM_tour_freq_1,0.0,F
coef_school_mc_logsum_and_iNM_tour_freq_2,0.0,F
coef_school_mc_logsum_and_iNM_tour_freq_3p,0.0,F
