coefficient_name,value,constrain
coef_unavailable,-999.0,T
coef_escorting_tour,-9.980738057374221,F
coef_discretionary_tour,-7.464263172179179,F
coef_shopping_tour,-8.726268980359634,F
coef_maintenance_tour,-11.50076886788746,F
coef_visiting_or_social_tour,-9.13878408618917,F
coef_eating_out_tour,-7.996439827456814,F
coef_total_indNM_tours_is_1,3.65902242986596,F
coef_total_indNM_tours_is_2,3.783116973334075,F
coef_total_indNM_tours_is_3,3.94980139461646,F
coef_total_indNM_tours_is_4p,4.044250929541874,F
coef_total_indNM_tours_2016_is_1,0.5451562250077215,F
coef_total_indNM_tours_2016_is_2,0.4485657739373237,F
coef_total_indNM_tours_2016_is_3p,0.3569363280476178,F
coef_has_mandatory_tours_and_iNM_tour_freq_1,-2.712110237880168,F
coef_has_mandatory_tours_and_iNM_tour_freq_2p,-1.8591259334530463,F
coef_has_joint_tours_and_iNM_tour_freq_1,-2.681436185164753,F
coef_has_joint_tours_and_iNM_tour_freq_2p,-2.582456735203676,F
coef_prev_school_escort_tours,-0.5659071632851075,F
coef_low_income_othmaint,0.1684373052095534,F
coef_low_income_othdiscr,-0.4247110056225974,F
coef_medium_low_income_escort,-0.26216121389680647,F
coef_medium_low_income_othdiscr,-0.2178944567340515,F
coef_medium_high_income_othdiscr,0.28578380808780474,F
coef_high_income_escort,0.5293466734142718,F
coef_high_income_othdiscr,0.5523603590834895,F
coef_zero_auto_iNM_tour_freq_1,-0.7778478707312145,F
coef_zero_auto_iNM_tour_freq_2,-1.745830549610859,F
coef_zero_auto_iNM_tour_freq_3p,-1.493273297127197,F
coef_auto_deficient_iNM_tour_freq_1,-0.13330115546054844,F
coef_auto_deficient_iNM_tour_freq_2p,-0.16552557917619873,F
coef_num_children_escort,0.7840653709271845,F
coef_num_children_shopping,0.16433950279556886,F
coef_num_children_othmaint,0.23002702126710234,F
coef_num_children_social,0.4360126244341865,F
coef_num_children_othdiscr,0.21305244576581855,F
coef_num_full_time_workers_escort,0.26574742217239844,F
coef_num_full_time_workers_othdiscr,-0.1268307960384887,F
coef_hhsize_shopping,-0.12965078886635895,F
coef_hhsize_othmaint,-0.11388617419409013,F
coef_hhsize_eatout,-0.26843735070052444,F
coef_hhsize_social,-0.4955951679184127,F
coef_hhsize_othdiscr,-0.18715371728147756,F
coef_age_18to24_escort,-0.7850576862260017,F
coef_age_24to35_escort,-0.33234113400691667,F
coef_age_24to35_eatout,-0.14650997264922844,F
coef_age_50to79_escort,-0.16636961878236434,F
coef_age_50to79_eatout,-0.33718093997956605,F
coef_age_50to79_othdiscr,-0.11702301453418044,F
coef_age_18to24_and_iNM_tour_freq_2,0.5184071993755616,F
coef_log_total_hours_available_7am_to_10pm_escort,2.3084987446913487,F
coef_log_total_hours_available_7am_to_10pm_shopping,1.9947536383662492,F
coef_log_total_hours_available_7am_to_10pm_othmaint,3.361513223893925,F
coef_log_total_hours_available_7am_to_10pm_eatout,1.8577971133678188,F
coef_log_total_hours_available_7am_to_10pm_social,1.6066161223464683,F
coef_log_total_hours_available_7am_to_10pm_othdiscr,1.935955432868534,F
coef_consecutive_hours_available_7am_to_10pm_shopping,0.03850875066248657,F
coef_consecutive_hours_available_7am_to_10pm_othmaint,0.05407491523536202,F
coef_shopping_accessibility_shopping,0.024876328142334057,F
coef_othdiscr_accessibility_eating_out,0.046921175676984284,F
coef_othdiscr_accessibility_othdiscr,0.029252086458666476,F
coef_othdiscr_accessibility_social,0.07973729159196855,F
coef_work_from_home_and_iNM_tour_freq_2,0.2882503610075806,F
coef_work_from_home_and_iNM_tour_freq_3p,0.43258258391404014,F
coef_telecommute_2_3_4_days_week_and_iNM_tour_freq_2,0.060220889952691474,F
coef_telecommute_2_3_4_days_week_and_iNM_tour_freq_3p,0.1399978999743526,F
