coefficient_name,value,constrain
coef_escorting_tour,-13.324718928099896,F
coef_discretionary_tour,-5.033358573683751,F
coef_shopping_tour,-9.13631330258294,F
coef_maintenance_tour,-9.945067353298386,F
coef_visiting_or_social_tour,-4.189801745365118,F
coef_eating_out_tour,-4.445717330935003,F
coef_total_indNM_tours_is_1,6.00131407260292,F
coef_total_indNM_tours_is_2,5.883565852357907,F
coef_total_indNM_tours_is_3,5.828445878907544,F
coef_total_indNM_tours_is_4p,5.934428647072386,F
coef_total_indNM_tours_2016_is_1,0.1698266383749659,F
coef_total_indNM_tours_2016_is_2,0.32372516555726744,F
coef_total_indNM_tours_2016_is_3p,0.2964915370362205,F
coef_has_joint_tours_and_iNM_tour_freq_1,-5.7952837722578465,F
coef_has_joint_tours_and_iNM_tour_freq_2p,-5.76,F
coef_unavailable,-999.0,T
coef_low_income_escort,-0.6839180517907705,F
coef_low_income_shopping,-0.36787550353215537,F
coef_low_income_othmaint,-0.7732373479965099,F
coef_low_income_eatout,-0.6616337553879514,F
coef_low_income_othdiscr,-0.5329988579150085,F
coef_medium_low_income_othmaint,-0.21589267232884296,F
coef_high_income_shopping,-0.25087649228047343,F
coef_auto_deficient_iNM_tour_freq_1,-0.7868235054750288,F
coef_auto_deficient_iNM_tour_freq_2,-1.0455559653756108,F
coef_auto_deficient_iNM_tour_freq_3p,-1.1157343188741007,F
coef_num_children_escort,0.754137688219863,F
coef_num_full_time_workers_escort,0.3339757816794557,F
coef_hhsize_shopping,-0.1425515978162942,F
coef_hhsize_othmaint,-0.20501266076301913,F
coef_hhsize_eatout,-0.29701211013117823,F
coef_hhsize_othdiscr,-0.17093648977342044,F
coef_retired_hh_escort,-0.3294828681385463,F
coef_age_80p_escort,-0.5906910988839469,F
coef_age_80p_eatout,-0.40828362020671494,F
coef_age_80p_and_iNM_tour_freq_2,-0.2537832085563407,F
coef_log_total_hours_available_7am_to_10pm_escort,4.560726446110003,F
coef_log_total_hours_available_7am_to_10pm_shopping,2.7270167242212993,F
coef_log_total_hours_available_7am_to_10pm_othmaint,3.1187871560709866,F
coef_log_total_hours_available_7am_to_10pm_othdiscr,1.4177528382551887,F
coef_consecutive_hours_available_7am_to_10pm_escort,-0.14521052349224925,F
coef_consecutive_hours_available_7am_to_10pm_eatout,0.07669930567537751,F
coef_othdiscr_accessibility_eating_out,0.0878608354323988,F
