coefficient_name,value,constrain
coef_unavailable,-999.0,T
coef_alternative_specific_constants_0out_1in_atwork,-3.092158257967754,F
coef_alternative_specific_constants_0out_2in_atwork,-4.899871765683751,F
coef_alternative_specific_constants_0out_3in_atwork,-5.768845734049241,F
coef_alternative_specific_constants_1out_0in_atwork,-3.546439038144793,F
coef_alternative_specific_constants_1out_1in_atwork,-5.3893910748423615,F
coef_alternative_specific_constants_1out_2in_atwork,-6.542073629348957,F
coef_alternative_specific_constants_1out_3in_atwork,-6.724352088610809,F
coef_alternative_specific_constants_2out_0in_atwork,-5.561245279802787,F
coef_alternative_specific_constants_2out_1in_atwork,-6.254352130392174,F
coef_alternative_specific_constants_2out_2in_atwork,-7.640624157012655,F
coef_alternative_specific_constants_2out_3in_atwork,-7.235168765535057,F
coef_alternative_specific_constants_3out_0in_atwork,-5.768855987819784,F
coef_alternative_specific_constants_3out_1in_atwork,-6.947501714137311,F
coef_alternative_specific_constants_3out_2in_atwork,-8.333869615557205,F
coef_alternative_specific_constants_3out_3in_atwork,-6.542030510182685,F
coef_is_pre_covid_1plus_stops_atwork,0.5756937400481714,F
coef_num_age_5_15_1plus_stops_atwork,0.2843024724548341,F
coef_tour_mode_non_motorized_1plus_stops_atwork,-1.1394252090580002,F
coef_tour_duration_in_hours_1plus_stops_atwork,0.8337318380115536,F
coef_tour_type_eat_1plus_stops_atwork,-1.5126695768515324,F
