coefficient_name,value
coef_constants_for_outbound_trips_1out0in,-5.843
coef_constants_for_outbound_trips_1out1in,-5.843
coef_constants_for_outbound_trips_1out2in,-5.843
coef_constants_for_outbound_trips_1out3in,-5.843
coef_constants_for_outbound_trips_2out0in,-11.22
coef_constants_for_outbound_trips_2out1in,-11.22
coef_constants_for_outbound_trips_2out2in,-11.22
coef_constants_for_outbound_trips_2out3in,-11.22
coef_constants_for_outbound_trips_3out0in,-16.256
coef_constants_for_outbound_trips_3out1in,-16.256
coef_constants_for_outbound_trips_3out2in,-16.256
coef_constants_for_outbound_trips_3out3in,-16.256
coef_constants_for_return_trips_0out1in,-4.684
coef_constants_for_return_trips_0out2in,-10.142
coef_constants_for_return_trips_0out3in,-15.309
coef_constants_for_return_trips_1out1in,-4.684
coef_constants_for_return_trips_1out2in,-10.142
coef_constants_for_return_trips_1out3in,-15.309
coef_constants_for_return_trips_2out1in,-4.684
coef_constants_for_return_trips_2out2in,-10.142
coef_constants_for_return_trips_2out3in,-15.309
coef_constants_for_return_trips_3out1in,-4.684
coef_constants_for_return_trips_3out2in,-10.142
coef_constants_for_return_trips_3out3in,-15.309
coef_constants_for_number_of_stops_0out1in,0.607
coef_constants_for_number_of_stops_0out2in,4.032
coef_constants_for_number_of_stops_0out3in,8.366
coef_constants_for_number_of_stops_1out0in,0.607
coef_constants_for_number_of_stops_1out1in,4.032
coef_constants_for_number_of_stops_1out2in,8.366
coef_constants_for_number_of_stops_1out3in,12.892
coef_constants_for_number_of_stops_2out0in,4.032
coef_constants_for_number_of_stops_2out1in,8.366
coef_constants_for_number_of_stops_2out2in,12.892
coef_constants_for_number_of_stops_2out3in,17.433
coef_constants_for_number_of_stops_3out0in,8.366
coef_constants_for_number_of_stops_3out1in,12.892
coef_constants_for_number_of_stops_3out2in,17.433
coef_constants_for_number_of_stops_3out3in,21.315
coef_number_of_fulltime_workers_other_than_traveler_0out1in,-0.35
coef_number_of_fulltime_workers_other_than_traveler_0out2in,-0.35
coef_number_of_fulltime_workers_other_than_traveler_0out3in,-0.35
coef_number_of_fulltime_workers_other_than_traveler_1out0in,-0.35
coef_number_of_fulltime_workers_other_than_traveler_1out1in,-0.35
coef_number_of_fulltime_workers_other_than_traveler_1out2in,-0.35
coef_number_of_fulltime_workers_other_than_traveler_1out3in,-0.35
coef_number_of_fulltime_workers_other_than_traveler_2out0in,-0.35
coef_number_of_fulltime_workers_other_than_traveler_2out1in,-0.35
coef_number_of_fulltime_workers_other_than_traveler_2out2in,-0.35
coef_number_of_fulltime_workers_other_than_traveler_2out3in,-0.35
coef_number_of_fulltime_workers_other_than_traveler_3out0in,-0.35
coef_number_of_fulltime_workers_other_than_traveler_3out1in,-0.35
coef_number_of_fulltime_workers_other_than_traveler_3out2in,-0.35
coef_number_of_fulltime_workers_other_than_traveler_3out3in,-0.35
coef_number_of_parttime_workers_other_than_traveler_0out1in,-0.549
coef_number_of_parttime_workers_other_than_traveler_0out2in,-0.549
coef_number_of_parttime_workers_other_than_traveler_0out3in,-0.549
coef_number_of_parttime_workers_other_than_traveler_1out0in,-0.549
coef_number_of_parttime_workers_other_than_traveler_1out1in,-0.549
coef_number_of_parttime_workers_other_than_traveler_1out2in,-0.549
coef_number_of_parttime_workers_other_than_traveler_1out3in,-0.549
coef_number_of_parttime_workers_other_than_traveler_2out0in,-0.549
coef_number_of_parttime_workers_other_than_traveler_2out1in,-0.549
coef_number_of_parttime_workers_other_than_traveler_2out2in,-0.549
coef_number_of_parttime_workers_other_than_traveler_2out3in,-0.549
coef_number_of_parttime_workers_other_than_traveler_3out0in,-0.549
coef_number_of_parttime_workers_other_than_traveler_3out1in,-0.549
coef_number_of_parttime_workers_other_than_traveler_3out2in,-0.549
coef_number_of_parttime_workers_other_than_traveler_3out3in,-0.549
coef_number_of_maintenance_tours_for_person_0out2in,-0.132
coef_number_of_maintenance_tours_for_person_0out3in,-0.132
coef_number_of_maintenance_tours_for_person_1out1in,-0.132
coef_number_of_maintenance_tours_for_person_1out2in,-0.132
coef_number_of_maintenance_tours_for_person_1out3in,-0.132
coef_number_of_maintenance_tours_for_person_2out0in,-0.132
coef_number_of_maintenance_tours_for_person_2out1in,-0.132
coef_number_of_maintenance_tours_for_person_2out2in,-0.132
coef_number_of_maintenance_tours_for_person_2out3in,-0.132
coef_number_of_maintenance_tours_for_person_3out0in,-0.132
coef_number_of_maintenance_tours_for_person_3out1in,-0.132
coef_number_of_maintenance_tours_for_person_3out2in,-0.132
coef_number_of_maintenance_tours_for_person_3out3in,-0.132
coef_number_of_other_tours_for_person_0out1in,0.01
coef_number_of_other_tours_for_person_0out2in,0.01
coef_number_of_other_tours_for_person_0out3in,0.01
coef_number_of_other_tours_for_person_1out0in,0.01
coef_number_of_other_tours_for_person_1out1in,0.01
coef_number_of_other_tours_for_person_1out2in,0.01
coef_number_of_other_tours_for_person_1out3in,0.01
coef_number_of_other_tours_for_person_2out0in,0.01
coef_number_of_other_tours_for_person_2out1in,0.01
coef_number_of_other_tours_for_person_2out2in,0.01
coef_number_of_other_tours_for_person_2out3in,0.01
coef_number_of_other_tours_for_person_3out0in,0.01
coef_number_of_other_tours_for_person_3out1in,0.01
coef_number_of_other_tours_for_person_3out2in,0.01
coef_number_of_other_tours_for_person_3out3in,0.01
coef_duration_0out1in,0.241
coef_duration_0out2in,0.374
coef_duration_0out3in,0.374
coef_duration_1out0in,0.241
coef_duration_1out1in,0.374
coef_duration_1out2in,0.374
coef_duration_1out3in,0.374
coef_duration_2out0in,0.374
coef_duration_2out1in,0.374
coef_duration_2out2in,0.374
coef_duration_2out3in,0.374
coef_duration_3out0in,0.374
coef_duration_3out1in,0.374
coef_duration_3out2in,0.374
coef_duration_3out3in,0.374
coef_auto_tour_0out1in,0.857
coef_auto_tour_0out2in,0.857
coef_auto_tour_0out3in,0.857
coef_auto_tour_1out0in,0.857
coef_auto_tour_1out1in,0.857
coef_auto_tour_1out2in,0.857
coef_auto_tour_1out3in,0.857
coef_auto_tour_2out0in,0.857
coef_auto_tour_2out1in,0.857
coef_auto_tour_2out2in,0.857
coef_auto_tour_2out3in,0.857
coef_auto_tour_3out0in,0.857
coef_auto_tour_3out1in,0.857
coef_auto_tour_3out2in,0.857
coef_auto_tour_3out3in,0.857
coef_maintenance_accessibility_0out1in,0.14
coef_maintenance_accessibility_0out2in,0.14
coef_maintenance_accessibility_0out3in,0.14
coef_maintenance_accessibility_1out0in,0.14
coef_maintenance_accessibility_1out1in,0.14
coef_maintenance_accessibility_1out2in,0.14
coef_maintenance_accessibility_1out3in,0.14
coef_maintenance_accessibility_2out0in,0.14
coef_maintenance_accessibility_2out1in,0.14
coef_maintenance_accessibility_2out2in,0.14
coef_maintenance_accessibility_2out3in,0.14
coef_maintenance_accessibility_3out0in,0.14
coef_maintenance_accessibility_3out1in,0.14
coef_maintenance_accessibility_3out2in,0.14
coef_maintenance_accessibility_3out3in,0.14
coef_joint_tour_0out1in,-0.225
coef_joint_tour_1out0in,-0.225
coef_alternative_specific_constant_adjustment_0out1in,-0.437770073
coef_alternative_specific_constant_adjustment_0out2in,0.243256235
coef_alternative_specific_constant_adjustment_0out3in,0.237224785
coef_alternative_specific_constant_adjustment_1out0in,0.292105106
coef_alternative_specific_constant_adjustment_1out1in,0.210812294
