coefficient_name,value,constrain
coef_unavailable,-999.0,T
coef_alternative_specific_constants_0out_1in_shopping,-1.99478486659318,F
coef_alternative_specific_constants_0out_2in_shopping,-3.0029547936212144,F
coef_alternative_specific_constants_0out_3in_shopping,-3.8162472442792046,F
coef_alternative_specific_constants_1out_0in_shopping,-1.9298112667501943,F
coef_alternative_specific_constants_1out_1in_shopping,-3.081424428417236,F
coef_alternative_specific_constants_1out_2in_shopping,-3.952826067704117,F
coef_alternative_specific_constants_1out_3in_shopping,-4.447523137843972,F
coef_alternative_specific_constants_2out_0in_shopping,-2.899949450341273,F
coef_alternative_specific_constants_2out_1in_shopping,-3.882204113550045,F
coef_alternative_specific_constants_2out_2in_shopping,-5.063709523400166,F
coef_alternative_specific_constants_2out_3in_shopping,-5.063705408442639,F
coef_alternative_specific_constants_3out_0in_shopping,-3.4691848835291794,F
coef_alternative_specific_constants_3out_1in_shopping,-4.042050191513082,F
coef_alternative_specific_constants_3out_2in_shopping,-5.363812433746681,F
coef_alternative_specific_constants_3out_3in_shopping,-5.794596035666434,F
coef_is_joint_tour_1plusstops_shopping,-0.9376746632102424,F
coef_is_pre_covid_1plusstops_shopping,0.1880597722233851,F
coef_is_worker_1plusstops_shopping,-0.2984125841057903,F
coef_number_of_nonwork_tours_1plusstops_shopping,-0.2795952331923437,F
coef_school_child_in_hh_1plusstops_shopping,0.2755159915996485,F
coef_non_mandatory_accessibility_1plusstops_shopping,0.0357694082510162,F
coef_tour_mode_non_motorized_1plusstops_shopping,-1.073202207993033,F
coef_tour_mode_hov_1plusstops_shopping,0.8575809701489939,F
coef_tour_mode_transit_1plusstops_shopping,-0.4963693102721252,F
coef_tour_duration_in_hours_1plusstops_shopping,0.091893516673009,F
coef_distance_to_tour_destination_1plusstops_shopping,0.0911619700854451,F
