coefficient_name,value,constrain
coef_unavailable,-999.0,T
coef_alternative_specific_constants_1out_0in_univ,-2.9606821036239173,F
coef_alternative_specific_constants_1out_1in_univ,-2.994590126632717,F
coef_alternative_specific_constants_1out_2in_univ,-3.964059230970261,F
coef_alternative_specific_constants_1out_3in_univ,-4.110765202022077,F
coef_alternative_specific_constants_2out_0in_univ,-3.653878365193867,F
coef_alternative_specific_constants_2out_1in_univ,-4.570265363130149,F
coef_alternative_specific_constants_2out_2in_univ,-5.109276446867356,F
coef_alternative_specific_constants_2out_3in_univ,-5.109225424254904,F
coef_alternative_specific_constants_3out_0in_univ,-3.836259451583652,F
coef_alternative_specific_constants_3out_1in_univ,-4.416165484960151,F
coef_alternative_specific_constants_3out_2in_univ,-4.975726090153633,F
coef_alternative_specific_constants_3out_3in_univ,-4.858027864893195,F
coef_alternative_specific_constants_0out_1plusin_univ,-2.9441205060555693,F
coef_preschool_child_in_hh_1plusstops_univ,0.7353602959988254,F
coef_tour_mode_non_motorized_1plusstops_univ,-0.7149209302739166,F
coef_tour_mode_hov_1plusstops_univ,0.621498744143073,F
coef_tour_mode_transit_1plusstops_univ,0.4356060774156569,F
coef_tour_duration_in_hours_1plusstops_univ,0.1838966207472205,F
