coefficient_name,value,constrain
coef_unavailable,-999.0,T
coef_alternative_specific_constants_0out_1in_work,-2.8447418642103286,F
coef_alternative_specific_constants_0out_2in_work,-5.074469232999513,F
coef_alternative_specific_constants_0out_3in_work,-7.356348978101946,F
coef_alternative_specific_constants_1out_0in_work,-3.998672291447317,F
coef_alternative_specific_constants_1out_1in_work,-5.340917046762127,F
coef_alternative_specific_constants_1out_2in_work,-7.293230160779633,F
coef_alternative_specific_constants_1out_3in_work,-8.644343958007005,F
coef_alternative_specific_constants_2out_0in_work,-5.706113217470375,F
coef_alternative_specific_constants_2out_1in_work,-7.153817173561018,F
coef_alternative_specific_constants_3out_0in_work,-6.7780536846962365,F
coef_alternative_specific_constants_3out_1in_work,-8.192357372172,F
coef_preschool_child_in_hh_1out_0in_work,0.4918316153479145,F
coef_school_child_in_hh_1out_0in_work,0.5231248472492089,F
coef_school_child_in_hh_1out_1in_work,0.281812148150233,F
coef_school_child_in_hh_1out_2in_work,0.5109837440498461,F
coef_school_child_in_hh_1out_3in_work,0.5146518187296193,F
coef_non_worker_in_hh_0out_1in_work,-0.2499539606769114,F
coef_non_worker_in_hh_0out_2in_work,-0.3895812012559245,F
coef_non_worker_in_hh_0out_3in_work,-0.7028004655351838,F
coef_tour_mode_sov_0out_1in_work,0.6663968126601825,F
coef_tour_mode_sov_0out_2in_work,0.8490983927253895,F
coef_tour_mode_sov_0out_3in_work,1.019470744148101,F
coef_tour_mode_hov_0out_1in_work,1.753765085617916,F
coef_tour_mode_hov_0out_2in_work,2.425463128045174,F
coef_tour_mode_hov_0out_3in_work,3.083984260465549,F
coef_tour_mode_hov_1out_0in_work,1.8810986245847765,F
coef_tour_mode_hov_1out_1in_work,2.903102643291588,F
coef_tour_mode_hov_1out_2in_work,3.0104904515059983,F
coef_tour_mode_hov_1out_3in_work,3.4462649672615124,F
coef_tour_mode_hov_2out_0in_work,2.3579589023621974,F
coef_tour_mode_hov_2out_1in_work,2.896537717160822,F
coef_tour_mode_hov_3out_0in_work,2.367639329734867,F
coef_tour_mode_hov_3out_1in_work,3.1434258750404256,F
coef_tour_duration_in_hours_0out_1in_work,0.0968419497302259,F
coef_tour_duration_in_hours_0out_2in_work,0.1904355233462784,F
coef_tour_duration_in_hours_0out_3in_work,0.3367138795904639,F
coef_tour_duration_in_hours_1out_0in_work,0.066650821483439,F
coef_tour_duration_in_hours_1out_1in_work,0.1646547411229061,F
coef_tour_duration_in_hours_1out_2in_work,0.2551530816688599,F
coef_tour_duration_in_hours_1out_3in_work,0.3252548498168742,F
coef_tour_duration_in_hours_2out_1in_work,0.1961700400992169,F
coef_tour_duration_in_hours_3out_1in_work,0.1501823000654714,F
coef_alternative_specific_constants_2plusout_2plusin_work,-9.526330213144162,F
coef_tour_mode_hov_2plusout_2plusin_work,3.7049086577656944,F
coef_tour_duration_in_hours_2plusout_2plusin_work,0.2609768272005556,F
coef_is_parttime_worker_1plusout_1plusin_work,0.3300187195960226,F
coef_is_parttime_worker_0out_1plusin_work,0.2855160872348049,F
coef_non_worker_in_hh_1plusout_1plusin_work,-0.4641234561873718,F
coef_preschool_child_in_hh_2plusout_0in_work,0.5136768446923758,F
coef_school_child_in_hh_2plusout_0in_work,0.715230225338151,F
coef_tour_mode_sov_1plusout_0in_work,0.3208347112170486,F
coef_tour_mode_sov_1plusout_1plusin_work,0.4540272237487077,F
coef_tour_duration_in_hours_2plusout_0in_work,0.0594361573692384,F
coef_preschool_child_in_hh_1plusout_1plusin_work,0.4336604925767433,F
coef_school_child_in_hh_2plusout_1plusin_work,0.3953971625740665,F
coef_age_35_to_44_1plusout_1plusin_work,0.2864843022250448,F
coef_age_55_to_64_0out_1plusin_work,0.173801196295945,F
coef_age_55_to_64_1plusout_0in_work,0.2187960088158339,F
coef_age_45_to_54_1plusout_1plusin_work,0.3495514458182455,F
coef_age_55_to_64_1plusout_1plusin_work,0.3141273930142538,F
coef_non_mandatory_accessibility_1plusout_0in_work,0.0555899473533157,F
coef_distance_to_tour_destination_0out_1plusin_work,0.0075317302289467,F
coef_distance_to_tour_destination_1plusout_1plusin_work,0.0103740905129598,F
coef_distance_to_tour_destination_1plusout_0in_work,0.0122085315777465,F
coef_telecommute_2_4_days_week_1plusout_1plusin_work,0.6007761919718061,F
