coefficient_name,value,constrain
coef_Services_1day,0.0,F
coef_SalesOffice_1day,0.0,F
coef_ResourceConstruct_1day,0.0,F
coef_TransportMat_1day,0.0,F
coef_HasChildren0to5_1day,0.0,T
coef_HasChildren6to12_1day,0.0,T
coef_OneAdultInHH_1day,-0.2880363751212786,F
coef_2plusAdultsInHH_1day,-0.539290384280959,F
coef_Female_1234day,-0.22245439156681512,F
coef_PartTimeWorker_1234day,-0.3312976944978062,F
coef_PaysToPark_1day,0.0,F
coef_Income60to100k_1day,0.14766401383069605,F
coef_Income100to150k_1day,-0.4343360600321556,F
coef_Income150kplus_1day,0.0,T
coef_0Autos_1day,-0.7443192722490555,F
coef_1Auto_1day,-0.4898597449978189,F
coef_3plusAutos_1day,-0.6356112373200496,F
coef_DistanceToWork_1day,0.0,T
coef_Services_23day,0.0,F
coef_SalesOffice_23day,0.0,F
coef_ResourceConstruct_23day,0.0,F
coef_TransportMat_23day,0.0,F
coef_HasChildren0to5_234day,-0.4615054246110376,F
coef_HasChildren6to12_23day,0.0,T
coef_OneAdultInHH_23day,-0.7721061587026111,F
coef_2plusAdultsInHH_23day,-0.626478876007792,F
coef_PaysToPark_23day,0.0,F
coef_Income60to100k_23day,0.0,T
coef_Income100to150k_234day,-0.3664629271402375,F
coef_Income150kplus_23day,0.0,T
coef_0Autos_234day,-0.21657615906496494,F
coef_1Auto_234day,-0.2402952807226549,F
coef_3plusAutos_23day,-0.7911535377431747,F
coef_DistanceToWork_234day,0.004639777880299263,F
coef_HasChildren6to12_4day,0.0,T
coef_OneAdultInHH_4day,-0.32961284419056147,F
coef_2plusAdultsInHH_4day,-0.3656903463713295,F
coef_PaysToPark_4day,0.0,F
coef_Income60to100k_4day,0.0,T
coef_Income100to150k_4day,0.0,F
coef_Income150kplus_4day,0.0,T
coef_3plusAutos_4day,-0.869236752599418,F
coef_calib_2020_1day,0.0,T
coef_calib_2025_1day,0.0,T
coef_calib_2035_1day,0.0,T
coef_calib_2050_1day,0.0,T
coef_calib_2020_23day,0.0,T
coef_calib_2025_23day,0.0,T
coef_calib_2035_23day,0.0,T
coef_calib_2050_23day,0.0,T
coef_calib_2020_4day,0.0,T
coef_calib_2025_4day,0.0,T
coef_calib_2035_4day,0.0,T
coef_calib_2050_4day,0.0,T
coef_2016_1day,-0.756679956795998,F
coef_accomodation_1day,-2.0409281669872903,F
coef_agriculture_1234day,-0.5991537931558674,F
coef_business_srv_1day,0.4594561788418886,F
coef_construction_1day,-0.5529966609459986,F
coef_education_1day,-0.48309252551133464,F
coef_entertainment_1day,0.0,T
coef_food_srv_1day,-2.3926189232475292,F
coef_government_1day,-0.3562373008962791,F
coef_healthcare_1day,-0.6636223795205553,F
coef_manufacturing_1day,-0.5464069344852263,F
coef_mgmt_srv_1day,0.0,T
coef_military_1day,-0.39352255297781685,F
coef_retail_1day,-1.3376047219502023,F
coef_2016_23day,-1.5534366728381641,F
coef_accomodation_23day,-1.520626615942092,F
coef_agriculture_23day,0.0,F
coef_business_srv_23day,0.4756235808197469,F
coef_construction_234day,-0.6379039396079508,F
coef_education_23day,0.0,F
coef_entertainment_23day,0.0,T
coef_food_srv_23day,-1.3312365021383366,F
coef_government_234day,-0.7298374826999178,F
coef_healthcare_23day,-0.7666030302394774,F
coef_manufacturing_234day,-0.5095815187171243,F
coef_mgmt_srv_23day,0.0,T
coef_military_23day,-1.1442427361469478,F
coef_retail_23day,-1.4097816520304292,F
coef_2016_4day,-4.0338769939143395,F
coef_accomodation_4day,-2.2346705391763995,F
coef_agriculture_4day,0.0,F
coef_business_srv_4day,0.6811655722653881,F
coef_construction_4day,0.0,F
coef_education_4day,0.0,F
coef_entertainment_4day,0.0,T
coef_food_srv_4day,-15.191741724048038,F
coef_government_4day,0.0,F
coef_healthcare_4day,-0.6948529310769717,F
coef_manufacturing_4day,0.0,F
coef_mgmt_srv_4day,0.5513936677454101,F
coef_military_4day,-0.9547208684742431,F
coef_retail_4day,-2.851802613136636,F
