coefficient_name,value,constrain
asc_pass,-4.1,F
coef_age_19_to_34_pass,0.52,F
coef_age_35_to_44_pass,0.346,F
coef_age_55_to_64_pass,0.384,F
coef_age_65_to_79_pass,0.315,F
coef_auto_deficient_pass,1.21,F
coef_hhinc_100_200,1.17,F
coef_hhinc_15_25,0.336,F
coef_hhinc_200_plus,1.17,F
coef_hhinc_50_100,0.233,F
coef_hhinc_less_15,0.492,F
coef_is_univ,1.22,F
coef_parking_cost_at_work_pass,0.0484,F
coef_persons_0_4_in_hhld_pass,-0.551,F
coef_persons_5_15_in_hhld_pass,-0.578,F
coef_subs_pass,1.49,F
coef_total_transit_acc_pass,0.0692,F
coef_tripmc_cost_coef,-1.25,T
coef_zero_autos_pass,3.32,F
coef_ft_asc,1.0096123256948104,F
coef_pt_asc,0.8647470943730247,F
coef_un_asc,0.19506021138107174,F
coef_na_asc,2.1641860568701383,F
coef_da_asc,-2.0,F
coef_nd_asc,-2.0,F
coef_ps_asc,-2.0,F
