coefficient_name,value,constrain
coef_UNAVAILABLE,-999,T
coef_one,1,T
#,,
coef_mode_choice_logsum_mandatory,1.31417,F
coef_DistanceDeviationLinearAbsolute_mandatory,0,F
coef_LogofDistanceAbsoluteDeviation_mandatory,-0.83965,F
coef_DistanceDeviationsquaredAbsolute_mandatory,0,F
coef_DistanceDeviation2ndstopofhalftour_mandatory,-0.06176,F
coef_DistanceDeviation3rdmorestoponhalftour_mandatory,-0.07764,F
coef_DistanceDeviationNumberofStopsonthehalftour_mandatory,0,F
coef_DistanceDeviationwalkbiketour_mandatory,0,F
coef_DistanceDeviationworkstoppurpose_mandatory,-0.10657,F
coef_DistanceDeviationuniversitystoppurpose_mandatory,0.08433,F
coef_DistanceDeviationmaintenancestoppurpose_mandatory,0.02921,F
coef_DistanceDeviationdiscretionarystoppurpose_mandatory,0.07266,F
coef_DistanceDeviationworkstoppurpose,1.02985,F
coef_DistanceDeviationshoppingstoppurpose_mandatory,-0.19942,F
coef_DistanceDeviationsocialvisitingstoppurpose_mandatory,0.65223,F
coef_DistanceDeviationSchool_mandatory,0.11216,F
coef_DistanceDeviationUniversity_mandatory,0.02587,F
coef_DistanceDeviationIncomeLessthan60k_mandatory,0.0227,F
coef_DistanceDeviationFemale_mandatory,-0.07066,F
coef_DistanceDeviationAgebetween35and54years_mandatory,-0.08953,F
coef_DistanceDeviationAgeover54years_mandatory,-0.0987,F
coef_DistanceRatio_mandatory,-1.99261,F
coef_DistanceRatioFirstOutboundStop_mandatory,-0.6487,F
coef_DistanceRatioFirstInboundStop_mandatory,1.49723,F
coef_DistanceRatioMandatoryOutboundTour_mandatory,0,F
coef_DistanceRatioMandatoryInboundTour_mandatory,0.91734,F
coef_DistanceDeviationSquareWork_mandatory,0,F
#,,
coef_mode_choice_logsum_maint,1.00663,F
coef_DistanceDeviationLinearRelative_maint,0,F
coef_DistanceDeviationLinearAbsolute_maint,-0.0615,F
coef_LogofDistanceRelativeDeviation_maint,0,F
coef_LogofDistanceAbsoluteDeviation_maint,-0.94056,F
coef_DistanceDeviationsquaredRelative_maint,0,F
coef_DistanceDeviationsquaredAbsolute_maint,-0.00022,F
coef_DistanceDeviation2ndstopofhalftour_maint,-0.03146,F
coef_DistanceDeviation3rdmorestoponhalftour_maint,-0.0631,F
coef_DistanceDeviationNumberofStopsonthehalftour_maint,0.02045,F
coef_DistanceDeviationwalkbiketour_maint,-1.00489,F
coef_DistanceDeviationworkstoppurpose_maint,0.06367,F
coef_DistanceDeviationuniversitystoppurpose_maint,0.09372,F
coef_DistanceDeviationmaintenancestoppurpose_maint,0.02109,F
coef_DistanceDeviationdiscretionarystoppurpose_maint,0.05744,F
coef_DistanceDeviationshoppingstoppurpose_maint,-0.02269,F
coef_DistanceDeviationeatoutstoppurpose_maint,0.02249,F
coef_DistanceDeviationsocialstoppurpose_maint,0.06855,F
coef_DistanceDeviationothmaint_maint,0.02685,F
coef_DistanceDeviationshopping_maint,0.03415,F
coef_DistanceDeviationIncomeLessthan60k_maint,0.03634,F
coef_DistanceDeviationFemale_maint,-0.02723,F
coef_DistanceDeviationAgebetween35and54years_maint,-0.01022,F
coef_DistanceDeviationAgeover54years_maint,-0.01353,F
coef_DistanceRatio_maint,-0.4485,F
coef_DistanceRatioFirstOutboundStop_maint,-1.51595,F
coef_DistanceRatioFirstInboundStop_maint,1.80508,F
#,,
coef_mode_choice_logsum_discr,1.00663,
coef_DistanceDeviationLinearRelative_discr,0,
coef_DistanceDeviationLinearAbsolute_discr,-0.0615,
coef_LogofDistanceRelativeDeviation_discr,0,
coef_LogofDistanceAbsoluteDeviation_discr,-0.94056,
coef_DistanceDeviationsquaredRelative_discr,0,
coef_DistanceDeviationsquaredAbsolute_discr,-0.00022,
coef_DistanceDeviation2ndstopofhalftour_discr,-0.03146,
coef_DistanceDeviation3rdmorestoponhalftour_discr,-0.0631,
coef_DistanceDeviationNumberofStopsonthehalftour_discr,0.02045,
coef_DistanceDeviationwalkbiketour_discr,-1.00489,
coef_DistanceDeviationworkstoppurpose_discr,0.06367,
coef_DistanceDeviationuniversitystoppurpose_discr,0.09372,
coef_DistanceDeviationmaintenancestoppurpose_discr,0.02109,
coef_DistanceDeviationdiscretionarystoppurpose_discr,0.05744,
coef_DistanceDeviationshoppingstoppurpose_discr,-0.02269,
coef_DistanceDeviationeatoutstoppurpose_discr,0.02249,
coef_DistanceDeviationsocialstoppurpose_discr,0.06855,
coef_DistanceDeviationdiscr_maint,-0.045,
coef_DistanceDeviationatwork_maint,0.08779,
coef_DistanceDeviationIncomeLessthan60k_discr,0.03634,
coef_DistanceDeviationFemale_discr,-0.02723,
coef_DistanceDeviationAgebetween35and54years_discr,-0.01022,
coef_DistanceDeviationAgeover54years_discr,-0.01353,
coef_DistanceRatio_discr,-0.4485,
coef_DistanceRatioFirstOutboundStop_discr,-1.51595,
coef_DistanceRatioFirstInboundStop_discr,1.80508,
coef_DistanceDeviationDiscr,0.02,
coef_DistanceDeviationatwork_calib,-3.400,
