coefficient_name,value,constrain
coef_work_from_home_constant,-0.386629856,F
coef_part_time_worker,-1.4513809,F
coef_access_to_workplaces,0.1,T
coef_age_35_to_44,0.353530241,F
coef_age_45_to_54,0.468133972,F
coef_age_55_to_64,0.495172418,F
coef_2016,-1.06294934,F
coef_age_65_79,1.243578944,F
coef_age_80_plus,0.770722144,F
coef_inc_lt_15,0.613583177,F
coef_inc_150_250,0.419020695,F
coef_ind_accom,-1.639185004,F
coef_ind_bus_srv,0.721333596,F
coef_ind_construct,-0.738399459,F
coef_ind_edu,-0.508510677,F
coef_ind_enter,1.027744147,F
coef_ind_food_srv,-1.204685952,F
coef_ind_gov,-0.75445486,F
coef_ind_health,-0.441707723,F
coef_ind_manu,-0.566600437,F
coef_ind_mgmt_srv,0.386847827,F
coef_ind_mil,-2.257002339,F
coef_external_worker_identification,-999.0,T
coef_regional_calibration,-0.93,T
coef_cbd,0.8653139314986638,F
coef_central,0.45025084346579664,F
coef_SSuburb,-0.4,F
coef_NWCounty,-0.38900940018141394,F
coef_NCounty,-0.7103700573089826,F
coef_ECounty,-5.0,F
