coefficient_name,value,constrain
coef_dist,0.285,F
coef_dist_sqrt,-1.604,F
coef_dist_sqrd,-0.004362,F
coef_dist_cubed,0.00002365,F
coef_dist_lowincme,0.1941,F
coef_dist_sqrt_lowincme,-0.8721,F
coef_dist_sqrd__lowincme,-0.002409,F
coef_dist_highincme,0,F
coef_dist_sqrd_highincme,0.0001919,F
coef_dist_ptworker,-0.116,F
coef_dist_sqrd_ptworker,0.0003934,F
coef_dist_femaleworker,-0.02515,F
coef_mode_logsum,0.5468,F
#work distance calibration (piecewise-linear),,
coef_pwlin_0_2,-0.08,F
coef_pwlin_2_5,-0.02,F
coef_pwlin_5_10,0.05,F
coef_pwlin_10_20,0.06,F
coef_pwlin_20_up,0.03,F

