Description,value,coefficient_name
,0.0,coef_asc_dur_0_4_stops_0out_0in
,-999.0,coef_asc_dur_0_4_stops_0out_1in
,-999.0,coef_asc_dur_0_4_stops_0out_2in
,-999.0,coef_asc_dur_0_4_stops_0out_3in
,-999.0,coef_asc_dur_0_4_stops_1out_0in
,-999.0,coef_asc_dur_0_4_stops_1out_1in
,-999.0,coef_asc_dur_0_4_stops_1out_2in
,-999.0,coef_asc_dur_0_4_stops_1out_3in
,-0.06453852113757118,coef_asc_dur_4_8_stops_0out_0in
,-2.772588722239781,coef_asc_dur_4_8_stops_0out_1in
,-999.0,coef_asc_dur_4_8_stops_0out_2in
,-999.0,coef_asc_dur_4_8_stops_0out_3in
,-999.0,coef_asc_dur_4_8_stops_1out_0in
,-999.0,coef_asc_dur_4_8_stops_1out_1in
,-999.0,coef_asc_dur_4_8_stops_1out_2in
,-999.0,coef_asc_dur_4_8_stops_1out_3in
,-999.0,coef_asc_dur_8_24_stops_0out_0in
,0.0,coef_asc_dur_8_24_stops_0out_1in
,-999.0,coef_asc_dur_8_24_stops_0out_2in
,-999.0,coef_asc_dur_8_24_stops_0out_3in
,-999.0,coef_asc_dur_8_24_stops_1out_0in
,-999.0,coef_asc_dur_8_24_stops_1out_1in
,-999.0,coef_asc_dur_8_24_stops_1out_2in
,-999.0,coef_asc_dur_8_24_stops_1out_3in
