,start,end
0,1,1
1,1,2
2,1,3
3,1,4
4,1,5
5,1,6
6,1,7
7,1,8
8,1,9
9,1,10
10,1,11
11,1,12
12,1,13
13,1,14
14,1,15
15,1,16
16,1,17
17,1,18
18,1,19
19,1,20
20,1,21
21,1,22
22,1,23
23,1,24
24,1,25
25,1,26
26,1,27
27,1,28
28,1,29
29,1,30
30,1,31
31,1,32
32,1,33
33,1,34
34,1,35
35,1,36
36,1,37
37,1,38
38,1,39
39,1,40
40,1,41
41,1,42
42,1,43
43,1,44
44,1,45
45,1,46
46,1,47
47,1,48
48,2,1
49,2,2
50,2,3
51,2,4
52,2,5
53,2,6
54,2,7
55,2,8
56,2,9
57,2,10
58,2,11
59,2,12
60,2,13
61,2,14
62,2,15
63,2,16
64,2,17
65,2,18
66,2,19
67,2,20
68,2,21
69,2,22
70,2,23
71,2,24
72,2,25
73,2,26
74,2,27
75,2,28
76,2,29
77,2,30
78,2,31
79,2,32
80,2,33
81,2,34
82,2,35
83,2,36
84,2,37
85,2,38
86,2,39
87,2,40
88,2,41
89,2,42
90,2,43
91,2,44
92,2,45
93,2,46
94,2,47
95,2,48
96,3,1
97,3,2
98,3,3
99,3,4
100,3,5
101,3,6
102,3,7
103,3,8
104,3,9
105,3,10
106,3,11
107,3,12
108,3,13
109,3,14
110,3,15
111,3,16
112,3,17
113,3,18
114,3,19
115,3,20
116,3,21
117,3,22
118,3,23
119,3,24
120,3,25
121,3,26
122,3,27
123,3,28
124,3,29
125,3,30
126,3,31
127,3,32
128,3,33
129,3,34
130,3,35
131,3,36
132,3,37
133,3,38
134,3,39
135,3,40
136,3,41
137,3,42
138,3,43
139,3,44
140,3,45
141,3,46
142,3,47
143,3,48
144,4,1
145,4,2
146,4,3
147,4,4
148,4,5
149,4,6
150,4,7
151,4,8
152,4,9
153,4,10
154,4,11
155,4,12
156,4,13
157,4,14
158,4,15
159,4,16
160,4,17
161,4,18
162,4,19
163,4,20
164,4,21
165,4,22
166,4,23
167,4,24
168,4,25
169,4,26
170,4,27
171,4,28
172,4,29
173,4,30
174,4,31
175,4,32
176,4,33
177,4,34
178,4,35
179,4,36
180,4,37
181,4,38
182,4,39
183,4,40
184,4,41
185,4,42
186,4,43
187,4,44
188,4,45
189,4,46
190,4,47
191,4,48
192,5,1
193,5,2
194,5,3
195,5,4
196,5,5
197,5,6
198,5,7
199,5,8
200,5,9
201,5,10
202,5,11
203,5,12
204,5,13
205,5,14
206,5,15
207,5,16
208,5,17
209,5,18
210,5,19
211,5,20
212,5,21
213,5,22
214,5,23
215,5,24
216,5,25
