,tour_id,tour_type,visitor_travel_type,number_of_participants,auto_available,income,tour_category,tour_num,tour_count,origin,household_id,person_id
0,1,recreation,personal,5,1,1,non-mandatory,1,1,492,1,1
1,2,dining,personal,7,1,1,non-mandatory,1,1,492,2,2
2,3,recreation,personal,5,1,0,non-mandatory,1,2,492,3,3
3,4,recreation,personal,3,1,3,non-mandatory,2,2,492,3,3
4,5,recreation,personal,5,1,1,non-mandatory,1,1,493,4,4
5,6,recreation,personal,3,0,0,non-mandatory,1,1,494,5,5
6,7,recreation,personal,7,0,0,non-mandatory,1,1,495,6,6
7,8,work,personal,7,1,2,non-mandatory,1,1,495,7,7
8,9,dining,personal,1,0,0,non-mandatory,1,2,496,8,8
9,10,recreation,personal,7,1,3,non-mandatory,2,2,496,8,8
10,11,recreation,personal,7,0,2,non-mandatory,1,1,498,9,9
11,12,dining,personal,1,1,1,non-mandatory,1,2,499,10,10
12,13,recreation,personal,3,1,1,non-mandatory,2,2,499,10,10
13,14,recreation,personal,5,1,1,non-mandatory,1,1,502,11,11
14,15,dining,personal,4,0,3,non-mandatory,1,1,502,12,12
15,16,dining,personal,1,0,2,non-mandatory,1,2,502,13,13
16,17,recreation,personal,5,0,2,non-mandatory,2,2,502,13,13
17,18,recreation,personal,2,1,0,non-mandatory,1,1,504,14,14
18,19,dining,personal,4,1,1,non-mandatory,1,1,504,15,15
19,20,work,personal,1,1,0,non-mandatory,1,1,504,16,16
20,21,recreation,personal,1,0,2,non-mandatory,1,1,505,17,17
21,22,dining,personal,4,1,0,non-mandatory,1,2,505,18,18
22,23,recreation,personal,5,1,0,non-mandatory,2,2,505,18,18
23,24,recreation,personal,4,1,2,non-mandatory,1,2,505,19,19
24,25,recreation,personal,7,0,0,non-mandatory,2,2,505,19,19
25,26,recreation,personal,3,1,1,non-mandatory,1,1,506,20,20
26,27,dining,personal,3,1,0,non-mandatory,1,2,506,21,21
27,28,recreation,personal,3,1,1,non-mandatory,2,2,506,21,21
28,29,recreation,personal,4,1,1,non-mandatory,1,1,508,22,22
29,30,dining,personal,1,1,0,non-mandatory,1,1,509,23,23
30,31,recreation,personal,4,1,1,non-mandatory,1,1,509,24,24
31,32,work,personal,3,0,1,non-mandatory,1,1,509,25,25
32,33,recreation,personal,3,0,4,non-mandatory,1,2,510,26,26
33,34,recreation,personal,1,1,0,non-mandatory,2,2,510,26,26
34,35,work,personal,7,0,1,non-mandatory,1,1,510,27,27
35,36,recreation,personal,4,1,1,non-mandatory,1,1,511,28,28
36,37,recreation,personal,3,1,0,non-mandatory,1,1,513,29,29
37,38,recreation,personal,6,0,1,non-mandatory,1,1,514,30,30
38,39,recreation,personal,5,1,4,non-mandatory,1,2,514,31,31
39,40,recreation,personal,3,1,2,non-mandatory,2,2,514,31,31
40,41,dining,personal,7,1,2,non-mandatory,1,1,514,32,32
41,42,recreation,personal,3,0,2,non-mandatory,1,1,515,33,33
42,43,recreation,personal,3,1,0,non-mandatory,1,2,515,34,34
43,44,recreation,personal,6,0,0,non-mandatory,2,2,515,34,34
44,45,dining,personal,3,0,2,non-mandatory,1,1,515,35,35
45,46,dining,personal,2,1,4,non-mandatory,1,2,516,36,36
46,47,recreation,personal,3,1,0,non-mandatory,2,2,516,36,36
47,48,recreation,personal,3,1,0,non-mandatory,1,1,517,37,37
48,49,recreation,personal,5,1,4,non-mandatory,1,2,517,38,38
49,50,recreation,personal,7,1,0,non-mandatory,2,2,517,38,38
50,51,recreation,personal,3,1,1,non-mandatory,1,1,518,39,39
51,52,dining,personal,2,0,1,non-mandatory,1,1,518,40,40
