primary_purpose,outbound,trip_num,multistop,work,recreation,dining
work,True,1,0,0.0,0.0,1.0
work,True,1,1,0.0,0.5,0.5
work,True,2,1,0.0,0.5,0.5
work,True,3,1,0.0,0.5,0.5
work,False,1,0,0.142857143,0.214285714,0.642857143
work,False,1,1,0.109589041,0.232876712,0.657534247
work,False,2,1,0.055555556,0.777777778,0.166666667
work,False,3,1,0.0,0.666666667,0.333333333
recreation,True,1,0,0.0,0.0,1.0
recreation,True,1,1,0.0,0.5,0.5
recreation,True,2,1,0.0,0.5,0.5
recreation,True,3,1,0.0,0.5,0.5
recreation,False,1,0,0.0,0.483050847,0.516949153
recreation,False,1,1,0.0,0.520599251,0.479400749
recreation,False,2,1,0.0,0.419354839,0.580645161
recreation,False,3,1,0.0,1.0,0.0
dining,True,1,0,0.0,0.0,1.0
dining,True,1,1,0.0,0.5,0.5
dining,True,2,1,0.0,0.5,0.5
dining,True,3,1,0.0,0.5,0.5
dining,False,1,0,0.0,0.5,0.5
dining,False,1,1,0.0,0.5,0.5
dining,False,2,1,0.0,0.5,0.5
dining,False,3,1,0.0,0.5,0.5
