periods_left_min,periods_left_max,stop_num,outbound,duration_offset,prob
0,0,1,False,0,1.0
1,1,1,False,0,1.0
2,2,1,False,0,1.0
3,3,1,False,0,1.0
4,4,1,False,0,0.863636364
5,5,1,False,0,0.96
6,6,1,False,0,0.953488372
7,7,1,False,0,0.972222222
8,8,1,False,0,0.977272727
9,9,1,False,0,0.96969697
10,10,1,False,0,1.0
11,11,1,False,0,0.9
12,12,1,False,0,0.941176471
13,13,1,False,0,0.97826087
14,14,1,False,0,0.948717949
15,15,1,False,0,0.913043478
16,16,1,False,0,0.839285714
17,17,1,False,0,0.904761905
18,18,1,False,0,0.909090909
19,19,1,False,0,0.96
20,20,1,False,0,0.955882353
21,21,1,False,0,0.977272727
22,22,1,False,0,0.944444444
23,23,1,False,0,0.894736842
24,24,1,False,0,0.931034483
25,25,1,False,0,0.916666667
26,26,1,False,0,1.0
27,47,1,False,0,0.897348485
0,0,1,False,1,0.0
1,1,1,False,1,0.0
2,2,1,False,1,0.0
3,3,1,False,1,0.0
4,4,1,False,1,0.0
5,5,1,False,1,0.0
6,6,1,False,1,0.0
7,7,1,False,1,0.0
8,8,1,False,1,0.0
9,9,1,False,1,0.0
10,10,1,False,1,0.0
11,11,1,False,1,0.0
12,12,1,False,1,0.029411765
13,13,1,False,1,0.0
14,14,1,False,1,0.0
15,15,1,False,1,0.0
16,16,1,False,1,0.0
17,17,1,False,1,0.0
18,18,1,False,1,0.0
19,19,1,False,1,0.0
20,20,1,False,1,0.0
21,21,1,False,1,0.0
22,22,1,False,1,0.018518519
23,23,1,False,1,0.0
24,24,1,False,1,0.0
25,25,1,False,1,0.0
26,26,1,False,1,0.0
27,47,1,False,1,0.006060606
0,0,1,False,2,0.0
1,1,1,False,2,0.0
2,2,1,False,2,0.0
3,3,1,False,2,0.0
4,4,1,False,2,0.045454545
5,5,1,False,2,0.0
6,6,1,False,2,0.023255814
7,7,1,False,2,0.027777778
8,8,1,False,2,0.0
9,9,1,False,2,0.0
10,10,1,False,2,0.0
11,11,1,False,2,0.0
12,12,1,False,2,0.0
13,13,1,False,2,0.0
14,14,1,False,2,0.0
15,15,1,False,2,0.0
16,16,1,False,2,0.017857143
17,17,1,False,2,0.0
18,18,1,False,2,0.054545455
19,19,1,False,2,0.0
20,20,1,False,2,0.0
21,21,1,False,2,0.0
22,22,1,False,2,0.0
23,23,1,False,2,0.026315789
24,24,1,False,2,0.0
25,25,1,False,2,0.0
26,26,1,False,2,0.0
27,47,1,False,2,0.0
0,0,1,False,3,0.0
1,1,1,False,3,0.0
2,2,1,False,3,0.0
3,3,1,False,3,0.0
4,4,1,False,3,0.0
5,5,1,False,3,0.0
6,6,1,False,3,0.0
7,7,1,False,3,0.0
8,8,1,False,3,0.0
9,9,1,False,3,0.03030303
10,10,1,False,3,0.0
11,11,1,False,3,0.05
12,12,1,False,3,0.0
13,13,1,False,3,0.0
14,14,1,False,3,0.0
15,15,1,False,3,0.0
16,16,1,False,3,0.017857143
17,17,1,False,3,0.0
18,18,1,False,3,0.018181818
19,19,1,False,3,0.02
20,20,1,False,3,0.029411765
21,21,1,False,3,0.022727273
22,22,1,False,3,0.0
23,23,1,False,3,0.026315789
24,24,1,False,3,0.0
25,25,1,False,3,0.0
26,26,1,False,3,0.0
27,47,1,False,3,0.090909091
0,0,1,False,4,0.0
1,1,1,False,4,0.0
2,2,1,False,4,0.0
3,3,1,False,4,0.0
4,4,1,False,4,0.090909091
5,5,1,False,4,0.04
6,6,1,False,4,0.023255814
7,7,1,False,4,0.0
8,8,1,False,4,0.0
9,9,1,False,4,0.0
10,10,1,False,4,0.0
11,11,1,False,4,0.0
12,12,1,False,4,0.0
13,13,1,False,4,0.02173913
14,14,1,False,4,0.0
15,15,1,False,4,0.065217391
16,16,1,False,4,0.035714286
17,17,1,False,4,0.023809524
18,18,1,False,4,0.0
19,19,1,False,4,0.02
20,20,1,False,4,0.014705882
21,21,1,False,4,0.0
22,22,1,False,4,0.0
23,23,1,False,4,0.0
24,24,1,False,4,0.034482759
25,25,1,False,4,0.041666667
26,26,1,False,4,0.0
27,47,1,False,4,0.005681818
0,0,1,False,5,0.0
1,1,1,False,5,0.0
2,2,1,False,5,0.0
3,3,1,False,5,0.0
4,4,1,False,5,0.0
5,5,1,False,5,0.0
6,6,1,False,5,0.0
7,7,1,False,5,0.0
8,8,1,False,5,0.0
9,9,1,False,5,0.0
10,10,1,False,5,0.0
11,11,1,False,5,0.05
12,12,1,False,5,0.029411765
13,13,1,False,5,0.0
14,14,1,False,5,0.051282051
15,15,1,False,5,0.02173913
16,16,1,False,5,0.053571429
17,17,1,False,5,0.023809524
18,18,1,False,5,0.0
19,19,1,False,5,0.0
20,20,1,False,5,0.0
21,21,1,False,5,0.0
22,22,1,False,5,0.018518519
23,23,1,False,5,0.0
24,24,1,False,5,0.0
25,25,1,False,5,0.0
26,26,1,False,5,0.0
27,47,1,False,5,0.0
0,0,1,False,6,0.0
1,1,1,False,6,0.0
2,2,1,False,6,0.0
3,3,1,False,6,0.0
4,4,1,False,6,0.0
5,5,1,False,6,0.0
6,6,1,False,6,0.0
7,7,1,False,6,0.0
8,8,1,False,6,0.022727273
9,9,1,False,6,0.0
10,10,1,False,6,0.0
11,11,1,False,6,0.0
12,12,1,False,6,0.0
13,13,1,False,6,0.0
14,14,1,False,6,0.0
15,15,1,False,6,0.0
16,16,1,False,6,0.017857143
17,17,1,False,6,0.023809524
18,18,1,False,6,0.0
19,19,1,False,6,0.0
20,20,1,False,6,0.0
21,21,1,False,6,0.0
22,22,1,False,6,0.018518519
23,23,1,False,6,0.026315789
24,24,1,False,6,0.0
25,25,1,False,6,0.0
26,26,1,False,6,0.0
27,47,1,False,6,0.0
0,0,1,False,7,0.0
1,1,1,False,7,0.0
2,2,1,False,7,0.0
3,3,1,False,7,0.0
4,4,1,False,7,0.0
5,5,1,False,7,0.0
6,6,1,False,7,0.0
7,7,1,False,7,0.0
8,8,1,False,7,0.0
9,9,1,False,7,0.0
10,10,1,False,7,0.0
11,11,1,False,7,0.0
12,12,1,False,7,0.0
13,13,1,False,7,0.0
14,14,1,False,7,0.0
15,15,1,False,7,0.0
16,16,1,False,7,0.017857143
17,17,1,False,7,0.0
18,18,1,False,7,0.0
19,19,1,False,7,0.0
20,20,1,False,7,0.0
21,21,1,False,7,0.0
22,22,1,False,7,0.0
