distbin,District,purpose,value
1,1: Downtown,Work,34.0
1,2: Central,Work,5302.0
1,3: North City,Work,13619.0
1,4: South Suburban,Work,217.0
1,5: East Suburban,Work,15039.0
1,6: North County West,Work,2406.0
1,7: North County East,Work,2017.0
1,8: East County,Work,429.0
2,1: Downtown,Work,74.0
2,2: Central,Work,1898.0
2,3: North City,Work,5488.0
2,4: South Suburban,Work,466.0
2,5: East Suburban,Work,2336.0
2,6: North County West,Work,1944.0
2,7: North County East,Work,2683.0
2,8: East County,Work,251.0
3,1: Downtown,Work,146.0
3,2: Central,Work,2868.0
3,3: North City,Work,6264.0
3,4: South Suburban,Work,260.0
3,5: East Suburban,Work,3392.0
3,6: North County West,Work,2016.0
3,7: North County East,Work,3494.0
3,8: East County,Work,258.0
4,1: Downtown,Work,201.0
4,2: Central,Work,3446.0
4,3: North City,Work,6138.0
4,4: South Suburban,Work,295.0
4,5: East Suburban,Work,3876.0
4,6: North County West,Work,2046.0
4,7: North County East,Work,4462.0
4,8: East County,Work,338.0
5,1: Downtown,Work,279.0
5,2: Central,Work,4045.0
5,3: North City,Work,6465.0
5,4: South Suburban,Work,321.0
5,5: East Suburban,Work,3749.0
5,6: North County West,Work,2608.0
5,7: North County East,Work,4957.0
5,8: East County,Work,399.0
6,1: Downtown,Work,291.0
6,2: Central,Work,4155.0
6,3: North City,Work,7467.0
6,4: South Suburban,Work,374.0
6,5: East Suburban,Work,4332.0
6,6: North County West,Work,3402.0
6,7: North County East,Work,5264.0
6,8: East County,Work,510.0
7,1: Downtown,Work,341.0
7,2: Central,Work,4829.0
7,3: North City,Work,8477.0
7,4: South Suburban,Work,447.0
7,5: East Suburban,Work,4801.0
7,6: North County West,Work,3943.0
7,7: North County East,Work,4846.0
7,8: East County,Work,427.0
8,1: Downtown,Work,320.0
8,2: Central,Work,5118.0
8,3: North City,Work,9659.0
8,4: South Suburban,Work,474.0
8,5: East Suburban,Work,5160.0
8,6: North County West,Work,4106.0
8,7: North County East,Work,4912.0
8,8: East County,Work,674.0
9,1: Downtown,Work,391.0
9,2: Central,Work,5923.0
9,3: North City,Work,8989.0
9,4: South Suburban,Work,557.0
9,5: East Suburban,Work,5298.0
9,6: North County West,Work,3816.0
9,7: North County East,Work,4853.0
9,8: East County,Work,519.0
10,1: Downtown,Work,432.0
10,2: Central,Work,6453.0
10,3: North City,Work,9428.0
10,4: South Suburban,Work,627.0
10,5: East Suburban,Work,5647.0
10,6: North County West,Work,3875.0
10,7: North County East,Work,4636.0
10,8: East County,Work,636.0
11,1: Downtown,Work,537.0
11,2: Central,Work,6869.0
11,3: North City,Work,9240.0
11,4: South Suburban,Work,737.0
11,5: East Suburban,Work,5394.0
11,6: North County West,Work,3369.0
11,7: North County East,Work,4370.0
11,8: East County,Work,484.0
12,1: Downtown,Work,622.0
12,2: Central,Work,7482.0
12,3: North City,Work,8237.0
12,4: South Suburban,Work,672.0
12,5: East Suburban,Work,5135.0
12,6: North County West,Work,3280.0
12,7: North County East,Work,4309.0
12,8: East County,Work,495.0
13,1: Downtown,Work,738.0
13,2: Central,Work,8844.0
13,3: North City,Work,8732.0
13,4: South Suburban,Work,721.0
13,5: East Suburban,Work,5355.0
13,6: North County West,Work,3456.0
13,7: North County East,Work,4517.0
13,8: East County,Work,404.0
14,1: Downtown,Work,693.0
14,2: Central,Work,7870.0
